<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128367,1,,Hurdle,2900,"INT HDL","PAEROA CONCRETE & HG LEACH & CO LTD HURDLE",8000.00,11:40:00,"N",62.00,"","","","","Dead",0,"Fine",180580,1,1,"Yelsid Junior","9","g",64.50,2,,,10.00," 1/2 LEN","Alan Biddick","Byerley Park",,,1600.00,"Shelley Houston",64.50,0.00,0,84,72,"",111139,"BELDALE LEAR (USA) 1981",125593,"SHREE MANI (NZ) 1988",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128367,1,,Hurdle,2900,"INT HDL","PAEROA CONCRETE & HG LEACH & CO LTD HURDLE",8000.00,11:40:00,"N",62.00,"","","","","Dead",0,"Fine",200129,3,2,"Midnight Opal","6","m",63.50,1,3.15.70,,," 10 LEN","John Wheeler","New Plymouth",,,5000.00,"Ben Ropiha",63.50,0.00,64,70,0,"",31349,"POMPEII COURT (USA) 1977",124607,"BRIGHT OPAL (NZ) 1987",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128367,1,,Hurdle,2900,"INT HDL","PAEROA CONCRETE & HG LEACH & CO LTD HURDLE",8000.00,11:40:00,"N",62.00,"","","","","Dead",0,"Fine",185468,4,5,"Al Varado","9","g",62.00,4,,,13.00," ","Eric Cryer","Tongaporutu",,,400.00,"Arron Tata",62.00,0.00,0,57,51,"",43862,"VAGUELY TENDER (USA) 1977",971,"ALVEREZ (NZ) 1975",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128367,1,,Hurdle,2900,"INT HDL","PAEROA CONCRETE & HG LEACH & CO LTD HURDLE",8000.00,11:40:00,"N",62.00,"","","","","Dead",0,"Fine",202337,5,4,"Slash 'N' Burn","6","m",62.00,3,,,10.50," 2 1/2 LEN","Ken Davies","Matamata",,,800.00,"Tony Ihaka",61.00,1.00,71,56,0,"",163519,"TANKER PORT (USA) 1985",124904,"STAR COUNTESS (NZ) 1988",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128367,1,,Hurdle,2900,"INT HDL","PAEROA CONCRETE & HG LEACH & CO LTD HURDLE",8000.00,11:40:00,"N",62.00,"","","","","Dead",0,"Fine",203241,7,3,"Babbo Natale","6","g",62.00,LR,,,," ","Bob Autridge","Matamata",,,0.00,"Richard Eynon",62.00,0.00,54,50,0,"",173637,"CASUAL LIES (USA) 1989",133662,"BLESS SHU (NZ) 1987",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128371,2,,Flat,1150,"MDN","VISIQUE O'HAGAN VISION CARE 1150",5000.00,12:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",0,"Fine",221650,1,3,"Rua","3","g",56.00,7,,,7.30," ","Ralph Manning","Cambridge",,,0.00,"Lisa Allpress",56.00,0.00,57,0,0,"",209726,"ISTIDAAD (USA) 1992",178070,"SCULPTRESS (NZ) 1994",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128371,2,,Flat,1150,"MDN","VISIQUE O'HAGAN VISION CARE 1150",5000.00,12:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",0,"Fine",210735,2,10,"Weston Beau","5","g",56.00,12,,,12.40," ","Ernie Griffiths","Te Aroha",,,0.00,"Chad Ormsby",53.00,3.00,57,0,0,"",62229,"RAINBOW MYTH (NZ) 1985",179000,"BELLE OF OREGON (NZ) 1994",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128371,2,,Flat,1150,"MDN","VISIQUE O'HAGAN VISION CARE 1150",5000.00,12:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",0,"Fine",224593,4,11,"Honour Promise","3","g",56.00,3,,,4.00," 1 3/4 LEN","Tony Cole","Te Kauwhata",,,500.00,"Reese Jones",56.00,0.00,56,0,0,"",193814,"HONOUR AND GLORY (USA) 1993",186419,"TOP PEARL (GB) 1992",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128371,2,,Flat,1150,"MDN","VISIQUE O'HAGAN VISION CARE 1150",5000.00,12:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",0,"Fine",221643,6,8,"Mr Riff Raff","3","g",56.00,8,,,7.40," ","James Mead","Cambridge",,,0.00,"Mark Hills",56.00,0.00,54,0,0,"",177142,"GOLD BROSE (AUS) 1990",174904,"POCAHONTAS GIRL (NZ) 1994",
32380,2005-05-15,3,"Paeroa","Other","Race","Paeroa R.C.","PAEROA RC 15 MAY","Dead",0,"Fine","True Position",128371,2,,Flat,1150,"MDN","VISIQUE O'HAGAN VISION CARE 1150",5000.00,12:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",0,"Fine",226318,8,2,"Ellerose","3","f",54.50,6,,,7.20," ","Mark Faulkner","Pukekohe Park",,,0.00,"Thomas Russell",54.50,0.00,56,0,0,"",199552,"FOUR SEASONS (GB) 1990",161892,"ARIHO (NZ) 1992",
