<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",287962,7,4,"Mighty Me (AUS)","7","g",54.50,6,1.15.11,0.37.56,4.80," ","Joanne Surgenor","Ardmore Lodge",11.90,0.00,0.00,"Trudy Thornton",54.50,0.00,74,0,0,"Approved Plates, Lugging Bit",238385,"CHOISIR (AUS) 1999",287963,"CLEVER ME (AUS) 2003",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",283822,8,6,"Az Given","7","m",54.00,4,1.14.81,0.37.54,3.10," LONG NECK","Lisa Anderson","Matamata",17.20,0.00,1500.00,"Tegan Newman",51.00,3.00,72,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie",264430,"ANY GIVEN SATURDAY (USA) 2004",247756,"AZAMARA (NZ) 2005",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",320393,9,3,"Justacanta","4","g",54.00,3,1.14.66,0.36.92,2.10," 1 LEN","David Greene","Te Rapa",4.40,0.00,3000.00,"Michael Coleman",54.00,0.00,71,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit, Blinkers",280637,"PER INCANTO (USA) 2004",202343,"JUST CASUAL (NZ) 1998",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",280864,1,3,"Nailed It","7","m",59.50,8,1.43.83,0.40.35,6.60," ","Murray Baker & Andrew Forsman","Cambridge",6.40,0.00,0.00,"Amber Sims",56.50,3.00,88,0,0,"Approved Plates, Lugging Bit, Blinkers",203711,"DON EDUARDO (NZ) 1998",222293,"FASCINATOR (NZ) 2001",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",294771,2,6,"Call Me Royal","6","h",59.50,9,1.44.28,0.40.50,9.50," ","Tarissa Mitchell","Cambridge",18.90,0.00,0.00,"Tegan Newman",56.50,3.00,84,0,0,"Approved Plates, Standard Bit, Tongue Tie",252669,"CIVICS (AUS) 1999",112934,"AUTUMN QUEEN (NZ) 1988",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",274852,3,8,"Waipipi Lad","8","g",57.00,2,1.42.83,0.39.66,0.20," 1 3/4 LEN","Jon Miller","Cambridge",11.50,3.10,6000.00,"Jasmine Fawcett",55.00,2.00,79,0,0,"Approved Plates, Lugging Bit, Blinkers on",247936,"MR. NANCHO (ARG) 2000",239925,"IVY ROSE (NZ) 2004",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",312459,4,1,"Grand Rio","5","g",56.00,10,1.45.12,0.41.44,15.10," ","Murray Baker & Andrew Forsman","Cambridge",4.50,0.00,0.00,"Matthew Cameron",56.00,0.00,77,0,0,"Approved Plates, Lugging Bit, Blinkers",245781,"SUFFICIENT (NZ) 2005",262894,"DIVINE RIO (NZ) 2007",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",295107,5,10,"Worthiswaitngold","6","g",55.00,5,1.43.65,0.40.36,5.40," HEAD","Craig Phelan","Cambridge",7.70,0.00,750.00,"Lisa Allpress",55.00,0.00,75,0,0,"Approved Plates, Lugging Bit, Nasal Strip",247999,"EL HERMANO (NZ) 2005",200920,"IVY GOLD (NZ) 1998",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",289976,6,4,"Valante","6","g",54.00,3,1.43.12,0.39.71,2.00," 3 1/4 LEN","Graeme Lord","Cambridge",6.00,2.10,3000.00,"Samantha Collett",54.00,0.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",270326,"STEAL (AUS) 2002",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",280140,7,7,"Lovetokeephim (AUS)","7","g",54.00,4,1.43.65,0.40.32,5.30," NOSE","Kim Clapperton","Awapuni",8.40,0.00,1500.00,"Shaun McKay",54.00,0.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",222919,"KEEPER (AUS) 1997",216677,"AMERICAN CASH (USA) 1996",
