<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",351514,1,3,"Marbuzet","3","g",68.00,7,2.09.11,0.38.74,7.00," ","Team Rogerson","Tuhikaramea",1.90,0.00,0.00,"Ryan Elliot",68.00,0.00,54,0,0,"Approved Plates, Lugging Bit, Tongue Tie",277059,"DUNDEEL (NZ) 2009",262327,"ASSERTIVE ANGEL (AUS) 2006",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",335432,2,6,"Twin Spinner","4","g",68.00,2,2.08.11,0.37.63,0.20," NECK","Lesley Munro","Pukekohe Park",9.00,2.10,2000.00,"Christopher Dell",68.00,0.00,52,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",242513,"GUILLOTINE (NZ) 2004",229913,"O'DORCIA (NZ) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",318254,3,4,"Argyll","5","g",68.00,5,2.08.31,0.37.62,1.50," 4 1/2 LEN","Ben Foote","Cambridge",35.20,0.00,250.00,"Shaun Fannin",67.00,1.00,50,0,0,"Approved Plates, Lugging Bit",255627,"GALLANT GURU (AUS) 2002",226955,"POLITIC (NZ) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",350696,5,8,"King Of Cool","3","g",68.00,6,2.08.95,0.38.18,6.00," ","Emma-Lee & David Browne","Cambridge",30.60,0.00,0.00,"Shaun Phelan",68.00,0.00,48,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",314047,"KIMBERLEY COOL (AUS) 1998",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",344400,6,5,"Brawler","3","g",68.00,10,2.10.25,0.39.30,14.00," ","Clinton Isdale","Te Awamutu",24.50,0.00,0.00,"Gary Walsh",68.00,0.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers, Nose Band, Tongue Tie",265282,"OCEAN PARK (NZ) 2008",293429,"KNOCKOUT (NZ) 2011",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",331877,7,2,"Lincoln King","4","g",68.00,3,2.08.15,0.37.23,0.50," HEAD","Stephen Marsh","Cambridge",7.00,1.90,1000.00,"Jonathan Riddell",68.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",287450,"SHOCKING (AUS) 2005",244751,"SHI KIN FLY (NZ) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",314826,8,9,"Cashel","5","g",68.00,8,2.09.17,0.38.05,7.20," ","Sean Cameron","Waiuku",58.60,0.00,0.00,"Mathew Gillies",68.00,0.00,45,58,50,"Approved Plates, Lugging Bit, Blinkers",244648,"BACHELOR DUKE (USA) 2001",234555,"CASTLEBAR (NZ) 2003",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",330410,9,1,"Komrad","4","g",68.00,9,2.09.76,0.39.04,10.90," ","Debbie Sweeney","Te Awamutu",55.20,0.00,0.00,"Dylan Turner",68.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",236729,"GORKY PARK (NZ) 2003",186964,"HI TIME (NZ) 1994",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",351597,10,7,"Hattie Bee (AUS)","3","f",66.00,1,2.08.07,0.37.28,," LONG HEAD","Emma-Lee & David Browne","Cambridge",5.50,1.80,6250.00,"Emily Farr",66.00,0.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",264285,"BERNARDINI (USA) 2003",351598,"FLIGHTY (AUS) 2001",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202867,2,,Flat,1950,"MDN HWT","HIRE YOUR FUNCTION LOUNGES ARAWA PARK HWT",10000.00,12:15:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",319959,11,10,"Nothinbraxlykahart","5","m",66.00,4,2.08.17,0.37.38,0.70," 3/4 LEN","Tanya Donaldson","Cambridge",10.30,0.00,500.00,"Buddy Lammas",66.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",301937,"REDWOOD (GB) 2006",278931,"CANYON YODELER (USA) 2006",
