<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",275390,11,7,"Henry Tudor","9","g",65.00,4,2.08.45,0.39.38,3.00," HEAD","Samantha Logan","Cambridge",15.80,0.00,500.00,"Emily Farr",65.00,0.00,55,69,0,"Approved Plates, Lugging Bit",251954,"ROYAL GEM (USA) 1999",213818,"TUDOR LIGHTNING (NZ) 2000",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",266550,12,4,"Royal Sceptre","10","g",65.00,11,2.10.70,0.40.92,16.40," ","Michael Roustoby & Jennifer McIlroy","Cambridge",57.70,0.00,0.00,"Michael Roustoby",62.00,3.00,55,59,0,"Concussion Plates (Front), Lugging Bit, Nose Band",251954,"ROYAL GEM (USA) 1999",213169,"QUALITY LODGE (AUS) 2000",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",379351,1,1,"Gallante (IRE)","8","g",79.50,12,2.12.21,0.43.15,22.40," ","Team Rogerson","Tuhikaramea",19.10,0.00,0.00,"Michael Roustoby",76.50,3.00,84,68,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",219500,"MONTJEU (IRE) 1996",379352,"CRAZY VOLUME (IRE) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",258658,2,3,"Letmeby","11","g",72.00,5,2.09.26,0.39.60,5.20," 1 1/2 LEN","Graham Richardson & Gavin Parker","Matamata",31.30,0.00,250.00,"Shaun Phelan",72.00,0.00,69,68,50,"Approved Plates, Lugging Bit, Blinkers",203711,"DON EDUARDO (NZ) 1998",206828,"GATESTOPPER (NZ) 1999",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",284892,3,12,"Revolution","8","g",69.50,6,2.09.51,0.40.64,6.70," ","Paul Nelson","Hastings",6.30,0.00,0.00,"Aaron Kuru",69.50,0.00,64,52,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",242513,"GUILLOTINE (NZ) 2004",222181,"KETTLE HILL (NZ) 2001",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",337255,4,7,"Uncle Bro","4","g",68.50,4,2.09.20,0.39.95,4.90," NECK","Guy Lowry & Grant Cullen","Hastings",3.80,0.00,500.00,"Dylan Turner",68.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",301791,"UNCLE MO (USA) 2008",312209,"UNO SAYURI (JPN) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",284865,5,5,"Ngatira Gold","8","g",68.00,7,2.09.56,0.40.07,6.90," ","Samantha Logan","Cambridge",15.50,0.00,0.00,"James Seivwright",65.00,3.00,61,78,76,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip, Tongue Tie",249283,"GOLD CENTRE (AUS) 2002",153232,"DESDEMONA (NZ) 1991",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",332776,6,4,"Mamba","4","m",67.50,2,2.08.73,0.39.86,1.80," 1 1/4 LEN","Murray Baker & Andrew Forsman","Cambridge",3.70,1.60,2000.00,"Jonathan Riddell",67.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers",300680,"POUR MOI (IRE) 2008",229879,"ARABIAN NIGHTS (NZ) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",336048,7,2,"Firenze","4","g",67.50,8,2.10.03,0.40.87,9.50," ","Mark Brooks","Cambridge",11.30,0.00,0.00,"Mathew Gillies",67.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers, Shadow Roll, Tongue Tie",302513,"ZOFFANY (IRE) 2008",209797,"LUSCILLA (NZ) 1999",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",298335,8,6,"Raaj","7","g",66.50,3,2.08.90,0.39.88,3.10," 1 3/4 LEN","Lesley Munro","Pukekohe Park",7.50,2.40,1000.00,"Emily Farr",66.50,0.00,58,66,0,"Approved Plates, Tongue Control Bit, Blinkers, Nose Band",255989,"IFFRAAJ (GB) 2001",223738,"LILLY PILLY (NZ) 2001",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",326080,9,9,"Suffice To Say","6","g",66.00,1,2.08.48,0.39.27,," 1 3/4 LEN","Team Rogerson","Tuhikaramea",12.30,3.40,6250.00,"Ryan Elliot",66.00,0.00,57,67,50,"Approved Plates, Butterfly Bit, Tongue Tie",245781,"SUFFICIENT (NZ) 2005",227040,"BEAVER (NZ) 2001",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",269251,10,8,"Thenamesbond","10","g",65.50,11,2.12.04,0.41.74,21.30," ","Stephen Ralph","Te Awamutu",48.50,0.00,0.00,"Lemmy Douglas",62.50,3.00,56,91,87,"Approved Plates, Lugging Bit",242221,"CHINA CAT (USA) 2000",219023,"MELBOURNE STORM (NZ) 2000",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",276237,11,11,"Clapathunda","9","g",65.00,9,2.10.14,0.40.90,10.20," ","Shelley Houston","Cambridge",51.70,0.00,0.00,"Kayla Veenendaal",63.00,2.00,55,71,50,"Approved Plates, Lugging Bit, Visor Blinkers",238392,"STORM CREEK (USA) 1993",208519,"BEAUDAMISS (NZ) 1999",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",202868,4,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","COME TO ROTORUA CUP 11TH MAY HWT",10000.00,13:21:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",275400,12,10,"Go Go Gonzo","9","g",65.00,10,2.11.69,0.41.86,19.30," ","Sean Cameron","Waiuku",96.00,0.00,0.00,"Gary Walsh",65.00,0.00,55,82,50,"Approved Plates, Lugging Bit",232193,"GOLAN (IRE) 1998",187039,"CRAZIE PUNT (NZ) 1996",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",362160,1,8,"All The Rage","2","g",57.50,6,1.18.80,0.39.70,9.80," ","Team Rogerson","Tuhikaramea",13.30,0.00,0.00,"Trudy Thornton",57.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time)",244799,"DUELLED (AUS) 2002",276914,"SAVEADANCE (NZ) 2009",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",381555,2,3,"Quick Thinker (AUS)","2","c",57.50,2,1.17.45,0.38.60,1.30," 5 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",8.50,2.90,2000.00,"Matthew Cameron",57.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",252271,"SO YOU THINK (NZ) 2006",381556,"ACOUPLAMAS (AUS) 2006",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",356889,3,9,"Rakuten","2","c",57.50,4,1.18.53,0.39.44,8.10," 1 1/2 LEN","Jamie Richards","Matamata",3.30,0.00,500.00,"Opie Bosson",57.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",238456,"SAVABEEL (AUS) 2001",261028,"MILLILILLI (NZ) 2007",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",362434,4,2,"Foogayzee","2","g",57.50,7,1.19.63,0.40.74,14.70," ","Roger James & Robert Wellwood","Cambridge",12.10,0.00,0.00,"Troy Harris",57.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",287687,"SHOWCASING (GB) 2007",278980,"PEARLS (NZ) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",362617,5,6,"Mister President","2","g",57.50,8,1.20.23,0.40.38,18.20," ","Lance O'Sullivan & Andrew Scott","Matamata",19.60,0.00,0.00,"Shaun McKay",57.50,0.00,46,0,0,"Approved Plates, Lugging Bit",302352,"SEPOY (AUS) 2008",351361,"MRS KENNEDY (AUS) 2011",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",358059,6,5,"Miradello","2","f",55.50,9,1.21.25,0.42.02,24.20," ","Lance Noble","Karaka",7.30,0.00,0.00,"Leith Innes",55.50,0.00,51,0,0,"Approved Plates, Lugging Bit",337951,"CHARM SPIRIT (IRE) 2011",338183,"OYSTER ISLAND (AUS) 2010",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",353712,7,4,"Woodcote Lass","2","f",55.50,1,1.17.25,0.38.37,," 1 1/4 LEN","Stephen Autridge","Matamata",4.30,1.70,6250.00,"Samantha Collett",55.50,0.00,51,0,0,"Approved Plates, Standard Bit, Nose Band",287687,"SHOWCASING (GB) 2007",292573,"LADY WOODCOTE (GB) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",381769,8,10,"Shibuya Kosaten (AUS)","2","f",55.50,3,1.18.35,0.38.98,6.80," 1 1/4 LEN","Stephen McKee","Ardmore",14.80,3.80,1000.00,"Sam Spratt",55.50,0.00,50,0,0,"Approved Plates, Lugging Bit",337159,"SIZZLING (AUS) 2009",263097,"GREAT CROSS (AUS) 2007",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",353698,9,1,"Bronte Beach","2","f",55.50,5,1.18.78,0.39.45,9.60," LONG HEAD","Stephen Marsh","Cambridge",21.50,0.00,250.00,"Craig Grylls",55.50,0.00,47,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",269556,"BRONTE LASS (AUS) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201067,5,,Flat,1230,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:55:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",9,"Fine",361930,10,7,"Wasp","2","f",55.50,10,1.26.64,0.46.85,56.00," ","Michael Moroney & Pam Gerard","Matamata",11.80,0.00,0.00,"Jake Bayliss",55.50,0.00,46,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",242244,"THIMBLE (NZ) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",343642,1,8,"Uncle Ern","3","g",57.50,5,1.28.36,0.37.86,5.40," NOSE","Jacob McKay","Matamata",9.90,0.00,250.00,"Shaun McKay",57.50,0.00,51,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",265564,"FAST FAME (NZ) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",349094,3,10,"Senor Moss","3","g",57.50,6,1.28.36,0.38.36,5.50," ","Team Rogerson","Tuhikaramea",14.10,0.00,0.00,"Shiarna Johnson",53.50,4.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",239040,"MOSSMAN (AUS) 1995",337949,"ALTA FLORESTA (AUS) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",339944,4,11,"Noble Stride","3","g",57.50,9,1.29.09,0.38.63,9.70," ","Shaune Ritchie","Cambridge",9.10,0.00,0.00,"Jonathan Riddell",57.50,0.00,49,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",226540,"MARLO WATERS (AUS) 1998",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",340176,5,5,"Five Princes","3","g",57.50,11,1.29.85,0.39.29,14.10," ","Stephen Marsh","Cambridge",24.40,0.00,0.00,"Troy Harris",57.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers",278350,"RED GIANT (USA) 2004",191481,"MY MARGUERITE (NZ) 1996",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",341595,7,9,"Prestigious Lad","3","g",57.50,3,1.27.91,0.37.30,2.60," 1 3/4 LEN","Iain Kennedy","Rotorua",71.70,12.40,1000.00,"Ashvin Goindasamy",54.50,3.00,46,0,0,"Approved Plates, Standard Bit",313325,"POWER (GB) 2009",258373,"DONTDYEWONDERIN (NZ) 2007",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",365762,8,3,"Socialights (AUS)","3","f",55.50,1,1.27.53,0.37.26,," 2 1/4 LEN","Stephen Marsh","Cambridge",2.40,1.50,6250.00,"Craig Grylls",55.50,0.00,53,0,0,"Approved Plates, Lugging Bit",324966,"PIERRO (AUS) 2009",365763,"LIGHT EXPRESS (AUS) 2007",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",353310,9,1,"Rosa Fiore (AUS)","3","f",55.50,7,1.28.53,0.38.20,6.50," ","Graham Richardson & Gavin Parker","Matamata",13.00,0.00,0.00,"Trudy Thornton",55.50,0.00,51,0,0,"Approved Plates, Lugging Bit",350894,"FIORENTE (IRE) 2008",325842,"MARIE ROSE (GB) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",346775,10,7,"Hetty","3","f",55.50,12,1.30.10,0.39.54,15.60," ","Stephen Marsh","Cambridge",11.60,0.00,0.00,"Samantha Collett",55.50,0.00,50,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",326007,"COMMENTATE (AUS) 2009",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",351950,11,2,"Reliable Belle","3","f",55.50,8,1.28.54,0.38.32,6.50," ","Roger James & Robert Wellwood","Cambridge",6.40,0.00,0.00,"Cameron Lammas",55.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",313564,"RELIABLE MAN (GB) 2008",254098,"BELLONA (NZ) 2006",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",344330,12,4,"Baby Face","3","f",55.50,2,1.27.85,0.37.17,2.30," NECK","Stephen Marsh","Cambridge",15.90,3.60,2000.00,"Sam Spratt",55.50,0.00,47,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",279992,"BABY SHACKS (NZ) 2010",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",339907,13,12,"Nicole Ashley","3","f",55.50,4,1.28.19,0.38.10,4.40," 1 LEN","Murray Baker & Andrew Forsman","Cambridge",20.00,0.00,500.00,"Matthew Cameron",55.50,0.00,46,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",229066,"FIORENZA (NZ) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201066,6,,Flat,1400,"MDN 3YO","BDO ROTORUA 3YO",10000.00,14:30:00,"N",,"3yo","Maiden","unrestricted","sw","Slow",9,"Fine",346105,15,6,"Whimsy","3","f",55.50,10,1.29.09,0.38.94,9.70," ","Shelley Hale","Cambridge",66.40,0.00,0.00,"Lynsey Satherley",55.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",242513,"GUILLOTINE (NZ) 2004",240391,"FRIVOLOUS (NZ) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201064,7,,Flat,1230,"MDN","FAULKNER DRAINAGE 1230",10000.00,15:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Fine",323494,1,2,"Its All Fake News","5","g",58.50,10,1.20.39,0.40.15,18.50," ","Logan Hall","Cambridge",7.70,0.00,0.00,"Darren Danis",56.50,2.00,53,0,0,"Approved Plates, Tongue Control Bit (1st time), Blinkers",287687,"SHOWCASING (GB) 2007",234257,"KELLANA JEWEL (NZ) 2003",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201064,7,,Flat,1230,"MDN","FAULKNER DRAINAGE 1230",10000.00,15:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Fine",336819,2,3,"The Revenant","4","g",58.50,3,1.17.95,0.37.81,3.60," NOSE","Team Rogerson","Tuhikaramea",20.00,5.10,1000.00,"Ryan Elliot",58.50,0.00,48,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",240768,"POLYANA (NZ) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201064,7,,Flat,1230,"MDN","FAULKNER DRAINAGE 1230",10000.00,15:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Fine",347335,4,6,"Mexican Tycoon","3","g",58.00,4,1.17.95,0.38.35,3.70," 1 3/4 LEN","Murray Baker & Andrew Forsman","Cambridge",3.50,0.00,500.00,"Jonathan Riddell",58.00,0.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers",172521,"O'REILLY (NZ) 1993",251604,"MEXICAN ROSE (NZ) 2006",
