<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",361504,5,5,"Not Usual Litening","3","g",58.00,2,1.22.93,0.35.81,1.80," NOSE","Murray Baker & Andrew Forsman","Cambridge",4.00,2.40,2000.00,"Jonathan Riddell",58.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",211629,"PINS (AUS) 1996",262363,"ANGEL DEL DINERO (NZ) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",350249,6,6,"Our Wonderland","4","g",58.00,4,1.23.20,0.35.66,3.40," HEAD","Team Rogerson","Tuhikaramea",23.80,0.00,500.00,"Samantha Collett",58.00,0.00,60,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",276183,"WONDERLAND (NZ) 2009",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",359639,7,4,"Rising Ransom","3","g",57.50,6,1.23.48,0.35.48,5.10," ","Stephen Marsh","Cambridge",12.70,0.00,0.00,"Taiki Yanagida",55.50,2.00,62,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",270965,"GEM LOVER (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",319895,8,2,"Threadtheneedle","6","m",57.00,1,1.22.66,0.35.20,," 1 3/4 LEN","Stephen Marsh","Cambridge",4.00,2.30,6250.00,"Danielle Johnson",57.00,0.00,62,0,0,"Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",255572,"LASTING LUCK (AUS) 2002",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",350152,1,1,"Mike's Mistake","4","g",58.50,1,1.10.95,0.35.73,," NOSE","Stephen Marsh","Cambridge",9.00,2.40,6250.00,"Andrew Calder",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",273306,"OUR SACRED ANNA (AUS) 2009",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",344773,2,9,"Power Tycoon","4","g",58.50,10,1.12.20,0.35.68,7.70," ","Chris Wood","Cambridge",38.90,0.00,0.00,"Jasmine Fawcett",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",313325,"POWER (GB) 2009",266802,"WORKINGCLASS (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",358863,3,3,"Divine Dive","3","g",57.00,3,1.11.14,0.35.87,1.40," NECK","Tony Pike","Cambridge",3.00,1.50,1000.00,"Ryan Elliot",57.00,0.00,51,0,0,"Approved Plates, Standard Bit, Nose Band",271956,"SACRED FALLS (NZ) 2009",277852,"NERAAN (AUS) 2005",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",361962,4,6,"Viking","3","g",57.00,6,1.11.32,0.35.80,2.20," ","Tony Pike","Cambridge",5.40,0.00,0.00,"Richard Oliver",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Nose Band",238456,"SAVABEEL (AUS) 2001",268367,"IRISH FLING (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",359244,6,7,"Royal Charm","3","g",57.00,8,1.11.55,0.35.32,3.70," ","Mark Brooks","Cambridge",17.30,0.00,0.00,"Samantha Collett",57.00,0.00,45,0,0,"Approved Plates, Norton Bit (1st time)",337951,"CHARM SPIRIT (IRE) 2011",241782,"SO ROYAL (NZ) 2004",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",350008,7,4,"Calpurnia","4","m",56.50,9,1.12.10,0.36.25,7.00," ","Debbie Sweeney","Te Awamutu",10.40,0.00,0.00,"Matthew Cameron",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Ear Covers",285139,"SWISS ACE (AUS) 2004",287619,"PHARMACUSA (AUS) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",380104,9,2,"Showcat","4","m",56.50,7,1.11.46,0.35.95,3.10," ","Darryn Weatherley","Matamata",29.80,0.00,0.00,"Michael Coleman",56.50,0.00,46,0,0,"Approved Plates, Tongue Control Bit on, Blinkers",287687,"SHOWCASING (GB) 2007",257312,"PARTY CAT (NZ) 2007",
