<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204669,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",352599,4,4,"Special Light (AUS)","5","m",57.50,3,2.11.91,0.35.31,1.70," NECK","Tony Pike","Cambridge",4.50,0.00,2000.00,"Samantha Collett",57.50,0.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers",213162,"REDOUTE'S CHOICE (AUS) 1996",352600,"NEW LIGHT (AUS) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204669,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",333431,5,5,"Valmur","5","m",55.50,2,2.11.68,0.34.95,0.20," 1 1/2 LEN","Les Collins","Cambridge",2.60,1.80,4000.00,"Matthew Cameron",55.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Tongue Tie",265282,"OCEAN PARK (NZ) 2008",183857,"EVER CLEVER (NZ) 1995",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",328588,1,7,"Full Of Grace","5","g",59.50,9,1.38.46,0.36.09,7.90," ","Jamie Richards","Matamata",15.50,0.00,0.00,"Jonathan Riddell",59.50,0.00,64,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",172521,"O'REILLY (NZ) 1993",273422,"TUESDAY'S CHILD (NZ) 2009",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",309685,2,8,"Prodigal Son","7","g",58.00,5,1.37.99,0.36.39,5.00," 3/4 LEN","Team Rogerson","Tuhikaramea",21.10,0.00,250.00,"Ryan Elliot",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Tongue Tie",244799,"DUELLED (AUS) 2002",180515,"MAYBE YES (AUS) 1990",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",350982,4,5,"Declarada (AUS)","4","m",56.50,8,1.38.15,0.36.27,6.00," ","Murray Baker & Andrew Forsman","Cambridge",8.20,0.00,0.00,"Matthew Cameron",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",337316,"DECLARATION OF WAR (USA) 2009",270814,"LACADA (AUS) 2003",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",340732,5,1,"Savastep","4","m",56.50,7,1.38.13,0.35.65,5.90," ","Murray Baker & Andrew Forsman","Cambridge",5.90,0.00,0.00,"Richard Oliver",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",245822,"STEPPING OUT (NZ) 2005",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",365762,6,3,"Socialights (AUS)","4","m",56.50,3,1.37.31,0.35.34,1.30," SHORT NECK","Stephen Marsh","Cambridge",2.80,1.50,1000.00,"Danielle Johnson",56.50,0.00,62,0,0,"Concussion Plates, Lugging Bit",324966,"PIERRO (AUS) 2009",365763,"LIGHT EXPRESS (AUS) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",330398,7,6,"Garados","5","g",56.50,6,1.38.12,0.35.32,5.80," ","Karen Fursdon","Matamata",23.30,0.00,0.00,"Samantha Collett",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",232838,"NO EXCUSE NEEDED (GB) 1998",220783,"GALBALLY NAN (NZ) 2001",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",334185,8,9,"Cabochon","5","m",56.00,1,1.37.10,0.35.75,," 1 LEN","Ralph Manning","Cambridge",19.10,4.00,6250.00,"Michael Coleman",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",285139,"SWISS ACE (AUS) 2004",287623,"REGALLY (AUS) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",381211,9,4,"Zouluminous (AUS)","3","f",55.50,4,1.37.36,0.35.39,1.50," 3 1/2 LEN","Jamie Richards","Matamata",3.70,0.00,500.00,"Cameron Lammas",55.50,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",336540,"ZOUSTAR (AUS) 2010",381212,"LUMINOUS HARMONY (AUS) 2006",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204671,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",336049,11,2,"Avoca Willow","5","m",54.50,2,1.37.25,0.35.55,1.00," NECK","Mark Brosnan","Matamata",13.60,3.40,2000.00,"Andrew Calder",54.50,0.00,58,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",255394,"AVOCA RULER (NZ) 2006",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",335630,1,5,"Hunter Villain","5","g",58.50,1,1.37.06,0.36.60,," 3 LEN","Shaun & Emma Clotworthy","Byerley Park",4.90,2.10,6250.00,"Masa Hashizume",55.50,3.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",230462,"DARCI BRAHMA (NZ) 2002",217206,"TATTINGER (NZ) 2000",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",344400,2,3,"Brawler","4","g",58.50,7,1.38.06,0.37.33,6.20," ","Clinton Isdale","Te Awamutu",13.60,0.00,0.00,"Taiki Yanagida",56.50,2.00,49,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip",265282,"OCEAN PARK (NZ) 2008",293429,"KNOCKOUT (NZ) 2011",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",334330,3,2,"Overthemark","5","g",58.50,8,1.38.30,0.37.85,7.70," ","Scott Wenn","Te Aroha",25.60,0.00,0.00,"Mubs Kareem",54.50,4.00,49,0,0,"Approved Plates, Lugging Bit, Side Winkers",257403,"HE'S REMARKABLE (NZ) 2007",209585,"NINETY NINE (NZ) 1999",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",329895,4,1,"Anhedonia","5","g",58.50,9,1.38.86,0.38.05,11.20," ","Antony Fuller","Tauranga",10.50,0.00,0.00,"Jonathan Riddell",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",270278,"SAKHEE'S SECRET (GB) 2004",205350,"DANCING VIKING (CAN) 1991",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",343016,5,11,"Remember O'Reilly","4","g",58.50,5,1.37.77,0.36.67,4.30," 1 3/4 LEN","Chris Wood","Cambridge",18.30,0.00,250.00,"Darren Danis",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",172521,"O'REILLY (NZ) 1993",258931,"ARDECHE (NZ) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",359067,6,6,"Ranger","3","g",57.00,6,1.38.05,0.37.43,6.10," ","Debbie Sweeney","Te Awamutu",3.10,0.00,0.00,"Andrew Calder",57.00,0.00,60,0,0,"Approved Plates (Hind) (1st time), Concussion Plates (Front) (1st time), Lugging Bit, Blinkers on",338027,"GHIBELLINES (AUS) 2011",235775,"TURN THE PAGE (NZ) 2003",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",380485,7,8,"Red Hussar (AUS)","3","g",57.00,2,1.37.53,0.36.46,3.00," NECK","Graham Richardson","Matamata",4.70,1.80,2000.00,"Michael Coleman",57.00,0.00,50,0,0,"Approved Plates, Lugging Bit",277589,"HUSSON (ARG) 2003",380486,"LOHAN (AUS) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",363719,8,7,"Peerless Warrior (AUS)","3","g",57.00,3,1.37.60,0.36.21,3.30," HEAD","Ralph Manning","Cambridge",23.10,5.20,1000.00,"Jasmine Fawcett",56.00,1.00,45,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",283272,"RUTHLESS LADY (NZ) 2010",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",380145,9,10,"Commotion","4","m",56.50,4,1.37.64,0.36.30,3.50," 3/4 LEN","Ralph Manning","Cambridge",9.10,0.00,500.00,"Danielle Johnson",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",313448,"NIAGARA (AUS) 2008",200024,"DEMOLITION BABE (NZ) 1998",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204674,7,,Flat,1600,"MDN","TRACKS CONCRETE LTD 1600",10000.00,16:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",363140,11,4,"Geejayroc","3","f",55.00,10,1.39.88,0.38.30,17.50," ","Graham Thomas","Cambridge",24.10,0.00,0.00,"Samantha Collett",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",259868,"MANGAROA MINI (NZ) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",349911,1,8,"Our Beeskees","4","g",58.50,1,2.10.42,0.37.89,," SHORT NECK","Debbie Sweeney","Te Awamutu",5.00,2.00,6250.00,"Lynsey Satherley",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit",241392,"NOM DU JEU (NZ) 2004",278870,"KIRRA (AUS) 2005",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",396339,2,9,"Blizzing Away (AUS)","4","g",58.50,9,2.15.10,0.43.23,29.10," ","Peter & Jessica Brosnan","Matamata",14.80,0.00,0.00,"Taiki Yanagida",56.50,2.00,53,0,0,"Approved Plates, Lugging Bit, Tongue Tie",325398,"ALL TOO HARD (AUS) 2009",396340,"QUACKQUACK (AUS) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",339784,3,11,"Ying Resolute","5","g",58.50,7,2.12.11,0.40.23,10.40," ","Shaun & Emma Clotworthy","Byerley Park",32.30,0.00,0.00,"Jonathan Riddell",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",221485,"YING (NZ) 2001",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",345203,4,7,"Oak","4","g",58.50,5,2.11.42,0.38.03,5.90," 1 1/4 LEN","Graham Thomas","Cambridge",45.20,0.00,250.00,"Cameron Lammas",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",246881,"SHEZAGOODCATCH (NZ) 2005",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",364007,5,1,"I Am The Knight","3","g",57.00,11,2.18.76,0.46.67,51.90," ","Roger James & Robert Wellwood","Cambridge",15.00,0.00,0.00,"Ryan Elliot",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",343959,"ADELAIDE (IRE) 2011",271789,"LONG LASHES (NZ) 2009",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",349195,7,3,"Zealand","4","m",56.50,6,2.11.60,0.39.74,7.20," ","Roger James & Robert Wellwood","Cambridge",3.30,0.00,0.00,"Michael Coleman",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",243968,"DANISH SEAWAY (AUS) 2000",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",333953,8,6,"Southern Vogue","5","m",56.50,3,2.10.61,0.39.33,1.00," NOSE","Ken Harrison","Te Awamutu",20.20,5.00,1000.00,"Masa Hashizume",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",255297,"THE BINDI GIRL (NZ) 2006",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",346357,9,10,"Elle D'Berry","4","m",56.50,2,2.10.46,0.37.80,0.20," 3/4 LEN","Keith Hawtin","Te Awamutu",12.70,3.70,2000.00,"Matthew Cameron",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",324908,"JAKKALBERRY (IRE) 2006",261205,"ELLE TRESOR (NZ) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",353703,12,4,"Atomic Kitten","3","f",55.00,8,2.12.99,0.40.03,15.90," ","Stephen Autridge","Matamata",5.70,0.00,0.00,"Samantha Collett",55.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Nose Band",287689,"MAKFI (GB) 2007",260210,"ETERNAL PATH (USA) 2004",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",353914,13,5,"Hakuna Matata","3","f",55.00,4,2.10.62,0.38.35,1.10," 4 3/4 LEN","Wayne Hillis","Matamata",11.70,0.00,500.00,"Darren Danis",53.00,2.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",287883,"SHAMOLINE WARRIOR (AUS) 2006",272175,"KATE (NZ) 2009",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",302823,16,2,"Lucky Century","7","g",58.50,12,2.19.97,0.46.55,59.50," ","Stephen Marsh","Cambridge",44.30,0.00,0.00,"Danielle Johnson",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",255435,"LUCKY UNICORN (AUS) 2002",186238,"ESTILO CENTURIA (NZ) 1995",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204673,8,,Flat,2100,"MDN","NEW WORLD WHAKATANE 2100",10000.00,16:40:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",353978,17,12,"Power's That Be","3","f",55.00,10,2.15.70,0.42.50,32.80," ","Michael Moroney & Pam Gerard","Matamata",11.20,0.00,0.00,"Richard Oliver",55.00,0.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",313325,"POWER (GB) 2009",281268,"SADE (NZ) 2010",
