<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",351147,4,3,"Roc Wheeler","3","g",58.50,7,1.34.54,0.39.74,13.40," ","Murray Baker & Andrew Forsman","Cambridge",3.50,0.00,0.00,"Samantha Wynne",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",257188,"NICOLE AMY (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",321752,5,8,"Belle Canto","4","m",56.50,5,1.34.33,0.39.59,12.10," 1/2 LEN","Roydon Bergerson","Awapuni",3.10,0.00,250.00,"Rosie Myers",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",280637,"PER INCANTO (USA) 2004",301128,"MAREKASH (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",322448,6,9,"Sandy Small","4","m",56.50,2,1.32.35,0.37.87,0.20," 9 1/4 LEN","Adrian & Harry Bull","Hunterville",5.80,1.90,2000.00,"Charlotte O'Beirne",53.50,3.00,50,0,0,"Approved Plates, Lugging Bit, Ear Covers (1st time), Tongue Tie",242513,"GUILLOTINE (NZ) 2004",249400,"KALOSA (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",316519,7,4,"Weare Rocking","4","m",56.50,3,1.33.89,0.39.26,9.50," 3/4 LEN","Mike Breslin","Awapuni",17.10,3.60,1000.00,"Danielle Hirini",54.50,2.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",278260,"ROAD TO ROCK (AUS) 2004",245002,"TRADLEIA (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",330876,8,2,"Road To Reign","3","f",56.50,8,1.34.92,0.40.05,15.90," ","Geoff Humphries","Foxton",27.50,0.00,0.00,"Masa Tanaka",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit",278260,"ROAD TO ROCK (AUS) 2004",262259,"LIPPERTY LIP (NZ) 2004",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",310335,9,6,"In Dreamland","5","m",56.50,9,1.35.26,0.40.39,17.90," ","Elizabeth Rennie","Awapuni",36.40,0.00,0.00,"Robert Hannam",56.50,0.00,45,0,0,"Approved Plates, Standard Bit, Side Winkers, Bandages, Ear Covers",244452,"HANDSOME RANSOM (AUS) 2000",240972,"HOT SISTA (NZ) 2004",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",308887,2,7,"Paddy Bourke","5","g",59.50,3,1.17.05,0.37.71,2.50," 2 LEN","Mark Oulaghan","Awapuni",7.20,2.00,2500.00,"Timothy Johnson",57.50,2.00,74,0,0,"Approved Plates, Standard Bit, Nasal Strip, Nose Band",263679,"PATAPAN (USA) 2002",221558,"HULA BAR (NZ) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",323482,3,9,"Island Bay","4","m",57.00,6,1.17.65,0.39.06,6.60," ","Team Rogerson","Tuhikaramea",5.50,0.00,0.00,"Alex Shin",53.00,4.00,73,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",263679,"PATAPAN (USA) 2002",215257,"CENTINIZE (NZ) 2000",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",321089,4,8,"Almo Street","4","g",57.00,5,1.17.40,0.38.04,4.80," 1 3/4 LEN","Lisa Latta","Awapuni",5.60,0.00,625.00,"Robert Hannam",57.00,0.00,69,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",260964,"JESSIE STREET (NZ) 2007",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",326463,5,5,"Manhattan Street (AUS)","4","g",57.00,1,1.16.62,0.37.77,," 1 1/2 LEN","Lisa Latta","Awapuni",3.00,1.60,15625.00,"Johnathan Parkes",57.00,0.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers",287812,"MANHATTAN RAIN (AUS) 2006",323729,"CHARMING ESTELLE (AUS) 2008",
