<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",314977,7,4,"Gorbachev","4","g",54.00,5,2.22.39,0.42.05,3.40," 1 LEN","Bryce Newman","Bulls",4.90,0.00,750.00,"Tony Allan",54.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",236729,"GORKY PARK (NZ) 2003",261922,"GIMMEAWINK (AUS) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",297779,8,6,"Trisha Lea","6","m",54.00,1,2.21.81,0.41.24,," 1/2 LEN","Kylie Little","Opaki",10.30,2.60,18750.00,"Madan Singh",51.00,3.00,67,0,0,"Approved Plates, Standard Bit, Side Winkers, Bandages, Barrier Blanket",226925,"ZED (NZ) 2002",171134,"MISS AKEBONO (NZ) 1993",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",272593,1,7,"The Great Guru","8","g",60.00,12,2.26.36,0.43.48,16.50," ","Lisa Latta","Awapuni",29.00,0.00,0.00,"Alex Shin",56.00,4.00,65,57,0,"Approved Plates, Lugging Bit, Blinkers",255627,"GALLANT GURU (AUS) 2002",221694,"GREYLING (NZ) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",277136,2,13,"Bang","8","g",59.00,4,2.24.36,0.41.28,3.80," 1 LEN","Jack Scott","Foxton",29.10,0.00,1125.00,"Cameron Lammas",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit",254913,"DANGER LOOMS (AUS) 2002",234909,"KILITRISTAN (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",310523,3,9,"Handsome Return","5","g",59.00,13,2.27.69,0.45.04,24.80," ","Kevin Gray","Copper Belt Lodge, Palmerston North",6.00,0.00,0.00,"Darryl Bradley",59.00,0.00,63,0,0,"Approved Plates, Standard Bit",244452,"HANDSOME RANSOM (AUS) 2000",206581,"LICENSED TO THRILL (NZ) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",323689,4,14,"Diehard (AUS)","4","g",58.50,7,2.24.79,0.41.34,6.40," ","Murray Baker & Andrew Forsman","Cambridge",3.50,0.00,0.00,"Johnathan Parkes",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",300680,"POUR MOI (IRE) 2008",217819,"STAREEL (NZ) 2000",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",292781,5,6,"Master Patrick","6","g",58.50,2,2.23.92,0.40.54,1.30," 1 1/2 LEN","Anna Clement","Hawera",39.50,9.20,4500.00,"Anna Jones",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers, Shadow Roll on",222919,"KEEPER (AUS) 1997",228975,"FREEZEM (NZ) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",290609,6,4,"Game Percy","6","g",57.50,5,2.24.53,0.41.40,4.80," 1 1/2 LEN","Kevin Myers","Wanganui",14.80,0.00,565.00,"Sarah MacNab",55.50,2.00,60,71,55,"Approved Plates, Lugging Bit",270284,"SIR PERCY (GB) 2003",230500,"GAME CALL (NZ) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",298628,7,10,"Zac Brown","6","g",57.50,10,2.25.80,0.42.28,13.00," ","Stephen Nickalls","Awapuni",17.90,0.00,0.00,"Lisa Allpress",57.50,0.00,60,0,0,"Approved Plates, Hoof Pads (Hind), Lugging Bit",226925,"ZED (NZ) 2002",245749,"POSTA SECRET (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",330933,8,1,"Galway Lil","3","f",57.00,11,2.26.05,0.42.60,14.50," ","Adrian & Harry Bull","Hunterville",8.30,0.00,0.00,"Charlotte O'Beirne",54.00,3.00,63,0,0,"Approved Plates, Lugging Bit",244452,"HANDSOME RANSOM (AUS) 2000",224340,"LILY BUZZ (NZ) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",310928,9,3,"Class Above","5","g",57.00,14,2.29.97,0.45.76,39.10," ","Gerald Innes","Opaki",30.80,0.00,0.00,"Dylan Turner",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie on",226925,"ZED (NZ) 2002",240100,"SPRINGVALE LASS (NZ) 2004",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",312723,10,5,"Deep Blue","5","g",57.00,6,2.24.77,0.41.48,6.30," ","Gene Andrew","Awapuni",8.60,0.00,0.00,"Samantha Wynne",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",245781,"SUFFICIENT (NZ) 2005",235851,"CRACK A DAWN (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",324961,11,12,"Nadiasstar","4","m",56.50,8,2.25.29,0.42.12,9.70," ","Gary Vile","Awapuni",9.10,0.00,0.00,"Robert Hannam",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit",261934,"NADEEM (AUS) 2003",242424,"STAR GUEST (NZ) 2004",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",297575,12,2,"Cuzzie Charlie","6","g",56.50,3,2.24.17,0.41.16,2.80," 1 LEN","Raymond Connors","Wanganui",15.40,3.80,2250.00,"Shaun McKay",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",209808,"CAERNARFON (NZ) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",302192,13,11,"Nicoshine (AUS)","6","g",55.50,9,2.25.69,0.42.92,12.20," ","Tony Bambry","Awapuni",20.40,0.00,0.00,"Madan Singh",52.50,3.00,56,69,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",216271,"STARCRAFT (NZ) 2000",302193,"HOLLY GO LIGHTLY (AUS) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197556,5,,Flat,2100,"Rating 65 Benchmark*","THE RAT HOLE BULLS/ JOHN TURKINGTON FORESTRY HANDICAP",22500.00,14:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",312853,14,8,"Defer","5","g",55.00,1,2.23.74,0.41.16,," 1 1/4 LEN","Paul Mirabelli","Cambridge",32.70,8.10,14060.00,"Zinjete Moki",52.50,2.50,55,0,0,"Approved Plates, Lugging Bit, Nose Band",225552,"POSTPONED (USA) 1997",245260,"SILVER FASHION (IRE) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",323940,2,7,"Neeson","4","g",57.50,3,1.41.64,0.39.74,1.30," LONG NECK","Stephen McKee","Ardmore",3.60,1.70,2500.00,"Lisa Allpress",57.50,0.00,70,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Barrier Blanket",172521,"O'REILLY (NZ) 1993",241216,"IRISH COLLEEN (NZ) 2004",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",311654,3,11,"Eva Jensine","5","m",57.00,8,1.42.44,0.40.22,6.40," ","Ron Balcombe","Marton",18.30,0.00,0.00,"Zinjete Moki",54.00,3.00,73,0,0,"Approved Plates, Lugging Bit, Ear Covers",278350,"RED GIANT (USA) 2004",254667,"O'ERIN (NZ) 2006",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",352050,4,3,"Detentore","3","g",56.50,1,1.41.43,0.39.86,," 3/4 LEN","Fraser Auret","Marton",6.20,2.30,15625.00,"Johnathan Parkes",56.50,0.00,68,0,0,"Approved Plates, Lugging Bit",222919,"KEEPER (AUS) 1997",257007,"MERINDA (NZ) 2007",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",284107,5,12,"Jump For Joy","7","m",56.00,7,1.42.24,0.40.24,5.10," ","Janna Pettit","Woodville",26.90,0.00,0.00,"Sarah MacNab",54.00,2.00,71,0,0,"Approved Plates, Standard Bit",244452,"HANDSOME RANSOM (AUS) 2000",177573,"JOIE DE CHINE (NZ) 1994",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",300317,6,9,"Gordys Gesture","7","g",56.00,9,1.42.63,0.40.94,7.70," NECK","Chris Bothwell","Stratford",30.50,0.00,0.00,"Anna Jones",56.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers",219979,"CITY ON A HILL (USA) 1997",234298,"PLAYING FOR KEEPS (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",316077,7,2,"Viktor Vegas","4","g",56.00,2,1.41.55,0.39.54,0.80," 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",5.60,2.10,5000.00,"Cameron Lammas",56.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers on",248656,"TAVISTOCK (NZ) 2005",245399,"PURNIMA (AUS) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",303486,8,8,"Sarabande","5","m",55.50,6,1.41.88,0.39.78,2.80," ","Jim Collett","Matamata",10.80,0.00,0.00,"Kelly McCulloch",55.50,0.00,70,0,0,"Approved Plates, Lugging Bit, Side Winkers",238456,"SAVABEEL (AUS) 2001",220877,"MERENGUE (NZ) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",319484,9,10,"Ophelia Lee","4","m",55.00,5,1.41.76,0.39.82,2.00," 3/4 LEN","David & Emma Haworth","Foxton",6.70,0.00,625.00,"Masa Tanaka",55.00,0.00,69,0,0,"Ear Covers Pre-Race, Approved Plates, Concussion Plates (Front), Lugging Bit",172521,"O'REILLY (NZ) 1993",211685,"QWIKCHIK (NZ) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",324652,10,1,"Shared Secrets","4","m",55.00,10,1.42.69,0.40.76,8.00," ","Mark Oulaghan","Awapuni",11.80,0.00,0.00,"Shaun McKay",55.00,0.00,69,0,0,"Approved Plates, Lugging Bit",261934,"NADEEM (AUS) 2003",258718,"EVA KELLY (NZ) 2007",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",300923,11,5,"Onefortheditch","6","m",54.50,11,1.46.10,0.43.86,29.30," ","Kevin Myers","Wanganui",20.60,0.00,0.00,"Wiremu Pinn",50.50,4.00,68,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",238291,"ELUSIVE CITY (USA) 2000",235847,"MOLLY O'REILLY (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",306442,12,4,"Master Platinum","5","g",54.00,4,1.41.71,0.40.06,1.70," NECK","Lisa Latta","Awapuni",16.60,0.00,1250.00,"Samantha Wynne",54.00,0.00,59,0,0,"Approved Plates, Standard Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",252558,"PLATINUM ZANA (AUS) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197554,6,,Flat,1550,"Rating 75 Benchmark","WATER FORCE HANDICAP",25000.00,14:50:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",274313,14,6,"My Magician","8","g",54.00,12,1.46.91,0.45.16,34.30," ","Gary Vile","Awapuni",72.80,0.00,0.00,"Robert Hannam",54.00,0.00,55,77,58,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",253399,"REMIND (USA) 2000",151204,"ASHLEY STAR (NZ) 1990",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",275957,1,6,"Ringo","8","g",60.00,2,1.40.84,0.38.78,0.80," LONG HEAD","Mike Breslin","Awapuni",14.60,4.00,9000.00,"Johnathan Parkes",60.00,0.00,93,0,0,"Approved Plates, Lugging Bit, Blinkers",244847,"FASTNET ROCK (AUS) 2001",230065,"AKRIS (NZ) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",306013,2,4,"William Wallace","5","g",58.00,5,1.41.13,0.38.71,2.50," 3 1/2 LEN","Adrian & Harry Bull","Hunterville",3.30,0.00,1125.00,"Rosie Myers",58.00,0.00,89,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",230462,"DARCI BRAHMA (NZ) 2002",234415,"HULUAVA (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",308491,3,3,"Ruby Armani","5","m",56.00,3,1.40.88,0.38.62,1.00," HEAD","Michael Moroney & Pam Gerard","Matamata",4.60,1.80,4500.00,"Cameron Lammas",56.00,0.00,89,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip",287689,"MAKFI (GB) 2007",233278,"TRUJILLO (USA) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",300726,4,5,"Sasanof's Hero","6","g",55.50,9,1.43.59,0.41.44,18.00," ","Jim Collett","Matamata",11.60,0.00,1000.00,"Tegan Abel",55.50,0.00,84,0,0,"Approved Plates, Lugging Bit, Blinkers",263679,"PATAPAN (USA) 2002",211703,"ANGEL'S HONOUR (NZ) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",290463,5,1,"Slimline","6","m",54.50,8,1.43.28,0.40.82,16.00," ","Gary Vile","Awapuni",11.80,0.00,1000.00,"Robert Hannam",54.50,0.00,86,0,0,"Approved Plates, Lugging Bit",250272,"CASTLEDALE (IRE) 2001",215004,"TENOR OF JOY (NZ) 2000",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",297181,6,7,"Platinum Command","6","m",53.50,6,1.41.70,0.39.18,6.00," ","Lisa Latta","Awapuni",9.20,0.00,1000.00,"Timothy Johnson",53.50,0.00,84,0,0,"Approved Plates, Lugging Bit",278350,"RED GIANT (USA) 2004",252406,"WEDNESDAY ROCKS (NZ) 2006",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",292474,7,9,"She's Poppy","6","m",53.00,1,1.41.43,0.38.26,," 3/4 LEN","Raymond Connors","Wanganui",5.70,1.90,28125.00,"Shaun McKay",53.00,0.00,83,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",196062,"CASSANDRA (NZ) 1997",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",300239,8,2,"Third Time Lucky","6","m",53.00,4,1.40.91,0.38.30,1.20," 1 1/4 LEN","Kevin Myers","Wanganui",11.50,0.00,2250.00,"Lisa Allpress",53.00,0.00,79,0,0,"Approved Plates, Lugging Bit",255435,"LUCKY UNICORN (AUS) 2002",214463,"TAKE THREE (NZ) 2000",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",196020,7,Listed Race,Flat,1550,"OPN HCP","JAMES BULL RANGITIKEI GOLD CUP",50000.00,15:29:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",302442,9,8,"Saffron Lady","5","m",53.00,7,1.42.02,0.39.75,8.00," ","Michael Moroney & Pam Gerard","Matamata",16.70,0.00,1000.00,"Darryl Bradley",53.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Ear Covers, Tongue Tie",255989,"IFFRAAJ (GB) 2001",208458,"COLOURFAST (NZ) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",331067,2,7,"Platinum Volos","3","g",59.50,10,1.33.75,0.42.22,17.60," ","Lisa Latta","Awapuni",15.00,0.00,0.00,"Samantha Wynne",59.50,0.00,64,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",258938,"TYNDINSKY (NZ) 2007",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",318049,3,1,"Brahmarahma","4","g",59.00,5,1.31.57,0.41.01,4.00," 2 1/2 LEN","Lisa Latta","Awapuni",7.30,0.00,565.00,"Masa Tanaka",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",262045,"GIFTED LASS (AUS) 2003",
