<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",333548,4,4,"Curious George","6","g",58.00,7,3.05.18,0.41.67,6.10," ","John Bell","Cambridge",12.30,0.00,337.00,"Joe Kamaruddin",55.00,3.00,61,57,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Nose Band",238876,"RESET (AUS) 2000",227391,"LUCKY BE LUCKY (USA) 2000",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",332162,5,2,"Mizzena","6","m",57.00,4,3.04.46,0.40.19,2.10," 1 1/4 LEN","Kevin Myers","Wanganui",4.40,0.00,1125.00,"Temyia Taiaroa",55.00,2.00,63,59,0,"Approved Plates, Lugging Bit, Nose Band",226925,"ZED (NZ) 2002",246023,"MOONLIGHTER (NZ) 2005",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",310913,6,5,"Notabadrooster","10","g",56.50,11,3.14.76,0.49.85,61.00," ","Niall Quinn","Wanganui",29.80,0.00,337.00,"Mereana Hudson",56.50,0.00,58,68,71,"Approved Plates",259294,"THANO (ARG) 2002",169537,"BROWN EYED GIRL (NZ) 1993",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",290345,7,8,"Bear Gryls","9","g",56.00,6,3.05.00,0.41.43,5.10," ","Barry Coxhead","Hawera",8.90,0.00,337.00,"Ashvin Mudhoo",53.00,3.00,56,0,0,"Approved Plates, Lugging Bit, Bandages",256540,"CECCONI (AUS) 2004",244163,"SAINT LUCY (AUS) 2000",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",333422,8,1,"Hypatia","6","m",55.00,10,3.06.44,0.42.21,13.40," ","Mike Breslin","Awapuni",8.20,0.00,337.00,"Faye Lazet",51.00,4.00,59,0,0,"Approved Plates, Tongue Control Bit, Blinkers, Barrier Blanket, Nasal Strip",238456,"SAVABEEL (AUS) 2001",235056,"I QUE (NZ) 2003",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",305755,9,11,"Leica Warrior","8","g",55.00,9,3.05.75,0.41.23,9.40," ","Maxim Van Lierde","Cambridge",60.80,0.00,337.00,"Eilish McCall",52.00,3.00,55,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit, Nose Band, Tongue Tie (1st time)",209726,"ISTIDAAD (USA) 1992",207106,"CHER FOX (NZ) 1999",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",319243,10,9,"Pierian Spring","7","g",55.00,5,3.04.70,0.40.79,3.40," ","Team Rogerson","Tuhikaramea",34.60,0.00,337.00,"Brandon May",55.00,0.00,55,50,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",301053,"CAPE BLANCO (IRE) 2007",230019,"PIERIAN (NZ) 2002",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",343715,11,7,"Beaudacea","5","m",54.00,1,3.04.01,0.41.01,," NECK","Paul Moseley","Hawera",48.60,9.00,12156.00,"Darryl Bradley",54.00,0.00,45,0,0,"Approved Plates, Standard Bit, Side Winkers",241392,"NOM DU JEU (NZ) 2004",226578,"ROANAH (NZ) 2002",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",359135,1,7,"Porotene Cruza","4","g",58.50,7,1.19.59,0.42.17,14.60," ","Trudy Keegan","Stratford",4.30,0.00,200.00,"Faye Lazet",54.50,4.00,52,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",271715,"POROTENE PRINCESS (NZ) 2009",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",349566,2,3,"Blue Arrow","6","g",58.50,4,1.19.19,0.40.73,12.40," 1/2 LEN","Tina Egan","Stratford",18.10,0.00,400.00,"Sam O'Malley",58.00,0.50,49,0,0,"Approved Plates, Butterfly Bit (1st time), Barrier Blanket",302210,"DALGHAR (FR) 2006",202074,"BOWEN ARROW (NZ) 1998",
