<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",348261,9,9,"Haere Up","5","m",56.50,3,1.33.75,0.43.00,6.10," 1 1/2 LEN","Rudy Liefting","Pukekohe Park",15.70,3.40,700.00,"Callum Jones",53.50,3.00,47,0,0,"Approved Plates, Lugging Bit",275174,"MOVE FASTER (NZ) 2009",258481,"HAERE RA (NZ) 2007",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",377140,10,10,"The Bouquet Slayer","3","f",56.50,8,1.35.16,0.43.93,14.30," ","Cody Cole","Matamata",12.90,0.00,200.00,"Sam Spratt",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",350875,"CONTRIBUTER (IRE) 2010",273712,"SULTRY ASSASSIN (NZ) 2009",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211369,5,,Flat,1600,"Rating 74 Benchmark","LANDMARK HOMES 1600",27500.00,14:04:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Heavy",10,"Overcast",329057,1,7,"Dawn Jessie","6","m",59.00,2,1.43.37,0.40.76,1.80," 4 1/4 LEN","Peter Lock","Te Aroha",9.20,3.80,4812.00,"Ashvin Mudhoo",56.00,3.00,73,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",245385,"SUN RULER (AUS) 2005",265132,"ROCOCOA (NZ) 2008",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211369,5,,Flat,1600,"Rating 74 Benchmark","LANDMARK HOMES 1600",27500.00,14:04:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Heavy",10,"Overcast",350811,2,2,"Way Above (AUS)","5","g",58.00,3,1.44.10,0.41.01,6.10," NOSE","Kevin Myers","Wanganui",6.20,0.00,2337.00,"Temyia Taiaroa",56.00,2.00,67,0,0,"Approved Plates, Lugging Bit, Tongue Tie",302053,"SMART MISSILE (AUS) 2008",241216,"IRISH COLLEEN (NZ) 2004",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211369,5,,Flat,1600,"Rating 74 Benchmark","LANDMARK HOMES 1600",27500.00,14:04:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Heavy",10,"Overcast",346883,3,4,"Magdala","5","m",56.50,6,1.44.78,0.41.41,10.00," ","Rudy Liefting","Pukekohe Park",3.40,0.00,412.00,"Callum Jones",53.50,3.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers",244648,"BACHELOR DUKE (USA) 2001",217827,"MARLENA (NZ) 2000",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211369,5,,Flat,1600,"Rating 74 Benchmark","LANDMARK HOMES 1600",27500.00,14:04:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Heavy",10,"Overcast",360554,4,3,"Judy's Song","4","m",55.00,4,1.44.11,0.41.02,6.20," 2 1/2 LEN","David Greene","Te Rapa",2.40,0.00,1375.00,"Joe Kamaruddin",52.00,3.00,65,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers (1st time)",313448,"NIAGARA (AUS) 2008",252275,"IMPERIAL DRAGON (NZ) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211369,5,,Flat,1600,"Rating 74 Benchmark","LANDMARK HOMES 1600",27500.00,14:04:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Heavy",10,"Overcast",364789,5,1,"Bubble Gum","4","m",54.50,1,1.43.07,0.40.14,," 1 3/4 LEN","John Wheeler","New Plymouth",10.70,3.90,14856.00,"Diego Montes de Oca",53.50,1.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers - 1 cup O/S, Barrier Blanket",258606,"JIMMY CHOUX (NZ) 2007",268605,"O'GOSH (NZ) 2008",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211369,5,,Flat,1600,"Rating 74 Benchmark","LANDMARK HOMES 1600",27500.00,14:04:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Heavy",10,"Overcast",318059,7,6,"Gobuyit","7","g",55.50,5,1.44.55,0.41.77,8.70," ","Jeff Bliss","Stratford",8.30,0.00,412.00,"Jasmine Fawcett",54.00,1.50,62,0,0,"Approved Plates, Lugging Bit, Blinkers",248728,"FULLY FLEDGED (NZ) 2005",248868,"ZIGGYINTHEMIDDLE (NZ) 2005",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",385579,1,9,"Cleese","3","g",58.50,1,1.45.41,0.42.97,," 1 LEN","John Bell","Cambridge",3.20,1.50,5400.00,"Sam Spratt",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit",304111,"SWEET ORANGE (USA) 2007",254942,"KYNISKA (NZ) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",363987,3,7,"Sir Caleb","4","g",58.50,4,1.45.80,0.42.84,2.20," 5 LEN","Robbie Patterson","New Plymouth",5.20,0.00,400.00,"Joe Kamaruddin",55.50,3.00,52,0,0,"Approved Plates, Lugging Bit",264906,"HARADASUN (AUS) 2003",227220,"MUMZAHONEY (NZ) 2002",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",358033,4,4,"Blue Choux","4","g",58.50,5,1.46.66,0.43.61,7.20," ","J J Rayner","Wanganui",29.10,0.00,200.00,"Sam O'Malley",58.00,0.50,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",258606,"JIMMY CHOUX (NZ) 2007",203218,"POLLY'S POCKET (USA) 1994",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",375526,5,2,"Upclosenough","3","g",58.50,8,1.47.61,0.44.92,12.70," ","Danny Walker","Byerley Park",7.00,0.00,200.00,"Jasmine Fawcett",58.50,0.00,45,0,0,"Approved Plates, Tongue Control Bit, Blinkers",338027,"GHIBELLINES (AUS) 2011",229822,"UPCLOSENPERSONAL (NZ) 2002",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",360977,8,11,"The Twinkling","4","m",56.50,2,1.45.60,0.43.05,1.00," LONG NECK","Shaune Ritchie & Colm Murray","Cambridge",3.80,1.80,1500.00,"Callum Jones",53.50,3.00,50,0,0,"Approved Plates, Lugging Bit",337951,"CHARM SPIRIT (IRE) 2011",223820,"THE DAZZLER (NZ) 2001",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",340737,9,6,"Jakki Sparrow","5","m",56.50,9,1.47.72,0.45.14,13.30," ","Maxim Van Lierde","Cambridge",32.30,0.00,200.00,"Eilish McCall",53.50,3.00,47,50,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",324908,"JAKKALBERRY (IRE) 2006",263821,"SHEZAPEARLA (NZ) 2008",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",369023,10,8,"All In Blackberry","3","f",56.50,11,1.55.60,0.51.85,58.40," ","Kevin Gray","Copper Belt Lodge, Palmerston North",28.40,0.00,200.00,"Darryl Bradley",56.50,0.00,45,0,0,"Approved Plates, Norton Bit, Blinkers (1st time)",324908,"JAKKALBERRY (IRE) 2006",238962,"ALL IN BLACK (NZ) 2004",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",346783,11,1,"Hermes","5","m",56.50,7,1.47.45,0.44.66,11.80," ","Karen Buttimore","Hawera",30.30,0.00,200.00,"Chris Dell",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",258606,"JIMMY CHOUX (NZ) 2007",312950,"SHANPANICHI (AUS) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",373154,12,5,"One To Die For","3","f",56.50,3,1.45.67,0.42.63,1.40," 3/4 LEN","Kevin Gray","Copper Belt Lodge, Palmerston North",25.40,5.20,700.00,"Temyia Taiaroa",54.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Brow Band",248656,"TAVISTOCK (NZ) 2005",312889,"FATAL ATTRACTION (AUS) 2000",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",368809,14,10,"Upland Court","3","f",56.50,6,1.47.03,0.43.97,9.40," ","Kevin Myers","Wanganui",17.40,0.00,200.00,"Mereana Hudson",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",350875,"CONTRIBUTER (IRE) 2010",293827,"DREAM RUN (NZ) 2011",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211372,6,,Flat,1600,"MDN","ANTON MORA & SON MDN",10000.00,14:42:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",317637,15,3,"Tigerbee","7","m",56.50,10,1.48.19,0.44.97,16.00," ","Erin Hocquard","Waverley",20.20,0.00,200.00,"Ashvin Mudhoo",53.50,3.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",277655,"TIGER PRAWN (SAF) 2002",252713,"PEMBEE (NZ) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",325953,1,6,"Mauna Kea","7","g",61.50,4,2.02.09,0.43.60,5.10," 4 1/2 LEN","Paul Moseley","Hawera",14.90,0.00,1625.00,"Faye Lazet",57.50,4.00,88,0,0,"Approved Plates, Lugging Bit, Blinkers",280637,"PER INCANTO (USA) 2004",246266,"CITY CLASS ROSE (NZ) 2005",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",285901,2,1,"Overtheriver","10","g",61.00,7,2.04.07,0.44.53,16.30," ","Kevin Myers","Wanganui",11.10,0.00,487.00,"Sam O'Malley",58.00,3.00,87,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",236672,"METTRE EN JEU (NZ) 2003",213242,"QUALITY EYES (AUS) 2000",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",380391,3,3,"My Gift (IRE)","8","g",58.00,3,2.01.88,0.43.27,3.80," 1 1/4 LEN","Tim & Margaret Carter","Cambridge",6.50,1.90,2762.00,"Joe Kamaruddin",55.00,3.00,81,0,0,"Approved Plates, Lugging Bit",365208,"NOTNOWCATO (GB) 2002",380392,"RED BLOSSOM (GB) 2004",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",344361,4,8,"Hasabro","5","g",57.50,1,2.01.20,0.43.42,," 1 1/2 LEN","Stephen McKee","Ardmore",3.10,1.50,17556.00,"Sam Spratt",57.50,0.00,80,0,0,"Approved Plates, Lugging Bit, Nose Band",238456,"SAVABEEL (AUS) 2001",269731,"HALLOWEEN (AUS) 2005",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",299959,5,7,"Pacorus","9","g",57.50,6,2.03.26,0.44.77,11.70," ","Chris Wood","Cambridge",11.60,0.00,487.00,"Danielle Hirini",57.50,0.00,80,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",180276,"ZA TIARA (NZ) 1994",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",342945,6,4,"Hi I'm Nikkita","5","m",55.50,5,2.02.89,0.43.36,9.60," ","Gary McBeth","New Plymouth",6.70,0.00,487.00,"Temyia Taiaroa",53.50,2.00,80,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Blinkers",257403,"HE'S REMARKABLE (NZ) 2007",325583,"PARTY TRICKS (AUS) 2008",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",352762,7,2,"Beaudz Well","4","g",55.50,2,2.01.48,0.43.22,1.50," 2 1/4 LEN","John Wheeler","New Plymouth",4.00,1.60,5687.00,"Diego Montes de Oca",54.50,1.00,76,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",224849,"CELTIC ROSE (NZ) 2001",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211366,7,,Flat,1800,"OPN HCP","ENERGY CITY FORD 1800",32500.00,15:16:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",282646,8,5,"Tallyho Twinkletoe","10","g",54.00,8,2.05.53,0.45.61,24.70," ","Kevin Myers","Wanganui",13.50,0.00,487.00,"Mereana Hudson",54.00,0.00,73,98,94,"Approved Plates, Lugging Bit, Bandages",210214,"ST REIMS (NZ) 1999",194599,"ALBACORA (NZ) 1997",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",346632,1,3,"Crystallize","5","g",62.00,3,1.30.88,0.39.78,2.30," 1 1/4 LEN","Danny Walker","Byerley Park",5.40,0.00,2762.00,"Ashvin Mudhoo",59.00,3.00,87,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",250655,"CRYSTALINA (IRE) 2001",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",314696,2,4,"Rosewood","7","m",61.00,2,1.30.59,0.38.85,0.50," 1 3/4 LEN","Marilyn Paewai","Inglewood",7.30,3.60,5687.00,"Hazel Schofer",60.00,1.00,89,0,0,"Approved Plates, Standard Bit",301937,"REDWOOD (GB) 2006",253433,"GLAD EYE (GB) 2003",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",351129,3,2,"Manrico","5","g",61.00,6,1.31.68,0.40.45,6.90," ","Stephen Ralph","Te Awamutu",3.80,0.00,487.00,"Eilish McCall",58.00,3.00,85,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",287450,"SHOCKING (AUS) 2005",205539,"FLYING BABE (AUS) 1998",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",329890,4,5,"Collinstreet","6","g",58.50,4,1.31.08,0.39.55,3.60," 1 1/4 LEN","Allan Sharrock","New Plymouth",11.70,0.00,1625.00,"Joe Kamaruddin",55.50,3.00,80,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",244648,"BACHELOR DUKE (USA) 2001",234658,"BLACK GRACE (NZ) 2003",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",335490,5,1,"Je Suis Tiger","6","m",56.00,5,1.31.32,0.39.87,4.90," ","Gary Hennessy","Matamata",2.90,0.00,487.00,"Jasmine Fawcett",56.00,0.00,79,0,0,"Approved Plates, Standard Bit",277655,"TIGER PRAWN (SAF) 2002",239502,"JE SUIS (NZ) 2004",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",349372,6,7,"Diogenes","5","g",54.00,1,1.30.50,0.39.39,," 1/2 LEN","Nigel Tiley","Pukekohe",6.30,2.70,17556.00,"Callum Jones",51.00,3.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",278342,"THEWAYYOUARE (USA) 2005",263347,"SACSAYHUAMAN (AUS) 2007",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211368,8,,Flat,1400,"OPN HCP","MORE FM 1400",32500.00,15:51:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",274988,7,6,"Brother One","11","g",54.00,7,1.34.87,0.43.11,25.10," ","Karen Buttimore","Hawera",37.30,0.00,487.00,"Diego Montes de Oca",53.00,1.00,55,0,0,"Approved Plates, Lugging Bit",256540,"CECCONI (AUS) 2004",180855,"BLESSING (NZ) 1995",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211371,9,,Flat,1400,"Rating 65 Benchmark*","POWERWORX OPUNAKE CUP SATURDAY JULY 24th 1400",22500.00,16:28:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",336902,1,8,"Secret Squirrel","7","g",59.50,2,1.31.16,0.40.63,0.20," 1 1/2 LEN","Bryce Revell","New Plymouth",9.00,2.30,3937.00,"Temyia Taiaroa",57.50,2.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers",287687,"SHOWCASING (GB) 2007",287896,"NADIA JEAN (AUS) 2002",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211371,9,,Flat,1400,"Rating 65 Benchmark*","POWERWORX OPUNAKE CUP SATURDAY JULY 24th 1400",22500.00,16:28:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",379135,2,9,"Kopua","3","g",59.00,7,1.32.90,0.42.00,10.10," ","Kevin Myers","Wanganui",12.20,0.00,337.00,"Sam O'Malley",58.00,1.00,63,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",254668,"KENDALL MARIE (NZ) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211371,9,,Flat,1400,"Rating 65 Benchmark*","POWERWORX OPUNAKE CUP SATURDAY JULY 24th 1400",22500.00,16:28:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",343421,3,2,"Tiny Terror","5","g",57.50,4,1.31.69,0.41.59,3.20," 4 1/4 LEN","Paul Mirabelli","Cambridge",7.90,0.00,1125.00,"Eilish McCall",54.50,3.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band, Tongue Tie",271558,"SHAMEXPRESS (NZ) 2009",280079,"THORA (NZ) 2010",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211371,9,,Flat,1400,"Rating 65 Benchmark*","POWERWORX OPUNAKE CUP SATURDAY JULY 24th 1400",22500.00,16:28:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",377186,4,1,"Sumi","3","f",57.00,1,1.31.13,0.40.84,," HEAD","Allan Sharrock","New Plymouth",1.90,1.20,12156.00,"Hazel Schofer",56.00,1.00,63,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Barrier Blanket",300453,"ATLANTE (AUS) 2010",218015,"SEEK A FORTUNE (NZ) 2000",
