<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",380078,15,6,"Emvees Last Hurrah","3","g",58.50,13,1.28.53,0.40.02,14.00," ","Roydon Bergerson","Awapuni",43.00,0.00,200.00,"Hazel Schofer",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",255519,"ELLE'S AURA (NZ) 2006",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",360420,16,2,"Kingston Flyer","4","g",58.50,4,1.26.53,0.37.48,2.20," SHORT HEAD","Donna Beck","Levin",11.00,0.00,400.00,"Trevor Bau",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",271956,"SACRED FALLS (NZ) 2009",272384,"FOILED (AUS) 1998",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",372195,17,13,"Collector","3","g",58.50,14,1.28.73,0.39.56,15.30," ","Bill Thurlow","Waverley",24.90,0.00,200.00,"Sam O'Malley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",313325,"POWER (GB) 2009",299735,"VIRTUOUS (NZ) 2011",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",373456,19,11,"Haka Boogie","3","g",58.50,9,1.27.69,0.39.04,9.10," ","J J Rayner","Wanganui",13.30,0.00,200.00,"Madan Singh",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",222131,"SUMMER NYMPH (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",366910,1,11,"Miss Dixie","3","f",57.50,6,1.15.76,0.38.14,3.10," ","Anna Clement","Hawera",2.80,0.00,200.00,"Hazel Schofer",56.50,1.00,62,0,0,"Approved Plates, Lugging Bit",350875,"CONTRIBUTER (IRE) 2010",290201,"PHOEBE SNOW (NZ) 2011",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",374650,2,4,"Iconic Lass","3","f",57.50,9,1.16.20,0.38.72,5.80," ","Rosie Buchanan","Stratford",5.10,0.00,200.00,"Mereana Hudson",57.50,0.00,54,0,0,"Approved Plates, Standard Bit",287687,"SHOWCASING (GB) 2007",301289,"CHERRY VAIN (AUS) 2011",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",368024,3,14,"Once Bitten","3","f",57.50,7,1.15.91,0.38.29,4.10," ","Kevin Gray","Copper Belt Lodge, Palmerston North",11.20,0.00,200.00,"Temyia Taiaroa",55.50,2.00,52,0,0,"Approved Plates, Lugging Bit, Ear Covers",302210,"DALGHAR (FR) 2006",324737,"TWICE SHY (AUS) 2010",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",327040,4,1,"Thatz Daisy","6","m",57.50,13,1.17.47,0.40.23,13.70," ","Anne Davies","Wanganui",29.70,0.00,200.00,"Madan Singh",57.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Side Winkers",248728,"FULLY FLEDGED (NZ) 2005",206794,"FRANKIE THAT (NZ) 1999",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",379020,5,3,"Gaelic Spirit","3","f",57.50,3,1.15.64,0.38.24,2.50," 1/2 HEAD","Lisa Latta","Awapuni",21.60,4.50,700.00,"Ryan Elliot",57.50,0.00,51,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",260873,"CELTIC CHARM (NZ) 2007",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",351422,6,13,"Midnight Spark","5","m",57.50,12,1.16.84,0.38.66,9.90," ","Trudy Keegan","Stratford",23.40,0.00,200.00,"Danielle Hirini",57.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",287450,"SHOCKING (AUS) 2005",256869,"MIDNIGHT ALIYANA (NZ) 2006",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",352350,7,12,"Kool Power","4","m",57.50,2,1.15.38,0.37.98,1.00," 1 1/2 LEN","Shane Crawford","Cambridge",7.40,2.60,1500.00,"Jonathan Riddell",57.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Ear Covers (1st time)",313325,"POWER (GB) 2009",271717,"KOOL GAL (NZ) 2009",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",376916,8,6,"Porotene Sling","3","f",57.50,5,1.15.73,0.38.73,3.00," ","Trudy Keegan","Stratford",48.00,0.00,200.00,"Chris Johnson",57.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Tongue Tie",287687,"SHOWCASING (GB) 2007",288405,"SPANISH FLING (AUS) 2005",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",372444,9,7,"Pleasure","3","f",57.50,1,1.15.23,0.38.31,," 1 LEN","Peter Didham","Awapuni",5.70,2.00,5400.00,"Sarah Macnab",57.50,0.00,47,0,0,"Approved Plates, Lugging Bit",291339,"VESPA (NZ) 2011",285859,"SILVER PENNY (NZ) 2010",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",344765,10,5,"Alexavia","5","m",57.50,8,1.16.12,0.38.32,5.40," ","Rochelle Lockett","Wanganui",24.90,0.00,200.00,"Diego Montes de Oca",56.50,1.00,45,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",256053,"MONASHEES (AUS) 2000",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",374155,11,8,"Scylla","3","f",57.50,4,1.15.66,0.38.34,2.60," LONG NECK","Gary Vile","Awapuni",78.50,0.00,400.00,"Joe Kamaruddin",54.50,3.00,45,0,0,"Approved Plates, Lugging Bit, Barrier Blanket, Shadow Roll, Tongue Tie",350344,"SWEYNESSE (AUS) 2011",300486,"MISS OTTEY (AUS) 2010",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",371985,13,10,"The Witch","3","f",57.50,11,1.16.83,0.38.67,9.80," ","Tina Egan","Stratford",51.10,0.00,200.00,"Ashvin Mudhoo",54.50,3.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",319887,"WILL SHE (NZ) 2013",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",357098,14,9,"Uber Roca","4","m",57.50,10,1.16.69,0.39.09,8.80," ","Henry Gillies","Opaki",98.40,0.00,200.00,"Reon Aukett",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie on",287992,"EL ROCA (AUS) 2010",312857,"UBERFRAU (GB) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211360,5,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:30:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",9,"Cloudy",332355,15,2,"Tennessee Rose","6","m",57.50,14,1.18.87,0.41.27,22.20," ","Karen Buttimore","Hawera",67.80,0.00,200.00,"Kate Hercock",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",271306,"SAVANNAH RAIN (AUS) 1997",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",306552,1,9,"Casaquinman","8","g",61.00,8,1.16.42,0.36.30,12.40," ","Shane Brown","Woodville",9.50,0.00,220.00,"Ashvin Mudhoo",58.00,3.00,76,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",235451,"PUAN SILK (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",363043,2,4,"Conor O'Ceirin","4","g",61.00,4,1.15.23,0.36.37,5.10," 2 1/2 LEN","Kevin Rohloff","Wanganui",3.70,0.00,440.00,"Sam O'Malley",58.00,3.00,76,0,0,"Approved Plates, Standard Bit",296456,"DIAL A PRAYER (NZ) 2011",207377,"PLAYTHING (NZ) 1999",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",332520,3,1,"Spiderman","6","g",59.00,6,1.15.79,0.36.33,8.60," ","Craig Ivil","Otaki",11.90,0.00,220.00,"Charlotte O'Beirne",57.00,2.00,72,0,0,"Ear Covers Pre-Race, Approved Plates, Standard Bit, Nasal Strip, Nose Band, Tongue Tie",301937,"REDWOOD (GB) 2006",275944,"BOOTS (NZ) 2009",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",362580,4,2,"Now Is Now","4","m",57.00,2,1.15.07,0.35.89,4.00," SHORT HEAD","Johno Benner & Hollie Wynyard","Otaki",6.90,1.90,1650.00,"Darryl Bradley",57.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip (1st time), Nose Band (1st time), Tongue Tie (1st time)",276923,"BATTLE PAINT (USA) 2004",255900,"CAPE TREASURE (AUS) 2006",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",307928,6,7,"Armaguard","8","g",56.50,9,1.17.21,0.37.27,17.20," ","Suzy Gordon","Foxton",23.30,0.00,220.00,"Sarah Macnab",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",270278,"SAKHEE'S SECRET (GB) 2004",192746,"SILVAROLA (NZ) 1996",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",362407,7,6,"Meila Rei","5","m",54.50,5,1.15.64,0.36.44,7.60," ","Bryce Revell","New Plymouth",23.60,0.00,220.00,"Joe Kamaruddin",51.50,3.00,67,0,0,"Approved Plates, Lugging Bit",300392,"ECHOES OF HEAVEN (AUS) 2007",267611,"LEICA DUELL (NZ) 2008",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",353941,8,10,"Raced Evens (AUS)","4","m",54.50,1,1.14.40,0.35.46,," 4 LEN","Jaimee-Lee Lupton","Waverley",2.70,1.40,5940.00,"Ashvin Goindasamy",53.50,1.00,67,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",302513,"ZOFFANY (IRE) 2008",209797,"LUSCILLA (NZ) 1999",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",376679,9,5,"Balalaika","3","f",54.00,3,1.15.08,0.35.34,4.10," 1 LEN","Matthew Eales","Awapuni",11.60,2.00,770.00,"Chris Johnson",54.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",287687,"SHOWCASING (GB) 2007",265920,"RUSSIAN (USA) 2005",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",350545,10,3,"Cardinal O'Ceirin","5","g",54.00,10,1.17.51,0.37.65,19.00," ","Kevin Rohloff","Wanganui",43.70,0.00,220.00,"Temyia Taiaroa",52.00,2.00,57,0,0,"Approved Plates, Standard Bit",296456,"DIAL A PRAYER (NZ) 2011",233664,"MONIQUE (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211356,6,,Flat,1200,"Rating 74 Benchmark","CARPET MAINTENANCE & CLEANING 1200",11000.00,13:02:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",9,"Cloudy",336120,12,8,"Full Swing","6","m",54.00,7,1.16.30,0.36.96,11.60," ","Colin Gibson","Wanganui",39.00,0.00,220.00,"Mereana Hudson",54.00,0.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",278260,"ROAD TO ROCK (AUS) 2004",270109,"BRAIDWOOD (NZ) 2008",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",347881,1,2,"Our Cuzzie","5","g",68.50,3,2.18.95,0.40.37,3.00," 3 1/2 LEN","Raymond Connors","Wanganui",5.20,2.10,700.00,"Sabila Malki",68.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",238720,"EKRAAR (USA) 1997",235730,"OUR SISTA (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",360752,2,7,"Hold My Beer","4","g",68.50,6,2.20.39,0.41.91,11.80," ","Buddy Lammas","Otaki",9.40,0.00,200.00,"Tylah Mercer",68.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Bandages, Tongue Tie",257403,"HE'S REMARKABLE (NZ) 2007",310829,"PROVE IT (NZ) 2012",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",326757,3,10,"Shackeltons Edge","7","g",68.50,8,2.21.12,0.42.56,16.60," ","Paul Nelson & Corrina McDougal","Hastings",21.10,0.00,200.00,"Leah Zydenbos",68.50,0.00,50,0,0,"Approved Plates, Lugging Bit",259294,"THANO (ARG) 2002",252683,"ISABELLA SORAYA (NZ) 2006",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",350594,5,5,"Echo Bay","5","g",68.50,1,2.18.45,0.40.17,," 2 3/4 LEN","Kevin Myers","Wanganui",16.10,4.40,5400.00,"Lisa Kennedy",68.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",238720,"EKRAAR (USA) 1997",220358,"SHINKO BAY (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",330220,6,11,"Mr Flynn","6","g",68.50,11,2.22.18,0.43.92,23.10," ","Buddy Lammas","Otaki",37.90,0.00,200.00,"Michelle Northcott",68.50,0.00,45,55,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages",248728,"FULLY FLEDGED (NZ) 2005",240979,"MISS ALACRITY (NZ) 2004",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",356891,7,12,"Day Light","4","m",66.50,2,2.18.91,0.41.07,2.80," HEAD","Bill Thurlow","Waverley",3.10,1.50,1500.00,"Scotty MacNab",66.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",271956,"SACRED FALLS (NZ) 2009",255607,"ETHICS (AUS) 2005",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",346194,8,4,"Midge Maisel","5","m",66.50,9,2.21.17,0.42.41,16.80," ","Jaimee-Lee Lupton","Waverley",7.50,0.00,200.00,"Kishan Singh",66.50,0.00,50,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",288305,"TESTELLA (AUS) 2005",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",308010,9,1,"Tittletattle","8","m",66.50,12,2.23.54,0.43.10,31.90," ","Dean Cunningham","Marton",52.50,0.00,200.00,"Malcolm Hill",66.50,0.00,49,56,50,"Approved Plates, Lugging Bit, Side Winkers",186666,"FALTAAT (USA) 1990",213485,"REGAL SWIFT (NZ) 2000",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",328553,10,8,"Caption","6","m",66.50,5,2.19.70,0.41.50,7.30," ","Trudy Keegan","Stratford",12.30,0.00,200.00,"Nick Smith",66.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",301053,"CAPE BLANCO (IRE) 2007",223064,"DEDUCTION (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211358,7,,Flat,2060,"MDN","FLAIR (AMATEUR RIDERS SERIES) MDN 2060",10000.00,13:38:00,"N",66.50,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",334915,11,9,"Mrs Twinkletoes","6","m",66.50,4,2.19.54,0.41.38,6.50," 3/4 LEN","Jo Rathbone","Wanganui",31.70,0.00,400.00,"Portia Matthews",66.50,0.00,48,50,55,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",265223,"HEAD GIRL (AUS) 2003",
