Au Fait,213523,3,f,Paul O'Sullivan,Matamata,174092,MANNTARI (IRE) 1991,174072,NO IDEA (NZ) 1993
Jugete,216551,3,f,Graham Richardson & Mark Donoghue,Matamata,186281,SENOR PETE (USA) 1987,194236,HAMLEYS (GB) 1994
Marwar,215760,3,f,J G Sargent & K L Allpress,Matamata,206002,BAHHARE (USA) 1994,149163,SHIVNIVAS (NZ) 1990
Gold Fantastic,214536,3,f,Mark Brosnan,Matamata,202119,GERMANO (GB) 1993,153379,STRINGER'S GOLD (NZ) 1991
Proof,218592,3,f,Katrina Alexander,Waipukurau,174818,MAROOF (USA) 1990,158487,DOLLY DISASTER (AUS) 1988
Yum Yum,213860,3,f,Richard Otto & Stephen Fache,Te Awamutu,199514,ENTREPRENEUR (GB) 1994,152580,SLANCHYVAH (NZ) 1989
Zegna,217289,3,f,Mark Todd,Rangiora,199454,SHINKO KING (IRE) 1991,164964,JUBILEE (NZ) 1992
Rockfist Rogan,210854,4,g,Don Sellwood,Cambridge,173332,DESERT SUN (GB) 1988,81650,LADY WHITBY (NZ) 1986
Tuscany Jester,213483,4,g,Bruce Wallace,Byerley Park,192006,TUSCANY FLYER (AUS) 1992,82315,STRESS FACTOR (NZ) 1986
Signs,208049,4,g,Brian Hedley & Karen Brooks,Paeroa,186288,MASTERPIECE (AUS) 1991,10222,DELTELLO (NZ) 1976
Te Ohaki,207411,4,g,Andrew Meikle,Pukeatua,159391,LOWELL (USA) 1986,44401,VIVA SHARIE (NZ) 1980
Godrson,198848,6,g,Tania Skinner,Te Rapa,45026,WESTMINSTER (NZ) 1984,137962,GODR (NZ) 1989
Manjaro,216945,3,g,Stephen & Trevor McKee,Ardmore,200704,KILIMANJARO (GB) 1995,1828,ARCTIC LIFE (FR) 1983
Calcutta Red,217489,3,g,Kerry Verner,Ardmore,206410,BIJOU D'INDE (GB) 1993,125831,SOVEREIGN STAR (NZ) 1987
Jillaine,199972,5,m,D F & F A Phillips,Matangi,166989,VYNER'S ORB (AUS) 1988,42500,TOCARRA (NZ) 1982
Nora Browneyes,209618,4,m,Gary Jenkins,Takanini,159391,LOWELL (USA) 1986,157165,SHINING BLUE (NZ) 1991
Identity,219827,3,f,Katrina Alexander,Waipukurau,206669,DAGGERS DRAWN (USA) 1995,169018,HEAR'S HOPING (NZ) 1993
Silver Whirl,218205,3,f,Terry & Scott Wenn,Te Aroha,38966,SPECTACULAR LOVE (USA) 1982,169339,GIVE IT A WHIRL (NZ) 1993
Bella Kash,214519,3,f,Alan Jones & Brett McDonald,Cambridge,179607,KASHANI (USA) 1990,113697,ELLE MCPHIZAM (NZ) 1988
Anaraeo,201955,5,m,Karyn McQuade,Matamata,193274,CICERAO (IRE) 1991,96231,PRINCESS MARINA (NZ) 1985
Killara Gold,203322,5,m,Pat Rodewald,Te Aroha,193274,CICERAO (IRE) 1991,150928,SYDNEYOR (NZ) 1990
Super Season,214328,3,f,Sam Crawford,Te Rapa,199552,FOUR SEASONS (GB) 1990,163590,LIBERTY BELLE (NZ) 1992
Tyepan,216723,3,f,K S Cullen,Te Aroha,193564,PENTIRE (GB) 1992,110696,PLATINUM PLUS (NZ) 1986
Freestyler,213432,4,m,Paul Jenkins,Matamata,152710,VICTORY DANCE (IRE) 1986,148469,PODIUM (NZ) 1990
Profilio,197434,6,m,Paul De Lacy,Cambridge,179524,BRITISH BANKER (CAN) 1988,122499,ITONIA (NZ) 1987
Fourum,209456,4,m,Alison Picot,Te Rapa,199552,FOUR SEASONS (GB) 1990,95940,ALABASTER ROSE (NZ) 1986
Spring Beauty,208101,4,m,Del Roberts,Tauranga,7032,CENTAINE (AUS) 1980,112934,AUTUMN QUEEN (NZ) 1988
Avegas,212416,4,m,Tony Cole,Te Kauwhata,173332,DESERT SUN (GB) 1988,153792,PETITE CHEVAL (NZ) 1991
Desertgrey,206824,4,m,Stephen & Trevor McKee,Ardmore,173332,DESERT SUN (GB) 1988,135860,HEAD OF CHAMBERS (NZ) 1989
Frostfree,200443,5,m,Denise Jeffcoat,Pukekohe Park,66264,BLAZING KEEL (AUS) 1981,138304,FOX GLACIER (NZ) 1989
Grove Nymph,196840,6,m,Graham Richardson & Mark Donoghue,Matamata,16081,GROSVENOR (NZ) 1979,12952,FIELD NYMPH (NZ) 1977
La Cigale,206563,4,m,Mark Brosnan,Matamata,185908,DANASINGA (AUS) 1991,3285,BASIC FRENCH (AUS) 1981
Scene Steeler,213776,3,f,Richard Dee & Matthew Dixon,Cambridge,185908,DANASINGA (AUS) 1991,186797,ZANIRA (AUS) 1993
Anne Carina,218521,3,f,Graeme Sanders & Debbie Sweeney,Te Awamutu,184718,DANSKE (NZ) 1995,164194,LIDAHYA (NZ) 1992
Tickle,215753,3,f,J G Sargent & K L Allpress,Matamata,185908,DANASINGA (AUS) 1991,174903,AMANPOUR (NZ) 1994
The Ploughman,190736,7,g,Don Letcher,Te Aroha,158891,MIGHTY GREY (AUS) 1984,43628,TWIRLING ROW (NZ) 1980
Lord Equus,209667,4,g,Brian Hedley & Karen Brooks,Paeroa,23274,LORD BALLINA (AUS) 1979,45994,ZANIESHKA (NZ) 1985
The Roader,192867,7,g,Shelley Bedford,Glen Massey,179997,BLUES TRAVELLER (IRE) 1990,110713,MEMORY LANE (NZ) 1988
Crucio,211687,4,g,Mark Todd,Rangiora,20688,KINGDOM BAY (NZ) 1981,38708,SOUNDS LIKE FUN (NZ) 1983
Dan's Dream,196702,6,g,Craig Phelan,Cambridge,185908,DANASINGA (AUS) 1991,37142,SHORT STOPS (NZ) 1977
Hearty Cheers,204871,6,g,Michael Farmer,Te Aroha,132218,PANDEMONIUM (GB) 1985,131324,ADELE'S GOLD (NZ) 1988
Norville Prince,210477,4,g,Richard Collett,Pukekohe Park,175309,STARK SOUTH (USA) 1988,23593,LUCINDA LACE (NZ) 1983
Irish Edition,204039,5,m,Keith Opie,Te Aroha,172521,O'REILLY (NZ) 1993,35496,SACAYA (NZ) 1975
Jude's Last,210954,4,m,P G Hollinshead,Te Awamutu,179607,KASHANI (USA) 1990,19410,JUDENA (NZ) 1976
