<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",195268,1,1,"Our Zingaro","6","g",56.00,9,,,12.70," ","Marty Taylor","Stratford",,,0.00,"Kane Smith",56.00,0.00,0,0,0,"",20591,"KING DELAMERE (NZ) 1980",22432,"LEDBYE LARA (NZ) 1981",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",205192,3,9,"Blue","5","g",56.00,8,,,11.70," ","Lisa Latta","Awapuni",,,0.00,"Keil Collins",55.00,1.00,0,0,0,"",179997,"BLUES TRAVELLER (IRE) 1990",18057,"IMPOSING BELLE (NZ) 1984",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",196703,4,10,"Leuven","6","g",56.00,11,,,14.50," ","John Wheeler","New Plymouth",,,0.00,"Corey Te Maari",53.00,3.00,0,0,0,"",167576,"MASTERCLASS (USA) 1988",44425,"VLONKA (NZ) 1977",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",195583,5,7,"Like A Team","6","g",56.00,12,,,30.30," ","Warren Lund","Pokuru",,,0.00,"Sean Collins",55.00,1.00,0,0,0,"",37912,"SIR SIAN (NZ) 1979",41149,"TANGO AFFAIR (NZ) 1984",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",206721,6,6,"Samtat","4","h",56.00,2,,,3.00," 2 1/4 LEN","Gary Vile","Awapuni",,,1200.00,"Chris Carmine",54.00,2.00,0,0,0,"",186666,"FALTAAT (USA) 1990",164524,"MISS SAMCOR (NZ) 1992",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",217244,7,12,"Stock Agent","3","g",55.00,5,,,8.80," 1 3/4 LEN","David & Sarah Haworth","Foxton",,,150.00,"Michael Walker",55.00,0.00,0,0,0,"",206057,"ANZIYAN (USA) 1993",178339,"CENTORA (NZ) 1994",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",210954,8,3,"Jude's Last","4","m",54.50,1,2.12.18,,," 3 LEN","Peter Hollinshead","Te Awamutu",,,3750.00,"Paul Taylor",54.50,0.00,0,0,0,"",179607,"KASHANI (USA) 1990",19410,"JUDENA (NZ) 1976",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",203435,9,8,"Pearls Legacy","5","m",54.50,3,,,5.30," 1/2 LEN","Nigel Auret","Wanganui",,,600.00,"David Walker",54.50,0.00,0,0,0,"",16081,"GROSVENOR (NZ) 1979",30446,"PEARL HARBOUR (NZ) 1979",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",208405,10,4,"Knattleikr","4","m",54.50,6,,,10.60," ","Andrew Parkes","Wanganui",,,0.00,"Daniel Bothamley",51.50,3.00,0,0,0,"",145618,"BALL PARK (NZ) 1989",155483,"ICICLES (NZ) 1991",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",205053,11,11,"Marimba Magic","5","m",54.50,10,,,13.50," ","Marty Taylor","Stratford",,,0.00,"Emma Lloyd",54.50,0.00,0,0,0,"",193274,"CICERAO (IRE) 1991",398,"AGAINST THE ODDS (NZ) 1983",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",216327,12,2,"Pen Pal","3","f",53.50,4,,,5.80," 3 LEN","Guy Lowry","Hastings",,,300.00,"Darryl Bradley",53.50,0.00,0,0,0,"",193564,"PENTIRE (GB) 1992",178529,"MASAWA (NZ) 1994",
30395,2004-01-31,4,"Awapuni","Other","Race","Rangitikei R.C.","RANGITIKEI RC 31 JAN","Good",0,"Fine","4 metres",120461,1,,Flat,2100,"MDN","PETER LONG SPRAY PAINTERS MAIDEN",6000.00,12:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",217818,13,5,"Radiance","3","f",53.50,7,,,11.60," ","Graeme Rogerson & Stephen Autridge","Tuhikaramea",,,0.00,"Mark Barnsley",53.50,0.00,0,0,0,"",87997,"ZABEEL (NZ) 1986",89415,"IMPOSING BLOOM II (NZ) 1985",
