<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129564,1,,Flat,1200,"3YO HCP","HERALD ON SUNDAY 3YO",11000.00,12:30:00,"N",52.00,"3yo","Open","unrestricted","hcp","Heavy",0,"Showery",224858,1,3,"Coup Invercargill","3","g",57.00,1,1.17.30,,," 1/2 HEAD","Richard Collett & Shane Hapeta","Pukekohe Park",,,7150.00,"Cameron Lammas",57.00,0.00,85,0,0,"",185908,"DANASINGA (AUS) 1991",106105,"THUM'S LIL SISTER (USA) 1982",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129564,1,,Flat,1200,"3YO HCP","HERALD ON SUNDAY 3YO",11000.00,12:30:00,"N",52.00,"3yo","Open","unrestricted","hcp","Heavy",0,"Showery",221692,2,4,"Jiao Dragon","3","f",55.00,6,,,12.60," ","Richard Collett & Shane Hapeta","Pukekohe Park",,,0.00,"Michael Coleman",55.00,0.00,79,0,0,"",185908,"DANASINGA (AUS) 1991",160781,"MICKELOB (NZ) 1992",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129564,1,,Flat,1200,"3YO HCP","HERALD ON SUNDAY 3YO",11000.00,12:30:00,"N",52.00,"3yo","Open","unrestricted","hcp","Heavy",0,"Showery",224912,3,2,"Quest For Kash","3","f",54.50,2,,,0.10," 8 LEN","Ben Foote","Cambridge",,,2200.00,"Lisa Allpress",54.50,0.00,76,0,0,"",179607,"KASHANI (USA) 1990",120437,"SUNQUEST (NZ) 1987",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129564,1,,Flat,1200,"3YO HCP","HERALD ON SUNDAY 3YO",11000.00,12:30:00,"N",52.00,"3yo","Open","unrestricted","hcp","Heavy",0,"Showery",222937,5,6,"Bodacious","3","g",54.00,3,,,8.10," 1 3/4 LEN","Ralph Manning","Cambridge",,,1100.00,"Chad Ormsby",51.00,3.00,71,0,0,"",179607,"KASHANI (USA) 1990",182808,"STAR RISING (NZ) 1995",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129564,1,,Flat,1200,"3YO HCP","HERALD ON SUNDAY 3YO",11000.00,12:30:00,"N",52.00,"3yo","Open","unrestricted","hcp","Heavy",0,"Showery",222536,7,5,"Mr Eight","3","g",53.50,5,,,11.20," ","Graeme Sanders & Debbie Sweeney","Te Awamutu",,,0.00,"Daniel Hain",50.50,3.00,68,0,0,"",190539,"HAAYIL (AUS) 1992",113218,"LADY BUBBLES (NZ) 1988",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129564,1,,Flat,1200,"3YO HCP","HERALD ON SUNDAY 3YO",11000.00,12:30:00,"N",52.00,"3yo","Open","unrestricted","hcp","Heavy",0,"Showery",223804,8,1,"Gary The Lad","3","g",52.50,4,,,9.90," 1 1/4 LEN","Philippa Howells","Te Kauwhata",,,550.00,"Stuart Lanigan",52.50,0.00,57,0,0,"",193095,"WOODBURY LAD (USA) 1993",31904,"PRINCESS GARIC (NZ) 1983",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129559,2,,Flat,1200,"OPN HCP","WASTE MANAGEMENT 1200",15000.00,13:03:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Showery",202594,1,8,"Go Thenaki","6","g",57.50,2,,,0.80," 4 1/4 LEN","Allan Sharrock","New Plymouth",,,3000.00,"Chad Ormsby",54.50,3.00,105,0,0,"",179607,"KASHANI (USA) 1990",132164,"REDENO (NZ) 1989",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129559,2,,Flat,1200,"OPN HCP","WASTE MANAGEMENT 1200",15000.00,13:03:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Showery",193387,2,7,"Ben Sparta","8","g",57.00,1,1.16.44,,," 3/4 LEN","George Merkulov","Muriwai Beach",,,9375.00,"Rogan Norvall",57.00,0.00,104,0,0,"",175309,"STARK SOUTH (USA) 1988",157442,"CILLA RED (NZ) 1991",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129559,2,,Flat,1200,"OPN HCP","WASTE MANAGEMENT 1200",15000.00,13:03:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Showery",205452,3,9,"Caballos","6","m",52.50,6,,,14.50," ","Dean Phillips","Matangi",,,0.00,"Cameron Lammas",52.50,0.00,93,0,0,"",7032,"CENTAINE (AUS) 1980",154465,"CAPRICCIO (NZ) 1991",
32671,2005-07-09,2,"Ellerslie","Other","Race","Auckland R.C.","AUCKLAND RC 09 JUL","Heavy",0,"Showery","10 Metres",129559,2,,Flat,1200,"OPN HCP","WASTE MANAGEMENT 1200",15000.00,13:03:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Showery",219287,4,3,"Dancing Song","4","m",52.00,9,,,27.30," ","Graeme Rogerson & Stephen Autridge","Tuhikaramea",,,0.00,"Claire Anderton",51.00,1.00,92,0,0,"",186281,"SENOR PETE (USA) 1987",181622,"DANCE ON FIRE (NZ) 1994",
