<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",317476,18,12,"Jewell Of Jumeriah","4","m",56.50,10,1.21.10,0.42.47,12.70," ","Grant & Tana Shaw","Waiuku",105.00,0.00,0.00,"Jordan Nason",55.00,1.50,45,0,0,"Approved Plates, Lugging Bit on, Nose Band (1st time)",301937,"REDWOOD (GB) 2006",231266,"JUMERIAH JAIDE (NZ) 2002",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",337111,1,2,"Blanco Bay","3","g",58.50,2,2.22.79,0.40.40,3.30," 2 1/2 LEN","Ken, Lisa Rae & Krystal Williams","Ruakaka",3.70,1.40,2000.00,"Chris Johnson",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",301053,"CAPE BLANCO (IRE) 2007",227041,"MORTON BABE (NZ) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",328325,2,7,"Stole the Show","3","g",58.50,9,2.26.26,0.43.90,22.60," ","Stephen Ralph","Te Awamutu",5.70,0.00,0.00,"Rebecca Scott",54.50,4.00,51,0,0,"Approved Plates, Lugging Bit, Tongue Tie",287687,"SHOWCASING (GB) 2007",232828,"KAURI CLIFFS (AUS) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",312245,3,6,"Bal Harbour (AUS)","5","g",58.50,5,2.24.40,0.42.03,12.60," 3 1/2 LEN","Brad McDonald","Ruakaka",9.30,0.00,250.00,"Jonathan Riddell",58.50,0.00,50,0,0,"Approved Plates, Tongue Control Bit, Nose Band on, Tongue Tie (1st time)",263328,"ALL AMERICAN (AUS) 2005",312246,"IMPETUOUS AMOUR (USA) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",329482,4,9,"Captain Risky","3","g",58.50,4,2.23.60,0.41.60,8.10," 4 1/2 LEN","Michael Moroney & Pam Gerard","Matamata",10.00,0.00,500.00,"Shaun McKay",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",200104,"DREAMWORKS (NZ) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",320937,5,4,"Mr Woodi","4","g",58.50,6=,2.25.08,0.42.95,16.10," DEAD HEAT","Mark Lupton","Matamata",20.90,0.00,0.00,"Samantha Collett",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",225273,"WOODINI (AUS) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",317879,7,3,"Lhotse","4","m",56.50,6=,2.25.08,0.42.71,16.10," ","Peter Lock","Te Aroha",5.00,0.00,0.00,"Lisa Allpress",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",238003,"THORN PARK (AUS) 1999",254018,"HIGH PEAK (NZ) 2006",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",335900,9,1,"Zatsaone","3","f",56.50,1,2.22.18,0.40.04,," 3 1/4 LEN","Shaune Ritchie","Cambridge",4.70,1.70,6250.00,"Matthew Cameron",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",188934,"ZATSALADY (NZ) 1996",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",336433,10,8,"Horsey Horse Horse","3","f",56.50,3,2.23.24,0.41.00,5.80," 2 1/4 LEN","Linda Laing","Cambridge",16.70,3.70,1000.00,"Rogan Norvall",56.50,0.00,49,0,0,"Approved Plates, Standard Bit",264625,"ROCK 'N' POP (AUS) 2008",253820,"LADY WHINFELL (NZ) 2006",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197459,2,,Flat,2000,"MDN","WAITEMATA 2000",10000.00,12:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",338112,11,5,"Arenaruler","3","f",56.50,8,2.25.14,0.42.75,16.50," ","Antony Fuller","Tauranga",53.30,0.00,0.00,"Jordan Nason",55.00,1.50,45,0,0,"Approved Plates, Lugging Bit",245385,"SUN RULER (AUS) 2005",223721,"ICE ARENA (NZ) 2001",
