<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",321639,1,11,"Lambrusco","4","g",59.50,8,2.24.80,0.45.05,13.70," ","Samantha Logan","Cambridge",5.90,0.00,0.00,"Wiremu Pinn",56.50,3.00,64,0,0,"Approved Plates, Lugging Bit, Nasal Strip",301053,"CAPE BLANCO (IRE) 2007",264291,"BURSCAY (AUS) 2000",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",334779,2,5,"He's Unforgettable","3","g",59.00,3,2.22.76,0.43.23,2.80," SHORT HEAD","Roger James","Cambridge",6.40,2.50,1000.00,"Michael Coleman",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",257403,"HE'S REMARKABLE (NZ) 2007",231876,"SHADES OF SILK (AUS) 2000",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",286366,4,2,"Fort Knox","7","g",58.00,9,2.24.99,0.45.07,14.70," ","Richard Sherwin","Te Awamutu",32.80,0.00,0.00,"Lynsey Satherley",58.00,0.00,61,0,0,"Approved Plates, Standard Bit, Side Winkers",249283,"GOLD CENTRE (AUS) 2002",205994,"MEMPHIS BLUES (NZ) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",305755,5,8,"Leica Warrior","5","g",58.00,6,2.24.23,0.44.56,10.70," ","Brian Hedley","Te Aroha",5.90,0.00,0.00,"Lisa Allpress",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",209726,"ISTIDAAD (USA) 1992",207106,"CHER FOX (NZ) 1999",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",316392,6,6,"Magnanimous Man","4","g",58.00,11,2.27.12,0.45.47,26.00," ","Shaune Ritchie","Cambridge",10.00,0.00,0.00,"Chris Johnson",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",241392,"NOM DU JEU (NZ) 2004",191408,"RARIMA (NZ) 1996",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",311214,8,13,"Master Genie","5","g",57.50,10,2.26.86,0.45.87,24.60," ","Natalie Tanner","Avondale",14.10,0.00,0.00,"Samantha Collett",57.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",222357,"JOLLY GENIE (NZ) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",312263,10,1,"She's All Clang (AUS)","6","m",57.00,1,2.22.29,0.42.91,," 1 1/4 LEN","Peter Lock","Te Aroha",4.50,1.70,6250.00,"Sam Spratt",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Tongue Tie",249711,"CLANGALANG (AUS) 1999",137774,"PHILADELPHIA (NZ) 1989",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",329228,11,7,"Sheriffs Daughter","3","f",57.00,4,2.22.78,0.43.38,2.90," 3 1/2 LEN","Team Rogerson","Tuhikaramea",23.50,0.00,500.00,"Trudy Thornton",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",242173,"HERMITAGE (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",329996,12,12,"Dancilla","3","f",56.50,5,2.23.44,0.44.23,6.40," 4 1/4 LEN","Murray Baker & Andrew Forsman","Cambridge",14.50,0.00,250.00,"Matthew Cameron",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",229763,"NORDIC DANCER (NZ) 2002",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",306831,13,10,"Divine Duke","5","g",56.50,2,2.22.49,0.42.60,1.30," 1 1/2 LEN","Lance O'Sullivan & Andrew Scott","Matamata",15.30,4.20,2000.00,"Taiki Yanagida",52.50,4.00,58,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",244648,"BACHELOR DUKE (USA) 2001",222411,"AVE MAREE (NZ) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",331531,14,4,"Ego Princess","3","f",56.00,13,2.28.03,0.46.89,30.80," ","Noel Allen","Byerley Park",20.80,0.00,0.00,"Vinnie Colgan",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Nose Band",247685,"EGO (NZ) 2005",226627,"MOUNT ALBERT LIONS (NZ) 2002",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",319041,16,9,"Masters Choice","4","g",56.00,12,2.27.23,0.46.17,26.50," ","Ken, Lisa Rae & Krystal Williams","Ruakaka",35.60,0.00,0.00,"Anna Jones",56.00,0.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",250526,"COATS CHOICE (AUS) 2001",253067,"MRS PEA (NZ) 2006",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197456,4,,Flat,2000,"Rating 65 Benchmark*","AVONDALE SUNDAY MARKETS 2000",10000.00,13:52:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",279484,17,3,"Sakhee's Star","7","m",54.00,7,2.24.50,0.43.96,12.10," ","Phillip Coppins","Morrinsville",43.60,0.00,0.00,"Darren Danis",52.00,2.00,55,0,0,"Approved Plates, Standard Bit, Blinkers on",270278,"SAKHEE'S SECRET (GB) 2004",235114,"CENT FROM ABOVE (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",324943,1,2,"Dalmar","4","g",58.50,9,1.29.26,0.42.73,5.30," ","Simon Rees","Morrinsville",10.40,0.00,0.00,"Lynsey Satherley",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",247913,"DARB AND MARG (NZ) 2005",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",324190,2,1,"Mount Midoriyama","4","g",58.50,3,1.28.42,0.41.61,0.90," 1 3/4 LEN","Nigel Tiley","Pukekohe",6.00,2.00,1000.00,"Samantha Collett",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",280637,"PER INCANTO (USA) 2004",189371,"COMB THE SEAS (NZ) 1996",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",326267,3,12,"Zenntari","3","g",58.50,5,1.28.92,0.41.60,3.70," 1/2 LEN","Lesley Munro","Pukekohe Park",6.90,0.00,250.00,"Cameron Lammas",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",190062,"OUTBURST (NZ) 1996",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",306209,4,3,"Next Up","5","g",58.50,1,1.28.27,0.41.49,," NOSE","Shelley Hale","Cambridge",7.90,2.60,6250.00,"Grant Cooksley",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",199454,"SHINKO KING (IRE) 1991",179178,"REGELLE (NZ) 1994",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",324411,5,14,"Royal Ruler","4","g",58.50,10,1.29.33,0.42.05,5.70," ","Stephen McKee","Ardmore",26.10,0.00,0.00,"Sam Spratt",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",245385,"SUN RULER (AUS) 2005",233324,"RIGHTROYALLIZZIE (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",307577,6,9,"Ben Diamond","5","g",58.50,13,1.30.25,0.43.13,10.70," ","Scott Wenn","Te Aroha",45.30,0.00,0.00,"Jonathan Riddell",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Nose Band (1st time)",232644,"ARIES DIAMOND (SAF) 1997",207849,"SHAYGEO (NZ) 1999",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",334932,7,10,"Codecracker","3","f",56.50,2,1.28.28,0.41.66,0.10," 3/4 LEN","Ken & Bev Kelso","Matamata",3.40,1.70,2000.00,"Michael Coleman",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",261934,"NADEEM (AUS) 2003",260283,"ZENNO QUEEN (NZ) 2007",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",324128,8,8,"Cologne","4","m",56.50,7,1.29.10,0.42.16,4.40," ","Stephen McKee","Ardmore",32.20,0.00,0.00,"Shaun McKay",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",242377,"SUNSTRIKE (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",328475,12,7,"Lady Azamour","3","f",56.50,6,1.29.04,0.41.68,4.20," ","Peter & Dawn Williams","Byerley Park",,,0.00,"Andrew Calder",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",269429,"AZAMOUR (IRE) 2001",255624,"CHASING MAMMON (AUS) 2005",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",335198,13,11,"Los Angeles","3","f",56.50,8,1.29.20,0.41.73,5.00," ","Christopher Gibbs & Michelle Bradley","Ruakaka",8.80,0.00,0.00,"Matthew Cameron",56.50,0.00,46,0,0,"Approved Plates, Tongue Control Bit, Blinkers",264625,"ROCK 'N' POP (AUS) 2008",271826,"HOLLYWOOD ANGEL (AUS) 2009",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",335466,14,4,"Trip In Time","3","f",56.50,14,1.30.35,0.43.27,11.20," ","Stephen Marsh","Cambridge",39.30,0.00,0.00,"Ryan Elliot",55.50,1.00,46,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",198778,"DAY TRIPPER (NZ) 1997",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",327667,15,6,"Party At Paroa","3","g",58.50,12,1.29.89,0.41.82,8.70," ","Team Rogerson","Tuhikaramea",32.40,0.00,0.00,"Chris Johnson",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",274426,"CHARMEUSE (NZ) 2009",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",310882,17,13,"Pavlichenko","5","m",56.50,11,1.29.83,0.42.83,8.40," ","Peter & Jessica Brosnan","Matamata",79.10,0.00,0.00,"Tui Miles",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",241392,"NOM DU JEU (NZ) 2004",231458,"LADY ASSASSIN (NZ) 2002",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197458,5,,Flat,1320,"MDN","WATERVIEW 1320",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",331642,18,5,"Hunua Hank","3","g",58.50,4,1.28.74,0.41.53,2.70," 1 LEN","Nigel Tiley","Pukekohe",19.70,0.00,500.00,"Wiremu Pinn",55.50,3.00,45,0,0,"Approved Plates, Standard Bit",193564,"PENTIRE (GB) 1992",210165,"DEVANT (NZ) 1999",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",333740,1,3,"Inca Warrior","3","g",59.00,6,1.28.63,0.43.17,3.90," ","Steven Cole","Byerley Park",3.80,0.00,0.00,"Jonathan Riddell",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",280637,"PER INCANTO (USA) 2004",234298,"PLAYING FOR KEEPS (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",330012,3,8,"The Poormanzabeel","3","g",59.00,12,1.30.60,0.45.46,14.50," ","Catherine Cameron","Cambridge",6.90,0.00,0.00,"Amber Sims",56.00,3.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers",226925,"ZED (NZ) 2002",254604,"SAZERAC (NZ) 2006",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",329445,4,14,"Vincentius","3","g",59.00,11,1.30.21,0.44.78,12.40," ","Brian Hedley","Te Aroha",5.00,0.00,0.00,"Lisa Allpress",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Tongue Tie",238708,"CAPTAIN RIO (GB) 1999",243626,"ELECTRACUTE (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",284817,5,6,"Currahee Lad","7","g",58.50,3,1.28.01,0.42.90,0.40," 2 1/4 LEN","Scott Lucock & Sally Gillespie","Byerley Park",19.60,4.80,1000.00,"Tayla Wenn",55.50,3.00,62,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit",186666,"FALTAAT (USA) 1990",197997,"AZULIKE (NZ) 1997",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",318236,6,7,"Sun Genes","4","g",58.50,7,1.29.08,0.43.12,6.30," ","Danny Walker","Byerley Park",13.10,0.00,0.00,"Wiremu Pinn",55.50,3.00,62,0,0,"Approved Plates, Lugging Bit",245385,"SUN RULER (AUS) 2005",228676,"GENUKI (NZ) 2002",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",306146,7,5,"Good Vibes","5","m",57.50,9,1.29.51,0.43.18,8.60," ","Peter & Jessica Brosnan","Matamata",17.60,0.00,0.00,"Shaun McKay",57.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",218686,"ELECTRONIC ZONE (USA) 1994",195052,"SOUTHERN DAUGHTER (NZ) 1997",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",331223,8,13,"Eeny Meeny Miny Mo","3","g",57.50,13,1.31.28,0.45.04,18.10," ","Lisa Anderson","Matamata",34.60,0.00,0.00,"Tegan Newman",54.50,3.00,60,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",237780,"FOR KEEPS (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",323256,9,11,"Artic Storm","4","g",57.00,2,1.27.96,0.41.48,0.20," LONG HEAD","Richard Collett","Pukekohe Park",19.90,5.20,2000.00,"Kavish Chowdhoory",53.00,4.00,59,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",238708,"CAPTAIN RIO (GB) 1999",240967,"PYRATE PRINCESS (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",323787,10,4,"Nuttee","4","m",56.50,8,1.29.16,0.43.19,6.80," ","Mark Brosnan","Matamata",15.10,0.00,0.00,"Darren Danis",53.50,3.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",247685,"EGO (NZ) 2005",262266,"JUST LA DON (NZ) 2007",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",309685,11,9,"Prodigal Son","5","g",56.50,5,1.28.44,0.42.75,2.90," 1 LEN","Team Rogerson","Tuhikaramea",16.60,0.00,250.00,"Chris Johnson",56.50,0.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",244799,"DUELLED (AUS) 2002",180515,"MAYBE YES (AUS) 1990",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",306601,12,1,"Aston Park","5","g",56.00,1,1.27.91,0.42.22,," SHORT NECK","John Ruddell","Pukekohe Park",31.50,7.10,6250.00,"Sam Spratt",56.00,0.00,57,0,0,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",223469,"ONENITEINPARIS (NZ) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",303589,13,10,"Repo Bay","5","m",55.50,10,1.29.57,0.43.64,8.90," ","Peter & Dawn Williams","Byerley Park",12.00,0.00,0.00,"Samantha Collett",55.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers on, Nose Band",287450,"SHOCKING (AUS) 2005",228310,"MARLEY MAGIC (NZ) 2002",
