<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",339614,6,6,"Triomphe","3","g",57.00,3,2.10.16,0.36.39,1.90," HEAD","Shaun & Emma Clotworthy","Byerley Park",6.10,2.40,1000.00,"Donavan Mansour",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",287683,"RIP VAN WINKLE (IRE) 2006",251141,"SHYLO (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",329894,7,8,"Spectra","4","m",56.50,2,2.09.91,0.36.09,0.40," 1 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",9.00,2.70,2000.00,"Trudy Thornton",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",313564,"RELIABLE MAN (GB) 2008",250009,"CONSUMER (AUS) 2001",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",331978,8,7,"Soda","4","m",56.50,8,2.10.52,0.35.83,4.00," ","Darryn Weatherley","Matamata",9.80,0.00,0.00,"Samantha Collett",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Nose Band",302210,"DALGHAR (FR) 2006",196356,"SOGNO (NZ) 1997",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",333837,9,12,"Fine And Dandee","4","m",56.50,6,2.10.49,0.36.96,3.80," ","Lance O'Sullivan & Andrew Scott","Matamata",19.10,0.00,0.00,"Craig Grylls",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",287886,"DANDEE TOPWIN (AUS) 2004",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",322506,10,4,"Flying Fantasia","5","m",56.50,7,2.10.51,0.36.99,4.00," ","Ernie Griffiths","Te Aroha",27.00,0.00,0.00,"Temyia Taiaroa",52.50,4.00,50,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Nasal Strip (1st time)",215366,"FALKIRK (NZ) 2000",209754,"ALCINA (NZ) 1999",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",352460,11,3,"Slice Of Magic (AUS)","4","m",56.50,11,2.10.75,0.36.89,5.40," ","Stephen McKee","Ardmore",39.30,0.00,0.00,"Sam Spratt",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",301393,"FOXWEDGE (AUS) 2008",229048,"SPINNER'S MAGIC (NZ) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",334757,12,11,"She Dares","4","m",56.50,12,2.10.84,0.37.30,6.00," ","Roger James & Robert Wellwood","Cambridge",16.50,0.00,0.00,"Cameron Lammas",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",257403,"HE'S REMARKABLE (NZ) 2007",271667,"LITTLE WEN (NZ) 2009",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",332200,13,1,"Tups","4","m",56.50,13,2.11.32,0.36.67,9.00," ","Michael Moroney & Pam Gerard","Matamata",68.80,0.00,0.00,"Tegan Newman",53.50,3.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",287683,"RIP VAN WINKLE (IRE) 2006",259097,"XABEEL (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",346338,14,13,"Stilton","3","f",55.00,1,2.09.86,0.35.70,," LONG NECK","Graham Richardson & Gavin Parker","Matamata",3.00,1.60,6250.00,"Lynsey Satherley",55.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",265101,"KAHURANGI (AUS) 2008",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199890,4,,Flat,2100,"MDN","TRACKS CONCRETE LTD 2100",10000.00,14:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",320937,15,2,"Mr Woodi","5","g",58.50,9,2.10.69,0.36.61,5.10," ","Mark Lupton","Matamata",83.50,0.00,0.00,"Tui Miles",54.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",225273,"WOODINI (AUS) 1998",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",308516,1,7,"Battle Royal","6","g",59.50,6,2.11.66,0.34.66,3.70," ","Vicki Prendergast","Matamata",10.50,0.00,0.00,"Jasmine Fawcett",57.50,2.00,71,0,0,"Approved Plates, Lugging Bit, Cheek Burrs",241092,"ALAMOSA (NZ) 2004",239283,"MARKET LEADER (GB) 2001",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",321263,3,3,"Artiste","5","m",58.00,3,2.11.29,0.34.00,0.80," LONG HEAD","Murray Baker & Andrew Forsman","Cambridge",3.40,1.60,2000.00,"Jonathan Riddell",58.00,0.00,72,0,0,"Approved Plates, Lugging Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",228989,"MAIDJEU (NZ) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",337331,4,5,"Lady Shabeel","5","m",57.00,2,2.11.20,0.33.93,0.40," LONG NECK","Iain Kennedy","Rotorua",7.20,2.00,4000.00,"Samantha Collett",57.00,0.00,70,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",216831,"HOWBADDOUWANTIT (USA) 1995",262129,"NO TOLERANCE (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",338231,5,4,"Aigne","6","g",57.00,8,2.11.87,0.34.74,5.00," ","Clinton Isdale","Te Awamutu",14.00,0.00,0.00,"Sam Spratt",57.00,0.00,66,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",245781,"SUFFICIENT (NZ) 2005",253737,"EMLAJAY (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",321711,6,2,"Anarchy","5","m",56.00,5,2.11.59,0.34.20,3.30," LONG NECK","Tony Pike","Cambridge",10.60,0.00,500.00,"Craig Grylls",56.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Tongue Tie",241092,"ALAMOSA (NZ) 2004",241790,"PACIFIC ROSE (NZ) 2004",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",318146,7,6,"Lady Amadeus","5","m",56.00,1,2.11.12,0.34.19,," LONG NECK","Stephen Autridge","Matamata",4.60,1.60,12500.00,"Jake Bayliss",56.00,0.00,68,0,0,"Approved Plates, Lugging Bit, In Foal",279438,"MEDAGLIA D'ORO (USA) 1999",286921,"RIALTO BRIDGE (GB) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",297949,8,1,"Ventura","7","m",56.00,7,2.11.77,0.34.37,4.40," ","Richard Collett","Pukekohe Park",8.50,0.00,0.00,"Andrew Calder",56.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",254085,"NEWGRANGE (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199886,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:45:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",328306,9,8,"Jimmy Rocket","4","g",55.50,4,2.11.30,0.33.63,1.00," 2 1/4 LEN","Roger James & Robert Wellwood","Cambridge",6.00,0.00,1000.00,"Cameron Lammas",55.50,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip",258606,"JIMMY CHOUX (NZ) 2007",250882,"ROCKELLE (AUS) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",333553,1,10,"Noble Star","4","g",59.00,7,1.36.22,0.35.29,4.00," ","John Bell","Cambridge",9.60,0.00,0.00,"Craig Grylls",59.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Nose Band",225200,"COMMANDS (AUS) 1996",235048,"MAREVA (NZ) 2003",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",334185,2,3,"Cabochon","4","m",58.00,2,1.35.65,0.34.69,0.20," NOSE","Ralph Manning","Cambridge",4.50,1.90,2000.00,"Samantha Collett",58.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",285139,"SWISS ACE (AUS) 2004",287623,"REGALLY (AUS) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",338018,3,11,"Tavlin","4","g",58.00,9,1.36.35,0.35.20,4.90," ","Samantha Logan","Cambridge",6.50,0.00,0.00,"Jonathan Riddell",58.00,0.00,59,0,0,"Concussion Plates (Front), Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",247490,"NORSE AFFAIR (NZ) 2005",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",333375,4,5,"En Soie","4","m",57.50,3,1.35.66,0.34.43,0.30," 2 1/4 LEN","Graham Richardson & Gavin Parker","Matamata",8.10,2.40,1000.00,"Cameron Lammas",57.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",280988,"DUPORTH (AUS) 2005",272823,"SILK PINS (NZ) 2009",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",295625,5,1,"Epae Road","7","g",57.50,11,1.36.61,0.35.18,6.50," ","John Bell","Cambridge",44.20,0.00,0.00,"Jake Bayliss",57.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",278350,"RED GIANT (USA) 2004",278390,"HAYLIN (AUS) 2003",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",331403,6,2,"Prior Engagement","4","g",57.50,10,1.36.37,0.35.02,5.00," ","Ralph Manning","Cambridge",18.60,0.00,0.00,"Lynsey Satherley",57.50,0.00,58,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",249318,"PRIORITE (NZ) 2005",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",330803,7,6,"Lagertha","4","m",57.00,8,1.36.23,0.34.60,4.10," ","Ernie Griffiths","Te Aroha",25.30,0.00,0.00,"Andrew Calder",57.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",260586,"NEXT CENTURY (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",325768,8,7,"Lauramia","5","m",57.00,1,1.35.62,0.34.78,," LONG HEAD","Bill Pomare","Rotorua",17.10,3.80,6250.00,"Jasmine Fawcett",55.00,2.00,61,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",220358,"SHINKO BAY (NZ) 2001",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",350802,9,8,"So You Sparkle (AUS)","4","m",57.00,5,1.36.08,0.34.88,3.10," 3/4 LEN","Tony Pike","Cambridge",4.30,0.00,250.00,"Troy Harris",57.00,0.00,61,0,0,"Approved Plates, Lugging Bit",252271,"SO YOU THINK (NZ) 2006",338281,"SILVER SPARKS (USA) 2004",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",329012,10,9,"Bet She Is","4","m",56.50,4,1.35.99,0.35.00,2.60," 1/2 LEN","Stephen McKee","Ardmore",16.30,0.00,500.00,"Sam Spratt",56.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Side Winkers",301053,"CAPE BLANCO (IRE) 2007",229960,"INSHELUCKY (NZ) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199888,6,,Flat,1600,"Rating 65 Benchmark*","TEAM WEALLEANS 1600",10000.00,15:16:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",365537,11,4,"Helenaoftroy (AUS)","5","m",54.50,6,1.36.21,0.35.60,3.90," ","Daniel Miller","Matamata",8.60,0.00,0.00,"Donavan Mansour",54.50,0.00,56,0,0,"Approved Plates, Standard Bit, Blinkers, Tongue Tie",321373,"HELMET (AUS) 2008",365538,"BENKO (AUS) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",338213,1,10,"Holy Loch (AUS)","4","g",58.50,4,1.36.50,0.34.27,2.50," 1/2 HEAD","Margaret Falconer","Cambridge",8.20,0.00,500.00,"Troy Harris",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",313386,"ROTHESAY (AUS) 2006",192903,"JOAN'S BEST (AUS) 1996",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",316303,2,4,"Caught The Eye","5","g",58.50,3,1.36.47,0.35.30,2.30," LONG HEAD","Scott Wenn","Te Aroha",41.80,9.60,1000.00,"Andrew Calder",58.50,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Nasal Strip",241092,"ALAMOSA (NZ) 2004",233822,"MI STAROSE (NZ) 2003",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",338037,3,1,"Roc 'N' Gold","4","g",58.50,8,1.36.97,0.35.31,5.40," ","Graham Richardson & Gavin Parker","Matamata",20.50,0.00,0.00,"Trudy Thornton",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",267717,"DARCI'S GOLD (NZ) 2008",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",340391,4,5,"Touch The Clouds","3","c",57.00,7,1.36.90,0.34.95,4.90," ","Ralph Manning","Cambridge",7.80,0.00,0.00,"Samantha Collett",57.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",255989,"IFFRAAJ (GB) 2001",245429,"INDIAN SKY (AUS) 2005",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",349235,5,2,"Gallagher","3","g",57.00,9,1.38.97,0.37.31,17.90," ","Jacob McKay","Matamata",27.70,0.00,0.00,"Craig Grylls",57.00,0.00,49,0,0,"Approved Plates, Standard Bit, Blinkers (1st time), Tongue Tie",336891,"EPAULETTE (AUS) 2009",337178,"ENCHANTED MELODY (AUS) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",334196,6,7,"Newmarket","4","m",56.50,1,1.36.14,0.34.57,," 3/4 LEN","Roger James & Robert Wellwood","Cambridge",2.50,1.10,6250.00,"Sam Spratt",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",200568,"SAHAYB (NZ) 1998",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",340732,8,8,"Savastep","3","f",55.00,2,1.36.27,0.35.00,0.80," 1 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",3.90,1.80,2000.00,"Lynsey Satherley",55.00,0.00,49,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",245822,"STEPPING OUT (NZ) 2005",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",344547,9,3,"Ninkasi","3","f",55.00,10,1.42.89,0.41.16,42.40," ","Tony Pike","Cambridge",8.40,0.00,0.00,"Jake Bayliss",55.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",230462,"DARCI BRAHMA (NZ) 2002",257204,"BALTIKA (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",349469,10,6,"Ekraar Lass","3","f",55.00,6,1.36.59,0.34.73,3.00," ","Stephen Marsh","Cambridge",53.60,0.00,0.00,"Donavan Mansour",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",260150,"ST J'ADORE (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199891,7,,Flat,1600,"MDN","NICHOLSON AUTOS 1600",10000.00,15:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",341467,11,9,"June Rose","3","f",55.00,5,1.36.51,0.33.97,2.60," LONG NECK","Graham Richardson & Gavin Parker","Matamata",27.80,0.00,250.00,"Cameron Lammas",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",266017,"MAHAMAYA (NZ) 2008",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199889,8,,Flat,1400,"Rating 65 Benchmark*","NEW WORLD WHAKATANE 1400",10000.00,16:28:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",382051,1,11,"Lord High Spirit (AUS)","6","g",60.00,3,1.21.71,0.35.11,0.50," 1 1/4 LEN","Jamie Richards","Matamata",16.70,4.10,1000.00,"Jonathan Riddell",60.00,0.00,65,0,0,"Ear Covers Pre-Race (1st time), Approved Plates (1st time), Lugging Bit (1st time), Nose Band (1st time)",244646,"HIGH CHAPARRAL (IRE) 1999",382052,"AZUMI (AUS) 2005",
