<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",381910,1,6,"Patch Prince (AUS)","4","g",58.50,7,1.14.32,0.37.33,14.10," ","Lance O'Sullivan & Andrew Scott","Matamata",10.60,0.00,200.00,"Michael McNab",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",238870,"EXCEED AND EXCEL (AUS) 2000",381911,"EMOTIONAL CIRCUS (AUS) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",354233,2,2,"Dawnting","4","g",58.50,3,1.12.75,0.35.81,4.30," 3/4 LEN","John Trumper","Te Aroha",7.40,1.80,700.00,"Troy Harris",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",336983,"DAWN APPROACH (IRE) 2010",234398,"OPUS FOUR (NZ) 2003",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",409013,4,4,"Nozi Cyclone (AUS)","3","g",58.00,2,1.12.40,0.36.06,1.80," 2 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",2.50,1.20,1500.00,"Opie Bosson",58.00,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",279438,"MEDAGLIA D'ORO (USA) 1999",409014,"PLAUSIBLE (AUS) 2012",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",378936,5,1,"Semper Fi","3","g",58.00,5,1.13.71,0.37.01,10.10," 3 1/2 LEN","Mark Brooks","Cambridge",27.70,0.00,200.00,"Craig Grylls",58.00,0.00,47,0,0,"Approved Plates, Standard Bit",255989,"IFFRAAJ (GB) 2001",280417,"NIGELISSIMA (NZ) 2010",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",380125,7,8,"Fasong","4","m",56.50,8,1.14.97,0.38.51,18.10," ","Craig and Shaun Phelan","Cambridge",22.80,0.00,200.00,"Joe Kamaruddin",53.50,3.00,45,0,0,"Approved Plates, Standard Bit, Ear Covers",276923,"BATTLE PAINT (USA) 2004",257787,"ASON (NZ) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",346775,8,3,"Hetty","5","m",56.50,4,1.12.90,0.35.93,5.10," 5 LEN","Stephen Marsh","Cambridge",16.30,0.00,400.00,"Danielle Johnson",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",326007,"COMMENTATE (AUS) 2009",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",354811,9,5,"Pop 'n' Up","4","m",56.50,6,1.14.25,0.36.85,13.60," ","Mark Irwin","Te Awamutu",34.50,0.00,200.00,"Samantha Collett",56.50,0.00,45,0,0,"Approved Plates, Standard Bit",337555,"PROISIR (AUS) 2009",253095,"BLACK WIDOW (NZ) 2006",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",211846,4,,Flat,1200,"MDN","HAPPY 90TH BIRTHDAY LINDSAY REID",10000.00,14:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",376773,10,7,"Isla Jay","3","f",56.00,1,1.12.15,0.35.45,," 1 3/4 LEN","Wayne Hillis","Matamata",2.50,1.20,5400.00,"Sam Weatherley",56.00,0.00,53,0,0,"Approved Plates, Lugging Bit, Ear Covers",268744,"BURGUNDY (NZ) 2008",252321,"MATABELLE (NZ) 2006",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",361924,1,4,"Weowna Tiger","4","g",58.50,3,1.26.52,0.35.98,0.80," 1/2 LEN","Gary Hennessy","Matamata",3.20,1.40,700.00,"Jasmine Fawcett",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Side Winkers",277655,"TIGER PRAWN (SAF) 2002",213440,"SUZIE TEMPLE (NZ) 2000",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",361391,2,7,"Veni Vici","4","g",58.50,8,1.27.77,0.36.95,9.40," ","John Bell","Cambridge",18.40,0.00,200.00,"Jonathan Riddell",58.50,0.00,50,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",343959,"ADELAIDE (IRE) 2011",234438,"TERROIR (NZ) 2003",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",396339,3,3,"Blizzing Away (AUS)","5","g",58.50,9,1.28.19,0.37.91,12.10," ","Peter & Jessica Brosnan","Matamata",82.10,0.00,200.00,"Bailey Rogerson",54.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",325398,"ALL TOO HARD (AUS) 2009",396340,"QUACKQUACK (AUS) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",368249,5,5,"Brian Lamont","3","g",58.00,4,1.26.61,0.35.78,1.30," 2 LEN","Wayne Hillis","Matamata",7.70,0.00,400.00,"Sam Weatherley",58.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",273123,"FERLAX (NZ) 2009",326275,"REKINDLED OUTLOOK (AUS) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",371917,6,6,"The Mighty Spar","3","g",58.00,1,1.26.35,0.35.29,," 1/2 LEN","Jamie Richards","Matamata",3.80,1.60,5400.00,"Opie Bosson",58.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Nose Band (1st time), Tongue Tie",238456,"SAVABEEL (AUS) 2001",305640,"O'DIANNE (NZ) 2012",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",376422,7,9,"Billy Bold","3","g",58.00,7,1.27.54,0.36.69,8.00," ","Wayne Hillis","Matamata",46.90,0.00,200.00,"Callum Jones",55.00,3.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",302210,"DALGHAR (FR) 2006",270070,"BLOSSOMING (NZ) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",397342,9,1,"Anna Grace","5","m",56.50,2,1.26.44,0.35.77,0.50," NECK","David Wilson","Cambridge",26.80,3.80,1500.00,"Darren Danis",54.50,2.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",232838,"NO EXCUSE NEEDED (GB) 1998",230139,"SEA OF DREAMS (NZ) 2002",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",338759,10,2,"Love Me Tender","6","m",56.50,6,1.27.42,0.36.74,7.30," ","Lance O'Sullivan & Andrew Scott","Matamata",16.40,0.00,200.00,"Craig Grylls",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit on",280637,"PER INCANTO (USA) 2004",256345,"TENDER POISON (AUS) 1997",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210117,5,,Flat,1400,"MDN","BOB BLACK SHIVAREE MEMORIAL 1400",10000.00,14:56:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",366531,11,8,"Illusion Of Paris","3","f",56.00,5,1.26.86,0.36.22,3.30," 4 LEN","Jamie Richards","Matamata",3.30,0.00,200.00,"Danielle Johnson",56.00,0.00,53,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Visor Blinkers (1st time), Tongue Tie (1st time)",325005,"PURE CHAMPION (IRE) 2007",259661,"PHANTOM OF PARIS (NZ) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210118,6,,Flat,1400,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,15:34:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",8,"Showery",377230,4,6,"Corinne","3","f",57.00,3,1.25.33,0.36.75,3.60," SHORT NECK","Simon & Katrina Alexander","Matamata",3.80,0.00,700.00,"Vinnie Colgan",57.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",313564,"RELIABLE MAN (GB) 2008",338096,"CHATEAU LATOUR (AUS) 2009",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210118,6,,Flat,1400,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,15:34:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",8,"Showery",375878,5,3,"Side Hustle","3","f",57.00,5,1.25.57,0.36.69,5.10," 1 3/4 LEN","Wayne Hillis","Matamata",3.20,0.00,200.00,"Michael McNab",57.00,0.00,52,0,0,"Approved Plates, Lugging Bit",273123,"FERLAX (NZ) 2009",240123,"ARISTOTAAT (NZ) 2004",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210118,6,,Flat,1400,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,15:34:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",8,"Showery",376444,6,2,"Bendermerry","3","f",57.00,6,1.25.82,0.37.17,6.90," ","Murray Baker & Andrew Forsman","Cambridge",4.90,0.00,200.00,"Samantha Collett",57.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",255433,"PERFECTLY READY (AUS) 2002",214487,"MOLLY WHOPPY (NZ) 2000",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210118,6,,Flat,1400,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,15:34:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",8,"Showery",373003,7,1,"Fonteyn","3","f",57.00,1,1.24.81,0.36.21,," 2 1/4 LEN","Ralph Manning","Cambridge",3.30,1.90,5400.00,"Ashvin Goindasamy",56.00,1.00,50,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",272602,"BALLERINA ANGELINA (AUS) 2009",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210118,6,,Flat,1400,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,15:34:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",8,"Showery",382204,11,5,"La Diva (AUS)","3","f",57.00,4,1.25.37,0.36.92,3.80," 1 1/4 LEN","Team Rogerson","Tuhikaramea",23.80,0.00,400.00,"Wiremu Pinn",55.00,2.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",250718,"SNITZEL (AUS) 2002",268987,"LADY KROVANH (AUS) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210118,6,,Flat,1400,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,15:34:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",8,"Showery",373796,12,4,"Miss Interpret","3","f",57.00,2,1.25.16,0.36.54,2.30," 1 1/4 LEN","Ralph Manning","Cambridge",13.70,4.50,1500.00,"Sam Weatherley",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",313448,"NIAGARA (AUS) 2008",277857,"MISS CONSTRUE (AUS) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",331547,1,1,"Bak Da Master","6","g",60.00,2,1.37.78,0.36.16,0.50," NECK","Jamie Richards","Matamata",3.80,1.50,1650.00,"Joe Kamaruddin",57.00,3.00,74,74,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band, Tongue Tie",278104,"MASTERCRAFTSMAN (IRE) 2006",235560,"BAK DA PRINCESS (NZ) 2003",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",348128,3,4,"Melarita","5","m",57.50,8,1.38.78,0.37.46,7.10," ","Darrell Hollinshead","Te Awamutu",6.00,0.00,220.00,"Trudy Thornton",57.50,0.00,73,0,0,"Approved Plates, Lugging Bit on, Ear Covers",287683,"RIP VAN WINKLE (IRE) 2006",228610,"BAK DA CHIEF (NZ) 2002",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",363690,5,2,"Landgrave","4","g",56.50,7,1.38.70,0.36.58,6.60," ","Emma-Lee & David Browne","Cambridge",8.10,0.00,220.00,"Opie Bosson",57.00,-0.50,67,0,0,"Approved Plates, Lugging Bit, Nose Band",301937,"REDWOOD (GB) 2006",278019,"MARGRAVINE (AUS) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",350249,6,7,"Our Wonderland","5","g",56.50,3,1.37.84,0.35.97,0.80," 1 1/4 LEN","Team Rogerson","Tuhikaramea",16.30,3.60,770.00,"Callum Jones",53.50,3.00,67,0,0,"Approved Plates, Lugging Bit, Tongue Tie",287689,"MAKFI (GB) 2007",276183,"WONDERLAND (NZ) 2009",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",365127,7,5,"Teen Titan (AUS)","5","g",56.50,4,1.38.04,0.36.58,2.10," 1 1/2 LEN","Bob Autridge","Matamata",6.30,0.00,440.00,"Eilish McCall",53.50,3.00,67,0,0,"Approved Plates, Lugging Bit",350894,"FIORENTE (IRE) 2008",365128,"CLEARLY FOXY (USA) 2005",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",331978,8,6,"Soda","6","m",55.50,5,1.38.27,0.36.38,3.60," 2 1/4 LEN","Darryn Weatherley","Matamata",6.80,0.00,220.00,"Sam Weatherley",55.50,0.00,69,0,0,"Concussion Plates, Lugging Bit, Visor Blinkers (1st time), Barrier Blanket, Nose Band",302210,"DALGHAR (FR) 2006",196356,"SOGNO (NZ) 1997",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",351331,9,8,"Easy M'Lady","5","m",54.00,1,1.38.55,0.36.00,," 1/2 LEN","Vicki Prendergast","Matamata",7.40,2.30,5940.00,"Taiki Yanagida",54.00,0.00,65,0,0,"Approved Plates, Lugging Bit, Nose Band",268640,"SUPER EASY (NZ) 2008",248702,"TOUCH OF SPARK (NZ) 2005",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210115,7,,Flat,1600,"Rating 74 Benchmark","CHALLENGE MATAMATA 1600",11000.00,16:09:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Slow",8,"Showery",340707,10,3,"Endean Lass","5","m",54.00,6,1.38.59,0.36.50,5.90," ","Iain Kennedy","Rotorua",7.50,0.00,220.00,"Danielle Johnson",54.00,0.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",248656,"TAVISTOCK (NZ) 2005",267115,"EVENADUCHESS (NZ) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210120,8,,Flat,2000,"MDN","THE REDOUBT BAR & EATERY 2000",10000.00,16:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",359577,1,2,"Sailor Jerry","4","g",58.50,8,2.08.83,0.38.79,8.60," ","Stephen Autridge & Kris Shailer","Matamata",2.20,0.00,200.00,"Craig Grylls",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Tongue Tie",313564,"RELIABLE MAN (GB) 2008",242676,"ABBEY TRALAE (NZ) 2004",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210120,8,,Flat,2000,"MDN","THE REDOUBT BAR & EATERY 2000",10000.00,16:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",351415,2,11,"Jojakk","5","g",58.50,7,2.08.82,0.38.57,8.50," ","Stephen Ralph","Te Awamutu",8.60,0.00,200.00,"Callum Jones",55.50,3.00,51,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",217501,"FAST ARRIVAL (NZ) 2000",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210120,8,,Flat,2000,"MDN","THE REDOUBT BAR & EATERY 2000",10000.00,16:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",344585,3,8,"Led Zed","5","g",58.50,6,2.08.27,0.38.59,5.40," ","Ralph Manning","Cambridge",18.50,0.00,200.00,"Ashvin Goindasamy",57.50,1.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",226925,"ZED (NZ) 2002",258298,"PISTOL PACKIN MAMA (NZ) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210120,8,,Flat,2000,"MDN","THE REDOUBT BAR & EATERY 2000",10000.00,16:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",329895,5,10,"Anhedonia","6","g",58.50,4,2.07.91,0.37.63,2.90," 1 1/2 LEN","Bernese Muir","Tauranga",33.00,0.00,400.00,"Sam Weatherley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",270278,"SAKHEE'S SECRET (GB) 2004",205350,"DANCING VIKING (CAN) 1991",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210120,8,,Flat,2000,"MDN","THE REDOUBT BAR & EATERY 2000",10000.00,16:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",366918,6,7,"Wilewink","4","g",58.50,9,2.09.02,0.38.94,9.70," ","Peter Lock","Te Aroha",6.90,0.00,200.00,"Samantha Collett",58.50,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band",287683,"RIP VAN WINKLE (IRE) 2006",288351,"BIRIYANI (IRE) 2002",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Showery","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210120,8,,Flat,2000,"MDN","THE REDOUBT BAR & EATERY 2000",10000.00,16:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Showery",378199,7,5,"Lowry","3","g",58.00,2,2.07.84,0.38.11,2.40," NOSE","Team Rogerson","Tuhikaramea",20.00,4.30,1500.00,"Lynsey Satherley",58.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie",242640,"ROC DE CAMBES (NZ) 2004",286790,"ALEZAN (NZ) 2010",
