<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",410520,1,2,"Red Vienna (AUS)","2","g",57.50,6,1.03.48,0.35.49,8.50," ","Tony Pike","Cambridge",8.60,0.00,200.00,"Michael McNab",57.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",364851,"BULL POINT (AUS) 2010",410521,"VIENNA WALTZ (AUS) 2013",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",394437,2,4,"Show A Million","2","g",57.50,2,1.02.60,0.35.29,1.80," 2 1/4 LEN","Jim Pender","Tauranga",8.60,2.00,1500.00,"Trudy Thornton",57.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",287687,"SHOWCASING (GB) 2007",237557,"ALTESINO (AUS) 2002",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",396447,3,8,"Super Six","2","c",57.50,8,1.03.89,0.35.62,11.00," ","Stephen Marsh","Cambridge",33.90,0.00,200.00,"Craig Grylls",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit",271252,"TEOFILO (IRE) 2004",320841,"ZIGWIG (NZ) 2013",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",391388,4,6,"Funny Girl","2","f",55.50,3,1.02.91,0.35.44,4.10," 2 3/4 LEN","Lance Noble","Karaka",10.10,2.00,700.00,"Leith Innes",55.50,0.00,47,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",296082,"TRIACTION (NZ) 2011",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",383957,5,12,"More Than Words","2","f",55.50,7,1.03.66,0.36.35,9.60," ","Clinton Isdale","Te Awamutu",37.60,0.00,200.00,"Lynsey Satherley",55.50,0.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Standard Bit",350344,"SWEYNESSE (AUS) 2011",259469,"LA PINNICLE (NZ) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",388971,6,1,"Synchronize","2","f",55.50,1,1.02.35,0.34.68,," 1 3/4 LEN","Jamie Richards","Matamata",1.50,1.00,5400.00,"Danielle Johnson",55.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie",238456,"SAVABEEL (AUS) 2001",271958,"SPLITS (NZ) 2009",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",385575,7,10,"Burgundy Lass","2","f",55.50,10,1.04.46,0.36.76,14.60," ","Keith Hawtin","Te Awamutu",49.60,0.00,200.00,"Samantha Collett",55.50,0.00,45,0,0,"Approved Plates, Lugging Bit",268744,"BURGUNDY (NZ) 2008",295494,"LOLOTEA (NZ) 2011",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",397050,8,11,"Musigny Lass","2","f",55.50,5,1.03.28,0.35.41,7.00," 1 1/2 LEN","Simon & Katrina Alexander","Matamata",48.00,0.00,200.00,"Taiki Yanagida",54.50,1.00,45,0,0,"Approved Plates, Standard Bit",255989,"IFFRAAJ (GB) 2001",306025,"LADY PINOT (NZ) 2012",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",391061,9,3,"O'Dua","2","f",55.50,9,1.04.10,0.35.91,12.40," ","Stephen McKee","Ardmore",29.60,0.00,200.00,"Sam Spratt",55.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band",287992,"EL ROCA (AUS) 2010",366135,"VOICE OF AN ANGEL (AUS) 2012",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",410492,10,7,"Pompeiana (AUS)","2","f",55.50,11,1.04.67,0.35.79,15.90," ","Graham Richardson & Rogan Norvall","Matamata",43.80,0.00,200.00,"Wiremu Pinn",53.50,2.00,45,0,0,"Approved Plates, Lugging Bit",381697,"SUPER ONE (AUS) 2012",363754,"SPIRIT OF POMPEII (AUS) 2006",
