<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",414044,2,7,"It's Not That Easy","4","g",58.50,5,1.40.84,0.34.71,1.60," ","Allan Sharrock","New Plymouth",6.80,0.00,200.00,"Hazel Schofer",56.50,2.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers on",324908,"JAKKALBERRY (IRE) 2006",269223,"LIVING THE DREAM (NZ) 2008",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",354158,3,10,"Ted Can Too","4","g",58.50,9,1.41.16,0.34.85,3.70," ","Anne Herbert","Awapuni",11.20,0.00,200.00,"Sarah Macnab",58.50,0.00,49,0,0,"Approved Plates, Tongue Control Bit",280637,"PER INCANTO (USA) 2004",261009,"MISS CENTREFOLD (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",346396,4,1,"Lizzed","5","g",58.50,13,1.41.80,0.35.33,8.00," ","Paul Nelson & Corrina McDougal","Hastings",42.60,0.00,200.00,"Jasmine Fawcett",58.50,0.00,48,0,0,"Approved Plates, Standard Bit, Tongue Tie",226925,"ZED (NZ) 2002",260176,"AL SHAMEKHA (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",330220,5,8,"Mr Flynn","6","g",58.50,14,1.42.12,0.35.61,10.00," ","Buddy Lammas","Otaki",47.40,0.00,200.00,"Sam O'Malley",58.50,0.00,48,55,0,"Approved Plates, Lugging Bit, Bandages",248728,"FULLY FLEDGED (NZ) 2005",240979,"MISS ALACRITY (NZ) 2004",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",367835,6,13,"Monitor","4","g",58.50,7,1.40.89,0.34.98,1.90," ","Barry Beatson","Dannevirke",114.50,0.00,200.00,"Faye Lazet",54.50,4.00,45,0,0,"Approved Plates, Standard Bit, Nose Band (1st time), Tongue Tie (1st time)",313563,"HIGHLY RECOMMENDED (AUS) 2008",262838,"DARK FLAME (AUS) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",350716,7,14,"Shocking Bill","5","g",58.50,2,1.40.65,0.34.82,0.10," NOSE","John Wheeler","New Plymouth",67.60,15.30,1500.00,"Diego Montes de Oca",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",233127,"GINELLA (NZ) 2003",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",363227,8,5,"Siglo (AUS)","4","g",58.50,8,1.41.03,0.35.32,2.90," ","Trudy Keegan","Stratford",42.20,0.00,200.00,"Danielle Hirini",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time)",287689,"MAKFI (GB) 2007",214491,"ZALIKA (NZ) 2000",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",351120,9,9,"Super Spirit","5","g",58.50,11,1.41.72,0.34.93,7.50," ","Mark Oulaghan","Awapuni",39.30,0.00,200.00,"Chris Dell",58.50,0.00,45,0,0,"Approved Plates, Standard Bit",268640,"SUPER EASY (NZ) 2008",260940,"ANGEL MINE (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",356338,10,3,"Almeraki","4","m",56.50,1,1.40.63,0.34.48,," SHORT HEAD","Deborah Parry","Awapuni",4.70,1.80,5400.00,"Kozzi Asano",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",260827,"FERRAN (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",350392,11,12,"Jane O'","5","m",56.50,6,1.40.88,0.34.09,1.80," ","Ilone Kelly","Levin",3.60,0.00,200.00,"Lisa Allpress",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",234001,"JANE DEANS (NZ) 2003",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",358649,12,2,"Platinum Bordeaux","4","m",56.50,3,1.40.65,0.34.70,0.20," NOSE","Lisa Latta","Awapuni",9.10,2.20,700.00,"Johnathan Parkes",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",280637,"PER INCANTO (USA) 2004",338186,"CARDIO MISS (AUS) 2010",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",346783,13,6,"Hermes","5","m",56.50,10,1.41.38,0.34.93,5.20," ","Karen Buttimore","Hawera",70.70,0.00,200.00,"Kate Hercock",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",258606,"JIMMY CHOUX (NZ) 2007",312950,"SHANPANICHI (AUS) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",361155,14,11,"Spacek","4","m",56.50,12,1.41.80,0.34.99,7.90," ","Barry Coxhead","Hawera",98.20,0.00,200.00,"Madan Singh",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",248656,"TAVISTOCK (NZ) 2005",216887,"CARRIE (NZ) 2000",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",359135,1,11,"Porotene Cruza","4","g",58.50,5,1.12.06,0.35.07,2.00," 1 1/2 LEN","Trudy Keegan","Stratford",4.40,0.00,200.00,"Johnathan Parkes",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",271715,"POROTENE PRINCESS (NZ) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",365791,2,9,"Hillcrest Road (AUS)","4","g",58.50,14,1.22.37,0.44.94,68.60," ","Jeff Lynds","Awapuni",10.60,0.00,200.00,"Lisa Allpress",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit",350504,"UNENCUMBERED (AUS) 2011",365792,"ZELLE (AUS) 2005",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",350542,3,10,"Candy King","5","g",58.50,10,1.12.63,0.35.24,5.70," ","Leon Mudgway","Woodville",62.70,0.00,200.00,"Kate Hercock",58.50,0.00,45,0,0,"Approved Plates, Standard Bit",296456,"DIAL A PRAYER (NZ) 2011",278455,"CANDYMAN CAN (AUS) 2008",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",350684,4,6,"Greystone","5","g",58.50,8,1.12.42,0.34.87,4.40," ","Roger Allen","Opaki",21.20,0.00,200.00,"Sam O'Malley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",313448,"NIAGARA (AUS) 2008",227904,"IMPULSE (NZ) 2002",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",363121,5,8,"Harvey Specter","4","g",58.50,11,1.12.69,0.35.02,6.00," ","Trevor Chambers","Foxton",38.80,0.00,200.00,"Mereana Hudson",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",326307,"TREASURY (AUS) 2010",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",353182,6,1,"Subtle Point","4","g",58.50,13,1.20.08,0.42.09,53.80," ","Roger Allen","Opaki",46.10,0.00,200.00,"Temyia Taiaroa",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit",261934,"NADEEM (AUS) 2003",223008,"SUBTLE (NZ) 2001",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",397491,7,2,"Little Texas Sky","4","m",56.50,9,1.12.51,0.34.80,4.90," ","Lisa Latta","Awapuni",42.70,0.00,200.00,"Faye Lazet",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit",273055,"LITTLE WONDER (NZ) 2009",259273,"SKYTOWER (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",332355,8,12,"Tennessee Rose","6","m",56.50,12,1.12.77,0.35.46,6.50," ","Karen Buttimore","Hawera",67.20,0.00,200.00,"Chris Dell",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",271306,"SAVANNAH RAIN (AUS) 1997",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",373186,9,7,"Power Of The Kitty","3","f",56.00,1,1.11.76,0.34.33,," LONG HEAD","John Wheeler","New Plymouth",13.80,3.70,5400.00,"Diego Montes de Oca",55.00,1.00,53,0,0,"Approved Plates, Lugging Bit",313325,"POWER (GB) 2009",278397,"CATBIRD KITTY (AUS) 2004",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",372250,10,5,"Sassy Susan","3","f",56.00,4,1.11.92,0.34.69,1.00," 1 LEN","Peter Didham","Awapuni",4.00,0.00,400.00,"Kozzi Asano",56.00,0.00,53,0,0,"Approved Plates, Lugging Bit",291339,"VESPA (NZ) 2011",262259,"LIPPERTY LIP (NZ) 2004",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",372458,11,13,"Midnight Swey","3","f",56.00,6,1.12.29,0.34.58,3.50," ","Matt Dixon","Foxton",10.70,0.00,200.00,"Darryl Bradley",56.00,0.00,52,0,0,"Approved Plates, Lugging Bit",350344,"SWEYNESSE (AUS) 2011",267115,"EVENADUCHESS (NZ) 2008",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",372733,12,4,"Deny","3","f",56.00,2,1.11.79,0.34.56,0.20," NECK","John Bary","Hastings",4.60,1.90,1500.00,"Madan Singh",56.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Nose Band",313325,"POWER (GB) 2009",273584,"SUNBEAM (NZ) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",375817,13,3,"Ninja Turtle","3","f",56.00,7,1.12.31,0.34.76,3.60," ","Erin Hocquard","Waverley",17.40,0.00,200.00,"Jasmine Fawcett",56.00,0.00,50,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Concussion Plates (Front), Lugging Bit, Nasal Strip",313325,"POWER (GB) 2009",227664,"SHARP MELODY (NZ) 2002",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210407,5,,Flat,1200,"MDN","THE SALAD BOWL 1200",10000.00,14:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",377987,14,14,"Shez Maleficent","3","f",56.00,3,1.11.83,0.34.72,0.50," 1/2 LEN","Adrian Bull","Hunterville",31.00,8.30,700.00,"Sarah Macnab",56.00,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",354377,"EXOSPHERE (AUS) 2012",366067,"JOLIE BLONDE (AUS) 2008",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",302428,1,1,"Sea Star","8","g",59.00,8,1.12.14,0.34.60,6.00," ","Rosie Hackett","Wanganui",12.50,0.00,200.00,"Lisa Allpress",59.00,0.00,63,0,0,"Approved Plates, Standard Bit, Blinkers",255435,"LUCKY UNICORN (AUS) 2002",201751,"BEYOND THE WAVES (NZ) 1998",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",380660,2,3,"Bradman","3","g",58.00,5,1.11.67,0.34.37,3.00," 2 1/2 LEN","Roydon Bergerson","Awapuni",3.90,0.00,200.00,"Johnathan Parkes",58.00,0.00,62,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band on",211629,"PINS (AUS) 1996",325978,"BAGGY GREEN (AUS) 2008",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",345197,3,2,"Kahu Rock","5","g",57.00,3,1.11.40,0.34.42,1.10," 1 3/4 LEN","Roger Allen","Opaki",15.00,4.20,700.00,"Sarah Macnab",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",241092,"ALAMOSA (NZ) 2004",273785,"HAZEL (NZ) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",350747,4,4,"Behind Blue Eyes","5","m",56.50,7,1.12.19,0.35.13,5.90," ","Bill Thurlow","Waverley",5.10,0.00,200.00,"Hazel Schofer",56.00,0.50,62,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",240952,"PRECIOUS MAREE (NZ) 2004",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",376701,5,11,"Gameout","4","m",56.50,4,1.11.66,0.34.64,2.90," NOSE","Ilone Kelly","Levin",9.00,0.00,400.00,"Ashvin Mudhoo",53.50,3.00,62,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",243452,"TIMEOUT (NZ) 2004",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",351716,6,7,"Mi Gracie","5","m",56.50,9,1.12.25,0.34.65,6.80," ","Rochelle Lockett","Wanganui",16.30,0.00,200.00,"Mereana Hudson",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Side Winkers",255989,"IFFRAAJ (GB) 2001",254532,"MI PAYDAY (NZ) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",358098,7,5,"Sunlit Lane","4","m",56.50,2,1.11.39,0.34.13,1.00," NOSE","Shane Brown","Woodville",12.70,2.90,1500.00,"Kate Hercock",56.50,0.00,62,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",278260,"ROAD TO ROCK (AUS) 2004",191512,"SUNLIT (NZ) 1996",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",350254,8,10,"After You","5","g",56.50,13,1.13.81,0.36.95,17.20," ","Gerald Innes","Opaki",49.90,0.00,200.00,"Darryl Bradley",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit on, Side Winkers on, Tongue Tie on",280637,"PER INCANTO (USA) 2004",214814,"OUR PRIZED ROSE (NZ) 2000",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",379180,9,8,"Lorna Doon","3","f",56.00,6,1.12.07,0.35.33,5.50," ","Fraser Auret","Marton",8.60,0.00,200.00,"Madan Singh",56.00,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",313325,"POWER (GB) 2009",280984,"BONNIE DOON (NZ) 2010",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",342895,10,9,"The Big Boss","5","m",56.00,10,1.12.52,0.34.10,8.60," ","John Wheeler","New Plymouth",40.80,0.00,200.00,"Diego Montes de Oca",55.00,1.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",255627,"GALLANT GURU (AUS) 2002",246777,"INFERNO (NZ) 2005",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",372417,11,13,"Chikira Lass","3","f",55.00,1,1.11.25,0.34.49,," 1 LEN","Lisa Latta","Awapuni",14.40,4.20,5400.00,"Kozzi Asano",55.00,0.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Tongue Tie",337555,"PROISIR (AUS) 2009",250933,"ELUSIVE CHIK (NZ) 2005",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",274988,12,12,"Brother One","11","g",55.00,12,1.13.38,0.34.98,14.40," ","Karen Buttimore","Hawera",48.00,0.00,200.00,"Jasmine Fawcett",55.00,0.00,55,0,0,"Approved Plates, Lugging Bit",256540,"CECCONI (AUS) 2004",180855,"BLESSING (NZ) 1995",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210403,6,,Flat,1200,"Rating 65 Benchmark*","PAEWAI MULLINS/TARARUA HELIWORK 1200",10000.00,14:39:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",338058,13,6,"Here We Go","6","m",54.00,11,1.12.69,0.35.63,9.90," ","Ian Adams","New Plymouth",11.20,0.00,200.00,"Temyia Taiaroa",51.00,3.00,56,0,0,"Approved Plates, Lugging Bit",247685,"EGO (NZ) 2005",239907,"MAID IN BERLIN (NZ) 2004",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210408,7,,Flat,1400,"MDN 3YO","DANNEVIRKE DAIRY SUPPLIES 1400",10000.00,15:14:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",5,"Fine",381397,1,9,"Just Ben (AUS)","3","g",57.50,3,1.25.17,0.35.28,0.80," SHORT HEAD","Gary Vile","Awapuni",7.80,2.10,700.00,"Johnathan Parkes",57.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",311287,"BENFICA (AUS) 2008",381398,"FASTBEAT (AUS) 2011",
