<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",380630,13,3,"Martina Mariea","3","f",66.00,12,2.19.67,0.38.59,24.40," ","Aaron Bidlake","Opaki",59.00,0.00,200.00,"Stephan Karnicnik",64.00,2.00,45,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",246760,"MONTJEU WAY (NZ) 2005",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",381076,1,5,"Richard Of Yorke (GB)","9","g",76.50,10,1.41.58,0.35.10,4.50," ","Jamie Richards","Matamata",20.40,0.00,200.00,"Michael Roustoby",73.50,3.00,78,59,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",250783,"OASIS DREAM (GB) 2000",381077,"CASCATA (IRE) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",267956,2,3,"No Change","12","g",73.50,7,1.41.38,0.35.02,3.30," ","Paul Nelson & Corrina McDougal","Hastings",41.10,0.00,200.00,"Lemmy Douglas",70.50,3.00,72,85,54,"Approved Plates, Standard Bit",199454,"SHINKO KING (IRE) 1991",147630,"GROSVENESS (NZ) 1990",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",312023,3,7,"Awatane","8","g",70.00,1,1.40.86,0.34.06,," HEAD","Alby MacGregor","Opaki",15.10,3.80,5400.00,"Mathew Cropp",70.00,0.00,65,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",228574,"MISS SARAH (NZ) 2002",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",364930,4,1,"Super Sid","4","g",69.50,11,1.41.75,0.35.67,5.50," ","Jamie Richards","Matamata",3.30,0.00,200.00,"Shaun Phelan",69.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Ear Covers, Nose Band, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",272987,"HALF BAK (NZ) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",353975,5,2,"Dalmatia","4","g",69.00,2,1.40.89,0.34.75,0.20," 1/2 LEN","Johno Benner & Hollie Wynyard","Otaki",5.00,1.80,1500.00,"Sam O'Malley",69.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip, Tongue Tie",226925,"ZED (NZ) 2002",257299,"ADRIATICO (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",294527,6,6,"No Tip","9","g",69.00,12,1.50.97,0.44.09,65.00," ","Paul Nelson & Corrina McDougal","Hastings",53.00,0.00,200.00,"Barry Donoghue",66.00,3.00,63,83,0,"Approved Plates, Standard Bit, Side Winkers, Tongue Tie",236672,"METTRE EN JEU (NZ) 2003",147630,"GROSVENESS (NZ) 1990",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",353361,8,11,"Ginger Too","4","g",68.00,9,1.41.49,0.34.61,4.00," ","Jamie Richards","Matamata",9.10,0.00,200.00,"Dean Parker",65.00,3.00,61,0,0,"Approved Plates, Lugging Bit, Tongue Tie",255989,"IFFRAAJ (GB) 2001",314357,"LA CHIFLOTA (CHI) 2002",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",360749,9,9,"Lady Calypso","4","m",67.00,6,1.41.13,0.34.53,1.80," ","Bryce Newman","Bulls",4.90,0.00,200.00,"Ryan Elliot",67.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",300453,"ATLANTE (AUS) 2010",224578,"LADY HARRIET (NZ) 2001",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",348968,10,8,"Sassenach","5","m",67.00,5,1.41.13,0.34.41,1.70," NOSE","Austin Brown","Opaki",20.40,0.00,200.00,"Timothy Johnson",67.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",280637,"PER INCANTO (USA) 2004",233698,"EUTROPHY (AUS) 2003",
