<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",297666,3,1,"King Oberon","8","g",66.50,2,3.55.63,,0.20," 19 LEN","Raymond Connors","Wanganui",2.60,1.20,3000.00,"Isaac Lupton",66.50,0.00,71,69,0,"Approved Plates, Lugging Bit, Boots, Tongue Tie",238456,"SAVABEEL (AUS) 2001",209778,"THE FAERIE QUEENE (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",299164,4,8,"Kangaroo","8","g",65.00,7,4.03.31,,44.00," ","Kevin Myers","Wanganui",7.30,0.00,0.00,"Toni Moki",63.00,2.00,45,57,57,"Approved Plates, Lugging Bit, Boots, Ear Covers",224608,"BRILLIANCE (USA) 1997",209082,"RAADEE (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",282392,5,7,"Cool Hand Duke","9","g",65.00,5,4.01.97,,36.70," ","John Bary","Hastings",17.70,0.00,375.00,"Aaron Kuru",65.00,0.00,55,50,0,"Approved Plates, Lugging Bit, Boots",244648,"BACHELOR DUKE (USA) 2001",239605,"JOLIE FEMME (FR) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",312351,6,5,"Grandiscoccymelums","7","g",65.00,4,3.59.45,,22.20," 14 1/2 LEN","Ken Duncan","Hunterville",38.20,0.00,750.00,"Buddy Lammas",65.00,0.00,45,50,50,"Approved Plates, Lugging Bit, Boots",209726,"ISTIDAAD (USA) 1992",217679,"ANGECA (NZ) 2000",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",322984,8,2,"Here's Trouble","6","g",65.00,P,,,," ","Kevin Myers","Wanganui",33.40,0.00,0.00,"Bradley Thomas-Rantall",62.00,3.00,47,50,0,"Approved Plates, Lugging Bit, Boots",262220,"EDENWOLD (CAN) 2003",234746,"PRIME SUSPECT (NZ) 2002",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",308010,10,4,"Tittletattle","7","m",63.00,3,3.58.94,,19.20," 3 LEN","Dean Cunningham","Marton",9.30,1.80,1500.00,"Emily Farr",63.00,0.00,45,59,0,"Approved Plates, Lugging Bit, Boots",186666,"FALTAAT (USA) 1990",213485,"REGAL SWIFT (NZ) 2000",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",275030,1,11,"Mesmerize","10","g",68.00,5,5.02.87,,26.60," ","Raymond Connors","Wanganui",2.20,0.00,250.00,"Isaac Lupton",68.00,0.00,59,67,59,"Approved Plates, Lugging Bit",149270,"YAMANIN VITAL (NZ) 1990",235765,"TIGER ROSE (NZ) 2003",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",299842,2,1,"Eddie Gilbert","8","g",68.00,P,,,," ","Kevin Myers","Wanganui",10.20,0.00,0.00,"Bradley Thomas-Rantall",65.00,3.00,55,68,57,"Approved Plates, Lugging Bit, Boots, Tongue Tie",222919,"KEEPER (AUS) 1997",212949,"IMPULSIVE (AUS) 1992",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",274313,3,5,"My Magician","10","g",68.00,P,,,," ","Gary Vile","Awapuni",44.40,0.00,0.00,"Mathew Cropp",68.00,0.00,55,77,55,"Approved Plates, Lugging Bit, Side Winkers, Boots, Nose Band",253399,"REMIND (USA) 2000",151204,"ASHLEY STAR (NZ) 1990",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",309883,4,7,"Dal Kilchoan","7","g",68.00,1,4.58.15,,," 3/4 LEN","Mark Oulaghan","Awapuni",12.60,3.30,6250.00,"Timothy Johnson",65.00,3.00,61,51,50,"Approved Plates (1st time), Lugging Bit (1st time), Boots (1st time)",278791,"INDY KING (USA) 1999",212978,"LADY LAURA (AUS) 1999",
