<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",360795,1,3,"Regal Reward","3","g",57.50,6,1.23.65,0.43.35,22.50," ","Gary Vile","Awapuni",5.60,0.00,0.00,"Chris Johnson",57.50,0.00,54,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",214929,"REGAL ASH (GB) 1997",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",364800,2,2,"Cooga Doon","3","g",57.50,1,1.19.71,0.39.49,," 7 LEN","Fraser Auret","Marton",13.00,4.60,6250.00,"Madan Singh",57.50,0.00,47,0,0,"Nose Band",287689,"MAKFI (GB) 2007",254331,"MONACHEE (NZ) 2006",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",358838,3,6,"Modric","3","g",57.50,3,1.21.45,0.41.35,10.00," 3 1/4 LEN","Andrew Campbell","Cambridge",1.80,0.00,1000.00,"Craig Grylls",57.50,0.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",248652,"RATTLE (NZ) 2005",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",353442,4,1,"Magness","3","g",57.50,4,1.22.03,0.41.56,13.30," 9 LEN","Nicola Marshall","Wanganui",21.00,0.00,500.00,"Lisa Allpress",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",261934,"NADEEM (AUS) 2003",231349,"WOODBURY BELLE (NZ) 2002",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",359228,5,5,"Happiness Forever","3","f",55.50,5,1.23.60,0.43.12,22.30," ","Linda Laing","Cambridge",5.90,0.00,250.00,"Ashvin Goindasamy",52.50,3.00,53,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",190168,"MY HAPPINESS (NZ) 1996",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",364789,6,7,"Bubble Gum","3","f",55.50,2,1.20.94,0.40.23,7.00," 3 LEN","John Wheeler","New Plymouth",6.90,2.90,2000.00,"Rosie Myers",55.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",258606,"JIMMY CHOUX (NZ) 2007",268605,"O'GOSH (NZ) 2008",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203552,5,,Flat,1200,"MDN 3YO","EZI-FINANCE MDN 3YO 1200",10000.00,13:58:00,"N",,"3yo","Maiden","unrestricted","sw","Heavy",11,"Fine",358837,7,4,"Queen Of Venlo","3","f",55.50,7,1.23.67,0.42.77,22.60," ","Wayne Jones","Hawera",47.60,0.00,0.00,"Bridie Ansell",51.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",273123,"FERLAX (NZ) 2009",252154,"WELLINGTON ROSE (NZ) 2006",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",351124,1,9,"Bruno Kelly","4","g",58.50,6,1.22.16,0.42.31,10.30," ","Mark Oulaghan","Awapuni",4.00,0.00,0.00,"Bridie Ansell",54.50,4.00,51,0,0,"Approved Plates, Standard Bit",278342,"THEWAYYOUARE (USA) 2005",258718,"EVA KELLY (NZ) 2007",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",327551,3,8,"Shanpark","5","g",58.50,1,1.20.40,0.40.38,," 2 3/4 LEN","Kevin Myers","Wanganui",4.60,1.90,6250.00,"Danielle Hirini",57.50,1.00,47,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",253252,"SHANTAINE (NZ) 2006",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",332520,4,1,"Spiderman","5","g",58.50,9,1.24.49,0.43.64,23.60," ","Hamish Auret","Wanganui",6.40,0.00,0.00,"Dylan Turner",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",275944,"BOOTS (NZ) 2009",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",345374,5,2,"Colorado Star","4","g",58.50,4,1.21.29,0.41.43,5.30," 3 1/4 LEN","Mike Breslin","Awapuni",8.30,0.00,500.00,"Leah Hemi",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",206023,"ELEGANT EMERALD (AUS) 1998",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",345611,6,6,"Harry Harrison","4","g",58.50,5,1.21.85,0.42.02,8.60," ","Anna Clement","Hawera",15.90,0.00,250.00,"Charlotte O'Beirne",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers, Cheek Burrs",264906,"HARADASUN (AUS) 2003",221708,"FREE AS THE WIND (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",329121,7,3,"Hujar","5","g",58.50,8,1.23.21,0.42.77,16.30," ","Fraser Auret","Marton",6.50,0.00,0.00,"Craig Grylls",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",263679,"PATAPAN (USA) 2002",264938,"WALK THE TALK (NZ) 2008",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",328356,8,4,"Midnight Countess","5","m",56.50,7,1.22.38,0.42.12,11.60," ","Harry Marsh","Wanganui",11.00,0.00,0.00,"Mereana Hudson",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Tongue Tie",274966,"DUKE OF MARMALADE (IRE) 2004",261037,"MIDNIGHT SENORITA (NZ) 2006",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",327040,9,7,"Thatz Daisy","5","m",56.50,2,1.20.88,0.41.31,2.80," 1 LEN","Anne Davies","Wanganui",13.20,3.10,2000.00,"Corie McLean",52.50,4.00,50,0,0,"Approved Plates, Hoof Pads (Front) (1st time), Tongue Control Bit, Side Winkers, Nose Band",248728,"FULLY FLEDGED (NZ) 2005",206794,"FRANKIE THAT (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203551,6,,Flat,1200,"MDN","LOWE SCHOLLUM JONES MDN 1200",10000.00,14:30:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",340171,10,5,"Nubian Smile","4","m",56.50,3,1.21.04,0.40.91,3.80," 1 1/2 LEN","Wayne Jones","Hawera",16.00,4.00,1000.00,"Jamie Baillie",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",249056,"CHARGE FORWARD (AUS) 2001",338309,"ZIVA (AUS) 2006",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",337892,1,7,"Lincoln Dreamer","5","g",58.50,1,1.31.29,0.39.96,," 1 3/4 LEN","Lisa Latta","Awapuni",6.60,2.30,6250.00,"Ryan Elliot",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",259951,"VILLIFYE (NZ) 2007",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",343665,2,4,"Irish Flare","4","g",58.50,12,1.34.59,0.43.64,18.80," ","John Wheeler","New Plymouth",9.30,0.00,0.00,"Craig Grylls",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",264906,"HARADASUN (AUS) 2003",213722,"FLEUR DE L'ORIENT (NZ) 2000",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",335464,3,9,"Blade Runner","5","g",58.50,10,1.33.48,0.42.24,12.50," ","Linda Laing","Cambridge",3.80,0.00,0.00,"Ashvin Goindasamy",55.50,3.00,47,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",229617,"AMBAARUN (NZ) 2002",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",330220,5,5,"Mr Flynn","5","g",58.50,4,1.31.72,0.40.91,2.60," 1/2 LEN","Buddy Lammas","Otaki",56.50,0.00,500.00,"Timothy Johnson",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",248728,"FULLY FLEDGED (NZ) 2005",240979,"MISS ALACRITY (NZ) 2004",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",345102,6,6,"Smooth Cognac","4","m",56.50,5,1.31.83,0.41.61,3.10," ","Rosie Buchanan","Stratford",3.10,0.00,250.00,"Lisa Allpress",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Tongue Tie",236729,"GORKY PARK (NZ) 2003",224327,"TERRESSA (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",334404,7,10,"She's Got The Look","5","m",56.50,2,1.31.60,0.41.08,1.80," LONG NECK","Kevin Myers","Wanganui",9.30,2.40,2000.00,"Rosie Myers",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",287687,"SHOWCASING (GB) 2007",168940,"OLGA PALOSKY (NZ) 1993",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",334788,8,8,"Great North Road","5","m",56.50,7,1.33.07,0.42.47,10.10," ","Andrew Parkes","Wanganui",14.80,0.00,0.00,"Chris Johnson",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers on",257403,"HE'S REMARKABLE (NZ) 2007",259140,"RODEO QUEEN (NZ) 2007",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",342847,9,1,"Manhatten Affair","4","m",56.50,8,1.33.08,0.42.24,10.20," ","Chris Rauhihi","Foxton",30.20,0.00,0.00,"Darryl Bradley",56.50,0.00,50,0,0,"Approved Plates, Tongue Control Bit",313325,"POWER (GB) 2009",260857,"CLASSY BAWN (NZ) 2007",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",350549,10,3,"Muzzarati","4","m",56.50,11,1.34.12,0.42.94,16.30," ","Kevin Rohloff","Wanganui",26.90,0.00,0.00,"Mereana Hudson",53.50,3.00,46,0,0,"Approved Plates, Lugging Bit",296456,"DIAL A PRAYER (NZ) 2011",283602,"QUEEN OF UR (NZ) 2010",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",334195,12,2,"Sanctum","5","m",56.50,6,1.32.43,0.41.55,6.60," ","Lisa Latta","Awapuni",37.50,0.00,0.00,"Robert Hannam",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",278350,"RED GIANT (USA) 2004",278864,"SACRISTA (AUS) 2005",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",349320,13,11,"Sequoia Dawn","4","m",56.50,3,1.31.66,0.41.38,2.20," LONG NECK","Jane Davidson","Awapuni",33.30,6.60,1000.00,"Holly Andrew",55.50,1.00,45,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",278402,"HISTORIC FILLY (AUS) 2003",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203550,7,,Flat,1360,"MDN","WANGANUI RACEHORSE OWNERS ASSOCIATION MDN 1360",10000.00,15:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",345046,14,12,"Zion Hill","4","m",56.50,9,1.33.30,0.43.07,11.50," ","Kylie Little","Cambridge",32.90,0.00,0.00,"Madan Singh",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",226925,"ZED (NZ) 2002",216897,"ROSCOMMON (NZ) 2000",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",298628,1,8,"Zac Brown","8","g",60.50,8,2.25.39,0.45.68,32.70," ","Stephen Nickalls","Palmerston North",14.40,0.00,0.00,"Bridie Ansell",56.50,4.00,66,57,0,"Approved Plates, Lugging Bit, Nasal Strip, Nose Band",226925,"ZED (NZ) 2002",245749,"POSTA SECRET (NZ) 2005",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",328982,2,4,"Vacation","5","g",59.00,9,2.25.88,0.46.44,35.50," ","Bryce Newman","Bulls",4.80,0.00,0.00,"Dylan Turner",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",226925,"ZED (NZ) 2002",240588,"GRACE AND EVA (NZ) 2004",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",351647,3,11,"Brassy Boy","5","g",58.50,4,2.22.08,0.43.07,13.90," 5 LEN","Fraser Auret","Marton",5.90,0.00,500.00,"Craig Grylls",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",269429,"AZAMOUR (IRE) 2001",261431,"SPEND A PENNY (NZ) 2007",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",341307,4,3,"Finding Nemo","4","g",58.50,10,2.26.59,0.46.89,39.50," ","Hamish Auret","Wanganui",3.70,0.00,0.00,"Rosie Myers",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",233111,"TRUDY TEE (NZ) 2003",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",294527,5,13,"No Tip","8","g",58.50,3,2.21.82,0.42.67,12.10," 1 3/4 LEN","Paul Nelson & Corrina McDougal","Hastings",22.40,5.90,1000.00,"Timothy Johnson",58.50,0.00,62,85,0,"Approved Plates, Standard Bit, Side Winkers, Tongue Tie",236672,"METTRE EN JEU (NZ) 2003",147630,"GROSVENESS (NZ) 1990",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",291174,6,14,"Whopper's","8","g",58.50,7,2.23.36,0.44.19,20.90," ","Kevin Myers","Wanganui",21.10,0.00,0.00,"Corie McLean",54.50,4.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",262402,"ANY SUGGESTION (AUS) 2001",210917,"MARINA (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",320849,7,1,"Magic Ivan","6","g",57.00,2,2.20.55,0.41.60,4.80," 7 1/4 LEN","Raymond Connors","Wanganui",27.80,6.20,2000.00,"Charlotte O'Beirne",55.00,2.00,59,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",238025,"MIRROR THE MAGIC (AUS) 1997",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",337085,8,12,"Princeville","5","g",57.00,5,2.22.97,0.43.67,18.90," ","Kevin Myers","Wanganui",23.10,0.00,250.00,"Ryan Elliot",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit",278342,"THEWAYYOUARE (USA) 2005",247824,"LADY LUCILLE (NZ) 2004",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203548,8,,Flat,2060,"Rating 65 Benchmark*","SPORTZ BAR 2060",10000.00,15:50:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Fine",316434,9,5,"Cornerstone","6","g",56.50,13,2.27.76,0.47.64,46.10," ","Gary Vile","Awapuni",46.70,0.00,0.00,"Robert Hannam",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Blinkers",278260,"ROAD TO ROCK (AUS) 2004",227312,"LYFORD CAY (NZ) 2002",
