<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203190,1,,Flat,2100,"MDN","SSANGYONG 2100",10000.00,11:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",329524,11,1,"Rodolfo","5","g",58.50,5,2.26.03,0.40.46,3.10," SHORT HEAD","Stephen Ralph","Te Awamutu",22.80,0.00,250.00,"Tegan Newman",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit",241392,"NOM DU JEU (NZ) 2004",265315,"BROOKE (NZ) 2008",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203190,1,,Flat,2100,"MDN","SSANGYONG 2100",10000.00,11:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",298494,12,8,"Two Of Us","8","g",58.50,16,2.33.43,0.47.29,49.30," ","Paul Mirabelli","Cambridge",98.10,0.00,0.00,"Jasmine Fawcett",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",244648,"BACHELOR DUKE (USA) 2001",221991,"ONE OF ME (NZ) 2001",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203190,1,,Flat,2100,"MDN","SSANGYONG 2100",10000.00,11:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",334299,13,7,"Unacceptable","5","m",56.50,6,2.26.05,0.39.95,3.20," ","John Bell","Cambridge",5.60,0.00,0.00,"Craig Grylls",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",280144,"MAY MORNING (IRE) 2002",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203190,1,,Flat,2100,"MDN","SSANGYONG 2100",10000.00,11:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",329945,14,9,"Our Star","5","m",56.50,7,2.26.85,0.41.57,8.20," ","Stephen McKee","Ardmore",8.40,0.00,0.00,"Sam Spratt",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",243959,"STAR OF FLIGHT (AUS) 1999",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203190,1,,Flat,2100,"MDN","SSANGYONG 2100",10000.00,11:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",343425,15,16,"Mianjo","4","m",56.50,8,2.27.03,0.40.97,9.30," ","Alan Young","Pukekohe",12.80,0.00,0.00,"Andrew Calder",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",241392,"NOM DU JEU (NZ) 2004",250209,"AL'S ANGEL (AUS) 2004",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203190,1,,Flat,2100,"MDN","SSANGYONG 2100",10000.00,11:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",336705,16,11,"Awesome Babe","5","m",56.50,15,2.32.21,0.46.15,41.70," ","John Bell","Cambridge",24.00,0.00,0.00,"Donavan Mansour",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",243920,"FLETCHER BAYBE (NZ) 2004",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",306831,1,8,"Divine Duke","7","g",61.00,2,2.24.36,0.41.02,0.10," SHORT NECK","Lance O'Sullivan & Andrew Scott","Matamata",7.00,2.30,5000.00,"Joe Kamaruddin",57.00,4.00,74,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",244648,"BACHELOR DUKE (USA) 2001",222411,"AVE MAREE (NZ) 2001",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",291985,4,4,"Windy Height","8","g",58.50,14,2.28.64,0.44.52,20.30," ","Antony Fuller","Tauranga",6.20,0.00,0.00,"Craig Grylls",58.50,0.00,69,0,0,"Approved Plates, Tongue Control Bit, Blinkers on",218686,"ELECTRONIC ZONE (USA) 1994",258380,"MATANGI (NZ) 2007",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",307421,5,7,"Blackmagicwoman","7","m",57.50,5,2.25.10,0.41.92,4.10," HEAD","Shaune Ritchie","Cambridge",16.20,0.00,625.00,"Eilish McCall",54.50,3.00,71,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",247914,"EBONY AND IVORY (NZ) 2005",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",349753,6,5,"Nulli Secundus","4","m",57.50,8,2.25.85,0.42.85,7.60," ","Nicholas Bishara","Ardmore Lodge",5.10,0.00,0.00,"Rebecca Scott",54.50,3.00,71,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",299611,"SPRITES DELIGHT (AUS) 2002",
