<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",359953,7,4,"Fine Leg","3","f",55.50,4,1.12.40,0.34.76,3.60," HEAD","Kevin Gray","Copper Belt Lodge, Palmerston North",13.00,0.00,500.00,"Samantha Collett",55.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",268538,"SCARLET O'HARA (NZ) 2008",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",344554,9,5,"Heirloom","3","f",55.50,6,1.12.50,0.35.03,4.30," ","Kevin Gray","Copper Belt Lodge, Palmerston North",19.50,0.00,0.00,"Holly Andrew",55.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",226925,"ZED (NZ) 2002",215808,"VERNA (NZ) 2000",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",350622,10,2,"Kauri Queen","3","f",55.50,8,1.15.22,0.38.50,21.90," ","Lisa Latta","Awapuni",9.90,0.00,0.00,"Chris Johnson",55.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie",268640,"SUPER EASY (NZ) 2008",232828,"KAURI CLIFFS (AUS) 2003",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201339,5,,Flat,1550,"Rating 82 Benchmark","RICHARDS CONSTRUCTION 1550",11000.00,17:15:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Dead",4,"Fine",297806,1,3,"Hank Moody","7","g",59.00,5,1.35.71,0.35.28,2.60," 2 1/4 LEN","Roydon Bergerson","Awapuni",7.20,0.00,275.00,"Lisa Allpress",59.00,0.00,80,0,0,"Approved Plates, Lugging Bit, Shadow Roll",238456,"SAVABEEL (AUS) 2001",208265,"CANTANTE (NZ) 1999",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201339,5,,Flat,1550,"Rating 82 Benchmark","RICHARDS CONSTRUCTION 1550",11000.00,17:15:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Dead",4,"Fine",382460,2,1,"Al Haram (FR)","6","g",58.00,6,1.36.07,0.35.62,4.90," ","Jamie Richards","Matamata",5.00,0.00,0.00,"Nik Bakar",55.00,3.00,78,0,0,"Approved Plates, Lugging Bit, Blinkers",302019,"SEA THE STARS (IRE) 2006",382461,"EN PUBLIC (FR) 1991",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201339,5,,Flat,1550,"Rating 82 Benchmark","RICHARDS CONSTRUCTION 1550",11000.00,17:15:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Dead",4,"Fine",312023,3,5,"Awatane","6","g",57.50,4,1.35.67,0.34.89,2.40," SHORT NECK","Alby MacGregor","Opaki",6.80,0.00,550.00,"Johnathan Parkes",57.50,0.00,77,0,0,"Approved Plates, Norton Bit (1st time), Side Winkers (1st time)",280637,"PER INCANTO (USA) 2004",228574,"MISS SARAH (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201339,5,,Flat,1550,"Rating 82 Benchmark","RICHARDS CONSTRUCTION 1550",11000.00,17:15:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Dead",4,"Fine",320417,4,2,"Tinkalicious","5","m",54.50,1,1.35.33,0.35.11,," 3/4 LEN","Janelle Millar","New Plymouth",2.20,1.40,6875.00,"Rosie Myers",54.50,0.00,75,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",261934,"NADEEM (AUS) 2003",260861,"TINKERMIA (NZ) 2007",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201339,5,,Flat,1550,"Rating 82 Benchmark","RICHARDS CONSTRUCTION 1550",11000.00,17:15:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Dead",4,"Fine",320211,6,4,"Rosetta","5","m",54.00,2,1.35.44,0.34.88,0.80," 3/4 LEN","Roydon Bergerson","Awapuni",5.20,2.40,2200.00,"Chris Johnson",54.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers",211629,"PINS (AUS) 1996",246864,"ROSECROFT (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201339,5,,Flat,1550,"Rating 82 Benchmark","RICHARDS CONSTRUCTION 1550",11000.00,17:15:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Dead",4,"Fine",320014,7,6,"Pep Torque","5","g",54.00,3,1.35.55,0.35.49,1.60," 3/4 LEN","Kirsty Lawrence","Waipukurau",14.80,0.00,1100.00,"Charlotte O'Beirne",53.00,1.00,66,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",261934,"NADEEM (AUS) 2003",198289,"COSMIC FLIGHT (NZ) 1997",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",316350,1,4,"Cullen Bohannon","5","g",58.50,1,1.34.80,0.35.24,," 1/2 HEAD","Gary Vile","Awapuni",5.90,1.50,6250.00,"Lisa Allpress",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",241092,"ALAMOSA (NZ) 2004",256313,"SHARP CHANCE (NZ) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",338437,2,7,"El Pablo","4","g",58.50,6,1.35.65,0.36.49,5.40," ","Kevin Myers","Wanganui",16.10,0.00,0.00,"Sarah MacNab",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit",262402,"ANY SUGGESTION (AUS) 2001",237276,"PLATINUM POLLY (NZ) 2003",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",335786,3,6,"Speed Call","4","g",58.50,5,1.35.57,0.36.51,5.00," LONG NECK","Chrissy Bambry","Foxton",28.90,0.00,250.00,"Donavan Mansour",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",262402,"ANY SUGGESTION (AUS) 2001",230500,"GAME CALL (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",348830,4,9,"Golden Age","3","g",58.00,2,1.34.82,0.35.89,0.10," LONG NECK","Jamie Richards","Matamata",1.60,1.20,2000.00,"Dylan Turner",58.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Nose Band, Tongue Tie",238456,"SAVABEEL (AUS) 2001",245059,"LA BELLE EPOQUE (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",340246,5,8,"Mallard Drake","3","g",58.00,8,1.36.32,0.37.50,9.70," ","Alexander Fieldes","Wanganui",9.20,0.00,0.00,"Johnathan Parkes",58.00,0.00,47,0,0,"Approved Plates, Tongue Control Bit",324908,"JAKKALBERRY (IRE) 2006",255302,"SITA (NZ) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",315538,7,2,"Candy Belt","5","m",56.50,9,1.36.99,0.37.47,14.00," ","Paul Moseley","Hawera",25.50,0.00,0.00,"Robert Hannam",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",245607,"SPECIAL BELT (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",330876,8,5,"Road To Reign","4","m",56.50,7,1.35.82,0.36.44,6.40," ","Geoff Humphries","Foxton",46.40,0.00,0.00,"Danielle Hirini",55.50,1.00,45,0,0,"Approved Plates, Lugging Bit",278260,"ROAD TO ROCK (AUS) 2004",262259,"LIPPERTY LIP (NZ) 2004",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",349642,9,1,"Lady Verawood","3","f",56.00,4,1.35.34,0.36.04,3.50," 1 1/2 LEN","Kevin Gray","Copper Belt Lodge, Palmerston North",45.00,0.00,500.00,"Holly Andrew",55.50,0.50,47,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",255689,"LADY VERIFY (AUS) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201340,6,,Flat,1550,"MDN","HW CAVANAGH TRANSPORT HUNTERVILLE 1550",10000.00,17:53:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",345412,10,3,"Torque Straight","3","f",56.00,3,1.34.89,0.35.55,0.50," 3 LEN","Emma-Lee & David Browne","Cambridge",7.30,1.90,1000.00,"Samantha Collett",56.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",214666,"STRAIGHT EIGHT (NZ) 2000",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",315867,1,7,"Powerball","6","g",59.50,5,1.24.79,0.35.14,3.60," 1 1/4 LEN","Kevin Myers","Wanganui",8.00,0.00,250.00,"Sarah MacNab",57.50,2.00,64,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",213526,"CONQUISTERAAD (NZ) 2000",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",346308,2,1,"Arturo","3","g",58.50,8,1.25.65,0.36.75,9.20," ","Roydon Bergerson","Awapuni",6.50,0.00,0.00,"Dylan Turner",58.50,0.00,63,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",219996,"FOXTROT (AUS) 1997",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",332683,3,5,"In Segreto","4","g",58.00,4,1.24.63,0.35.41,2.30," 1 1/4 LEN","Kevin Gray","Copper Belt Lodge, Palmerston North",15.40,0.00,500.00,"Holly Andrew",56.00,2.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",270278,"SAKHEE'S SECRET (GB) 2004",213951,"FORTELO (AUS) 1999",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",351682,4,2,"Lincoln Hills (AUS)","4","g",58.00,1,1.24.25,0.35.64,," SHORT HEAD","Lisa Latta","Awapuni",14.00,3.30,6250.00,"Chris Johnson",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",325398,"ALL TOO HARD (AUS) 2009",351683,"HICKORY HILLS (AUS) 2007",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",351179,5,8,"Wings","3","g",57.50,6,1.24.99,0.36.34,4.90," ","Anne Herbert","Awapuni",19.00,0.00,0.00,"Zinjete Moki",55.50,2.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",264625,"ROCK 'N' POP (AUS) 2008",280481,"O'DARE (NZ) 2010",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",335244,6,6,"Lady Rudolph","4","m",57.00,3,1.24.33,0.34.79,0.30," 2 LEN","Robbie Patterson","New Plymouth",3.50,1.50,1000.00,"Samantha Collett",57.00,0.00,63,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",195733,"NICOLE'S NINER (USA) 1994",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",333533,7,4,"Sasanqua","4","m",57.00,7,1.25.26,0.36.35,6.70," ","Johno Benner & Hollie Wynyard","Otaki",4.30,0.00,0.00,"Johnathan Parkes",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",252271,"SO YOU THINK (NZ) 2006",276665,"CAMELLIA (NZ) 2009",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201341,7,,Flat,1400,"Rating 65 Benchmark*","POWER FARMING 1400",10000.00,18:23:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",334171,8,3,"Witchery","4","m",56.50,2,1.24.28,0.34.90,0.10," 1/2 NECK","Jamie Richards","Matamata",4.80,1.50,2000.00,"Rosie Myers",56.50,0.00,62,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Barrier Blanket, Tongue Tie",238456,"SAVABEEL (AUS) 2001",270575,"NOW THE WORLD (AUS) 2003",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",326947,1,6,"Wallaceville","4","g",58.50,1,1.24.73,0.36.62,," 1 1/2 LEN","Geoff Haigh","Levin",8.70,2.70,6250.00,"Sam O'Malley",54.50,4.00,52,0,0,"Approved Plates, Lugging Bit, Nasal Strip",257403,"HE'S REMARKABLE (NZ) 2007",227927,"LADY BABS (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",307240,2,10,"Take A Gamble","6","g",58.50,5,1.25.20,0.36.76,3.10," LONG NECK","Jade Zuppicich","Stratford",6.40,0.00,250.00,"Samantha Collett",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Bandages (1st time)",241092,"ALAMOSA (NZ) 2004",229455,"PINNAT (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",330826,3,7,"Bruno Stars","4","g",58.50,8,1.25.60,0.36.79,5.90," ","Johno Benner & Hollie Wynyard","Otaki",9.60,0.00,0.00,"Chris Johnson",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie",278342,"THEWAYYOUARE (USA) 2005",221949,"RHYME (NZ) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",338983,4,2,"Super Bullet (AUS)","4","g",58.50,9,1.25.78,0.36.85,7.20," ","Alex Oliveira","Cambridge",17.20,0.00,0.00,"Donavan Mansour",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit",326848,"BULLET TRAIN (GB) 2007",338984,"AUSPICIOUS DAY (AUS) 1998",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",351330,5,12,"Yes M'Lady","3","g",58.00,7,1.25.60,0.35.75,5.80," ","Vicki Prendergast","Matamata",5.30,0.00,0.00,"Anna Jones",58.00,0.00,54,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",278342,"THEWAYYOUARE (USA) 2005",246307,"TUDOR PARK (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",352480,6,4,"Nudge Bar","3","g",58.00,3,1.25.14,0.36.51,2.80," LONG HEAD","Jaimee-Lee Lupton","Waverley",13.20,3.80,1000.00,"Johnathan Parkes",58.00,0.00,45,0,0,"Approved Plates, Lugging Bit",300510,"BULLBARS (AUS) 2007",255695,"STRATEGIC I AM (AUS) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",336623,7,3,"Fagiolo Majico","4","m",56.50,10,1.25.90,0.37.18,8.00," ","Jim Wallace","Opaki",4.00,0.00,0.00,"Lisa Allpress",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",267709,"SUEANNA MARIE (NZ) 2008",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",335095,8,8,"Keltic Rockstar","4","m",56.50,6,1.25.25,0.36.06,3.50," ","Donald Caskey","New Plymouth",9.10,0.00,0.00,"Leah Hemi",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",264625,"ROCK 'N' POP (AUS) 2008",227180,"KELTIC (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",333634,9,9,"Authentic Charm","4","m",56.50,4,1.25.18,0.36.30,3.00," SHORT HEAD","Lisa Latta","Awapuni",12.60,0.00,500.00,"Robert Hannam",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",280637,"PER INCANTO (USA) 2004",226602,"AUTHENTIC CROSS (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",333716,11,5,"Sorry I'm Late","4","m",56.50,2,1.24.94,0.35.85,1.50," 1 1/4 LEN","Colin Gibson","Wanganui",54.10,10.90,2000.00,"Dylan Turner",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",253399,"REMIND (USA) 2000",220369,"BARBARELLE (NZ) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201342,8,,Flat,1400,"MDN","AGRICOM 1400",10000.00,19:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",342847,12,1,"Manhatten Affair","3","f",56.00,11,1.27.32,0.38.91,17.30," ","Chris Rauhihi","Foxton",28.60,0.00,0.00,"Rosie Myers",56.00,0.00,45,0,0,"Approved Plates, Tongue Control Bit",313325,"POWER (GB) 2009",260857,"CLASSY BAWN (NZ) 2007",
