<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",312723,2,6,"Deep Blue","6","g",58.00,7,2.15.02,0.36.41,4.20," ","Gene Andrew","Awapuni",4.10,0.00,0.00,"Johnathan Parkes",58.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",245781,"SUFFICIENT (NZ) 2005",235851,"CRACK A DAWN (NZ) 2003",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",324651,3,4,"Lyano","5","g",58.00,5,2.14.54,0.35.75,1.20," 2 LEN","Mark Oulaghan","Awapuni",18.80,0.00,250.00,"Dylan Turner",58.00,0.00,59,0,0,"Approved Plates, Tongue Control Bit",259294,"THANO (ARG) 2002",248173,"MAREA ALTA (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",318382,4,2,"Stunning","5","m",57.50,4,2.14.53,0.35.50,1.10," NOSE","Lisa Latta","Awapuni",7.00,0.00,500.00,"Robert Hannam",57.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",287450,"SHOCKING (AUS) 2005",244498,"ALLEGORY (AUS) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",304400,5,1,"Constant Barrage","6","g",57.00,3,2.14.43,0.35.64,0.60," 1/2 LEN","Geoff Haigh","Levin",6.00,0.00,1000.00,"Sam O'Malley",55.00,2.00,57,0,0,"Approved Plates, Lugging Bit, Nose Band",277609,"RAISE THE FLAG (GB) 2005",222823,"ANAM CARA (NZ) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",302913,6,5,"Granite Ridge","6","g",57.00,1,2.14.34,0.35.82,," 1/2 LEN","Kevin Gray","Copper Belt Lodge, Palmerston North",7.00,3.70,6250.00,"Lisa Allpress",57.00,0.00,57,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",244869,"MARCEY'S BELT (AUS) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",329132,7,3,"Cead Mile Failte","4","m",56.50,6,2.14.85,0.35.85,3.20," ","Johno Benner & Hollie Wynyard","Otaki",7.80,0.00,0.00,"Chris Johnson",56.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",262950,"SHAMROX (NZ) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",363988,1,6,"Rio Star","4","g",58.50,4,1.11.60,0.35.79,2.90," 1 1/2 LEN","Brendon McDermott","Waitarere Beach",9.20,0.00,500.00,"Robert Hannam",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Nose Band",238708,"CAPTAIN RIO (GB) 1999",258663,"JEAN GENIE (NZ) 2007",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",321315,2,4,"Deerfield","5","g",58.50,1,1.11.18,0.35.91,," 3/4 LEN","Chrissy Bambry","Foxton",1.70,1.10,6250.00,"Sam O'Malley",55.00,3.50,52,0,0,"Approved Plates, Lugging Bit, Blinkers",215366,"FALKIRK (NZ) 2000",223820,"THE DAZZLER (NZ) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",327255,3,1,"Last Man Standing","4","g",58.50,8,1.13.10,0.37.60,12.70," ","Gary Vile","Awapuni",22.70,0.00,0.00,"Chris Johnson",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",325400,"YOUR SONG (AUS) 2009",326137,"LAVISH MISS (AUS) 2008",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",339525,4,2,"Likageesix","3","g",58.00,3,1.11.41,0.35.67,1.60," 1 1/4 LEN","Leon Mudgway","Awapuni",28.50,4.80,1000.00,"Holly Andrew",56.00,2.00,47,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",275597,"LA PETITE (NZ) 2009",
