<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",337540,7,2,"Nasheeta (AUS)","5","m",56.50,4,1.23.79,0.37.48,2.00," NECK","Brian & Shane Anderton","Wingatui",2.30,0.00,500.00,"Jacob Lowry",56.50,0.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",302053,"SMART MISSILE (AUS) 2008",337541,"MISS EXXI (AUS) 2005",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",318386,8,1,"Shock And Awe","5","m",56.50,3,1.23.59,0.37.20,0.70," 1 1/4 LEN","Bruce Tapper","Timaru",15.00,3.40,1000.00,"Terry Moseley",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",287450,"SHOCKING (AUS) 2005",209470,"GONDOLIN (NZ) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",331454,9,5,"Betty May","4","m",56.50,9,1.25.37,0.38.90,12.40," ","Jo-Ann Gordon","Ascot Park",47.20,0.00,0.00,"Lee Callaway",56.50,0.00,45,0,0,"Bar Plates, Lugging Bit",277609,"RAISE THE FLAG (GB) 2005",251470,"FIESTY CHICK (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",314638,10,7,"Delaru","5","m",56.50,10,1.26.17,0.39.81,17.70," ","Nikki & Barrie Blatch","Tapanui",103.30,0.00,0.00,"Rohan Mudhoo",53.50,3.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",255627,"GALLANT GURU (AUS) 2002",260548,"DELA KAYLA (NZ) 2007",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",300074,1,4,"What's Up Alf","7","g",61.50,4,1.21.84,0.36.76,3.20," 3 3/4 LEN","Kelvin Tyler & Aimee Tyler","Riverton",9.10,0.00,550.00,"Gee Saejorhor",57.50,4.00,75,0,0,"Approved Plates, Lugging Bit, Tongue Tie",278260,"ROAD TO ROCK (AUS) 2004",222427,"LA MONDO (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",296068,3,5,"Docket","7","g",57.50,2,1.21.42,0.36.69,0.40," 2 LEN","Bruce Tapper","Timaru",6.80,2.90,2200.00,"Rahul Beeharry",54.50,3.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers on, Tongue Tie",255989,"IFFRAAJ (GB) 2001",207144,"COUPON (AUS) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",288648,4,1,"He's Mi Brother","7","g",57.50,5,1.22.42,0.36.79,7.00," ","Stephen Blair-Edie","Riverton",5.90,0.00,275.00,"Amless Bohorun",54.50,3.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",269978,"KING OF ROSES (AUS) 1997",208693,"WISBOROUGH GREEN (NZ) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",315107,5,6,"Nomen Ludi","5","g",57.50,6,1.22.64,0.37.19,8.50," ","Ellis Winsloe","Gore",16.90,0.00,0.00,"Jasmine Fawcett",56.50,1.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",241392,"NOM DU JEU (NZ) 2004",232296,"GLADIATOR'S CHOICE (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",307054,6,2,"Ruby Marie","6","m",56.50,7,1.23.34,0.38.24,13.30," ","Jo-Ann Gordon","Ascot Park",5.00,0.00,0.00,"Krishna Mudhoo",55.50,1.00,69,0,0,"Approved Plates, Lugging Bit",288467,"EXCEEDINGLY GOOD (AUS) 2005",300897,"TIFFANY RUBY (AUS) 2003",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",309415,7,3,"Jim's Gift","6","m",56.00,1,1.21.34,0.35.83,," LONG NECK","John Yeo","Ascot Park",2.30,1.60,6875.00,"Terry Moseley",56.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Side Winkers",280637,"PER INCANTO (USA) 2004",241265,"MY GAME (NZ) 2004",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201441,5,,Flat,1335,"Rating 72 Benchmark","AUTO WINDSCREEN REPLACEMENTS / GORGE ROAD COUNTRY CLUB",11000.00,14:22:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Dead",5,"Fine",299963,9,7,"Katango","7","m",54.50,3,1.21.73,0.36.77,2.40," 3/4 LEN","Bruce Laking","Invercargill",11.40,0.00,1100.00,"Tanya Jonker",52.50,2.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",248728,"FULLY FLEDGED (NZ) 2005",186248,"KAT BALLOU (NZ) 1995",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",285455,1,4,"The Quiet Man","8","g",61.00,6,2.06.17,0.37.34,2.60," ","Stephen Blair-Edie","Riverton",10.10,0.00,0.00,"Amless Bohorun",58.00,3.00,67,50,0,"Approved Plates, Lugging Bit, Blinkers",199454,"SHINKO KING (IRE) 1991",174429,"LEI LARK (NZ) 1994",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",329887,2,11,"Kauri Cove","4","g",60.00,1,2.05.77,0.37.93,," 1 1/4 LEN","Kelvin Tyler & Aimee Tyler","Riverton",6.90,2.60,6250.00,"Kavish Chowdhoory",57.00,3.00,65,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",261091,"AMBER QUEEN (NZ) 2007",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",310170,3,10,"Beaufighter","6","g",59.50,4,2.06.08,0.37.90,2.00," NOSE","Jim Curran","Ascot Park",19.60,0.00,500.00,"Jillian Morris",59.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Side Winkers",278104,"MASTERCRAFTSMAN (IRE) 2006",242687,"TIN GOOSE (NZ) 2004",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",292735,4,6,"Mac Murdoch","7","g",58.50,12,2.07.59,0.38.78,12.30," ","Jo-Anne Dalton","Ascot Park",20.50,0.00,0.00,"Brett Murray",56.50,2.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",255627,"GALLANT GURU (AUS) 2002",187301,"PERSONAL PRINCESS (NZ) 1996",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",317135,5,1,"Sure He Can","5","g",58.50,2,2.05.98,0.37.24,1.30," 1/2 NECK","Paul Ellis","Invercargill",7.90,2.30,2000.00,"Chris Johnson",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",214675,"MULTI TASKER (NZ) 2000",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",300191,6,8,"Madam De Soir","7","m",57.00,7,2.06.36,0.37.31,3.90," ","John Phillips","Winton",19.00,0.00,0.00,"Corey Campbell",55.00,2.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip (1st time), Tongue Tie",277609,"RAISE THE FLAG (GB) 2005",213393,"GRACE DE SOIR (NZ) 2000",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",333957,7,3,"The Lustre","4","m",57.00,3,2.06.01,0.37.60,1.50," 1/2 LEN","Robert Dennis","Woodlands",4.00,2.00,1000.00,"Jacob Lowry",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",230462,"DARCI BRAHMA (NZ) 2002",242802,"THE PEARLER (NZ) 2004",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",350445,8,13,"Adequacy","6","g",57.00,13,2.08.09,0.36.32,15.60," ","Kelvin Tyler & Aimee Tyler","Riverton",94.70,0.00,0.00,"BB Hong",54.00,3.00,59,57,58,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",211119,"MISS ZOEY (NZ) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",298760,9,7,"Franconi","7","g",57.00,9,2.06.91,0.38.76,7.70," ","Gay Robinson","Ascot Park",21.00,0.00,0.00,"Lee Callaway",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers",247936,"MR. NANCHO (ARG) 2000",170665,"FRANCHICE (NZ) 1993",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",280545,10,12,"The Energizer","8","g",56.50,10,2.07.10,0.37.80,9.00," ","Kelvin Tyler & Aimee Tyler","Riverton",30.00,0.00,0.00,"Gee Saejorhor",52.50,4.00,58,80,0,"Approved Plates, Lugging Bit, Blinkers",199454,"SHINKO KING (IRE) 1991",254592,"ELAIA (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",298725,12,2,"Leila Eve","7","m",55.00,8,2.06.61,0.38.08,5.70," ","Jo-Ann Gordon","Ascot Park",17.40,0.00,0.00,"Gosen Jogoo",54.00,1.00,59,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",197721,"RAISE THE ROOF (NZ) 1997",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",308866,14,9,"Countess Ruby","6","m",54.50,11,2.07.46,0.38.29,11.50," ","Terry Kennedy","Wingatui",5.90,0.00,0.00,"Courtney Barnes",54.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",277609,"RAISE THE FLAG (GB) 2005",235782,"SUSTAIN (NZ) 2003",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201442,6,,Flat,2000,"Rating 65&JMPS Benchmark*","MLT THREE RIVERS HOTEL / PIONEER TAVERN HANDICAP",10000.00,14:58:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",5,"Fine",299628,15,5,"Smokem Up","7","g",56.00,5,2.06.08,0.37.46,2.10," ","Ellis Winsloe","Gore",10.10,0.00,250.00,"Jasmine Fawcett",55.00,1.00,57,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",255627,"GALLANT GURU (AUS) 2002",225409,"EARLY FLIGHT (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",314492,1,10,"Beam Me Up Scotty","5","g",58.50,9,2.11.48,0.37.64,6.20," ","Jo-Anne Dalton","Ascot Park",4.50,0.00,0.00,"Courtney Barnes",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Side Winkers",301053,"CAPE BLANCO (IRE) 2007",241892,"MORGALICIOUS (NZ) 2004",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",321318,2,2,"The Flagon","5","g",58.50,3,2.11.14,0.37.54,3.80," 1/2 HEAD","Jo-Ann Gordon","Ascot Park",4.80,1.40,1000.00,"Terry Moseley",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",230283,"THE BUBBLE (NZ) 2002",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",330388,3,7,"Benlachie","4","g",58.50,2,2.11.03,0.37.57,3.00," 3/4 LEN","Ellis Winsloe","Gore",40.80,8.80,2000.00,"Jasmine Fawcett",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",313563,"HIGHLY RECOMMENDED (AUS) 2008",248149,"GO NICK (NZ) 2005",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",324463,4,9,"Colour Me Red","5","g",58.50,4,2.11.15,0.37.39,3.90," 3/4 LEN","Graham & Michael Eade","Riverton",22.30,0.00,500.00,"Daniel Bothamley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",226093,"PAINTED BLACK (JPN) 1996",164538,"IVORY EVE (NZ) 1992",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",307013,7,6,"Macpac","6","m",56.50,6,2.11.35,0.37.12,5.20," ","Jim Curran","Ascot Park",14.30,0.00,0.00,"Jillian Morris",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",203711,"DON EDUARDO (NZ) 1998",242492,"ALLURING (NZ) 2004",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",319546,8,5,"Times Flying","5","m",56.50,10,2.11.57,0.37.56,6.70," ","Brian & Shane Anderton","Wingatui",4.20,0.00,0.00,"Jacob Lowry",56.50,0.00,51,0,0,"Approved Plates, Standard Bit, Blinkers, Barrier Blanket",277609,"RAISE THE FLAG (GB) 2005",222579,"OF THE ESSENCE (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",336727,9,4,"Luuka","4","m",56.50,7,2.11.43,0.37.48,5.70," ","Sally McKay","Ascot Park",10.00,0.00,0.00,"Chris Johnson",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band, Tongue Tie",277609,"RAISE THE FLAG (GB) 2005",227128,"DANSKA MILL (NZ) 2002",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",324464,10,3,"Ruakiwi Blaze","5","m",56.50,1,2.10.58,0.37.21,," 3 LEN","Graham & Michael Eade","Riverton",13.10,3.20,6250.00,"Brett Murray",54.50,2.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",226093,"PAINTED BLACK (JPN) 1996",224870,"RUAKIWI GEM (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",335063,11,8,"Danzi Creek","4","m",56.50,8,2.11.47,0.37.25,6.00," ","Brian & Shane Anderton","Wingatui",7.20,0.00,0.00,"Rohan Mudhoo",53.50,3.00,45,0,0,"Approved Plates, Standard Bit, Side Winkers",277609,"RAISE THE FLAG (GB) 2005",251863,"POWDER CREEK (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201444,7,,Flat,2000,"MDN","ADVANCE AGRICULTURE / TITIROA TRANSPORT",10000.00,15:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",337337,12,1,"Raise Ya Cards","4","m",56.50,5,2.11.27,0.37.76,4.70," ","Brian & Shane Anderton","Wingatui",14.10,0.00,250.00,"Corey Campbell",54.50,2.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Norton Bit, Blinkers, Tongue Tie",277609,"RAISE THE FLAG (GB) 2005",200967,"YA YA (NZ) 1998",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201439,8,,Flat,2000,"OPN HCP","PGG WRIGHTSON / AON INSURANCE BROKERS WYNDHAM CUP",25000.00,16:07:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",268880,1,3,"The Gordonian","10","g",60.00,5,2.05.92,0.36.86,4.60," ","Jo-Ann Gordon","Ascot Park",8.10,0.00,625.00,"Krishna Mudhoo",59.00,1.00,87,0,0,"Approved Plates, Lugging Bit, Blinkers",253399,"REMIND (USA) 2000",218810,"VIVA LYPHARD (USA) 1992",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201439,8,,Flat,2000,"OPN HCP","PGG WRIGHTSON / AON INSURANCE BROKERS WYNDHAM CUP",25000.00,16:07:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",282467,2,1,"Timy Tyler","8","g",59.00,3,2.05.52,0.36.46,2.00," 3/4 LEN","Kelvin Tyler & Aimee Tyler","Riverton",7.70,2.30,2500.00,"Gee Saejorhor",55.00,4.00,85,0,0,"Approved Plates, Lugging Bit",232838,"NO EXCUSE NEEDED (GB) 1998",253292,"SKITE (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201439,8,,Flat,2000,"OPN HCP","PGG WRIGHTSON / AON INSURANCE BROKERS WYNDHAM CUP",25000.00,16:07:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",287999,3,2,"Come Fly With Me","8","m",58.00,4,2.05.66,0.36.27,2.80," 1 3/4 LEN","Stephen Blair-Edie","Riverton",8.50,0.00,1250.00,"Amless Bohorun",55.00,3.00,87,0,0,"Barrier Blindfold, Approved Plates, Lugging Bit, Blinkers",210214,"ST REIMS (NZ) 1999",203923,"FLY THE COOP (NZ) 1998",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201439,8,,Flat,2000,"OPN HCP","PGG WRIGHTSON / AON INSURANCE BROKERS WYNDHAM CUP",25000.00,16:07:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",286531,4,4,"Shakti","9","g",57.50,2,2.05.42,0.35.86,1.50," 1/2 LEN","Jo-Ann Gordon","Ascot Park",4.00,1.60,5000.00,"Gosen Jogoo",56.50,1.00,82,0,0,"Approved Plates, Tongue Control Bit, Blinkers",244799,"DUELLED (AUS) 2002",262146,"SHOW'EM BABE (AUS) 2003",
