<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",332764,4,6,"Salient","4","m",57.50,5,1.14.55,0.37.96,3.50," ","Robert Dennis","Woodlands",11.00,0.00,250.00,"Brett Murray",55.50,2.00,45,0,0,"Approved Plates, Lugging Bit",300680,"POUR MOI (IRE) 2008",206912,"KOMPLETE KLASS (NZ) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",345126,5,3,"Sweet Oak","3","f",57.00,1,1.13.98,0.37.48,," NECK","Amanda Schwarz","Invercargill",3.40,1.30,6250.00,"BB Hong",54.00,3.00,51,0,0,"Approved Plates, Standard Bit, Blinkers, Nose Band",304111,"SWEET ORANGE (USA) 2007",252137,"GEORGIA OAK (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",349291,6,5,"Coronita","3","f",57.00,8,1.15.94,0.39.33,12.80," ","Les and Richard Didham","Riccarton Park",16.00,0.00,0.00,"Jason Laking",57.00,0.00,48,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Side Winkers on",230462,"DARCI BRAHMA (NZ) 2002",244492,"OPEN STAGE (IRE) 2000",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",342901,7,4,"Index","3","f",57.00,4,1.14.41,0.38.07,2.70," 3/4 LEN","Brian & Shane Anderton","Wingatui",6.70,0.00,500.00,"Corey Campbell",55.00,2.00,47,0,0,"Approved Plates, Standard Bit",255627,"GALLANT GURU (AUS) 2002",216077,"PERSONAL COLUMN (NZ) 2000",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",353797,8,2,"Ophelia Rose","3","f",57.00,2,1.14.04,0.37.77,0.30," 1/2 HEAD","Stephanie Clark","Timaru",8.60,2.50,2000.00,"Terry Moseley",57.00,0.00,45,0,0,"Approved Plates, Norton Bit (1st time), Side Winkers (1st time)",313563,"HIGHLY RECOMMENDED (AUS) 2008",211067,"WHEN THE CATS AWAY (NZ) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",345060,9,1,"Quella Ragazza","3","f",57.00,3,1.14.05,0.38.34,0.40," 2 1/4 LEN","Murray Tapper","Timaru",9.60,2.80,1000.00,"Jasmine Fawcett",56.00,1.00,45,0,0,"Tongue Control Bit, Blinkers, Cheek Burrs",280637,"PER INCANTO (USA) 2004",247637,"BAILLIEBOROUGH (NZ) 2005",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",284903,1,5,"Irish Excuse","8","g",60.00,8,1.13.92,0.36.62,5.20," ","Ellis Winsloe","Gore",4.10,0.00,0.00,"Jasmine Fawcett",59.00,1.00,97,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",232838,"NO EXCUSE NEEDED (GB) 1998",224819,"IRISH BABE (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",330846,2,6,"Finbarr","4","g",54.00,3,1.13.32,0.36.50,1.10," 1 1/4 LEN","Gay Robinson","Ascot Park",4.30,1.60,1500.00,"Lee Callaway",54.00,0.00,82,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Blinkers, Nasal Strip, Nose Band",215366,"FALKIRK (NZ) 2000",234608,"SOUTHERN CLOUD (NZ) 2003",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",293466,3,7,"King Pin","7","g",54.00,1,1.13.13,0.36.09,," NECK","Sally McKay","Ascot Park",5.20,1.80,9375.00,"Corey Campbell",52.00,2.00,81,0,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages, Tongue Tie",211629,"PINS (AUS) 1996",216269,"LOOK AT MOIYE (NZ) 2000",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",282394,4,4,"Secret Power","8","g",54.00,7,1.13.73,0.36.96,3.90," ","Anna Hewitson","Invercargill",11.20,0.00,0.00,"Jillian Morris",54.00,0.00,81,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Nose Band, Tongue Tie",270278,"SAKHEE'S SECRET (GB) 2004",230759,"KHAPERS (NZ) 2002",
