<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",312665,14,13,"Rodmar","6","g",54.00,4,2.36.76,0.37.38,7.80," 1 1/4 LEN","Antony Fuller","Tauranga",112.70,0.00,1500.00,"Bridget Grylls",54.00,0.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers",287450,"SHOCKING (AUS) 2005",255932,"SPEECHLESS (AUS) 2003",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",325345,15,12,"Iskander","5","g",54.00,9,2.39.59,0.40.85,25.00," ","John Ruddell","Pukekohe Park",114.50,0.00,0.00,"Lynsey Satherley",54.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",236729,"GORKY PARK (NZ) 2003",209108,"TE AWA ROSE (NZ) 1999",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",281576,2,6,"Meeska Mooska","8","g",59.50,4,1.40.15,0.36.26,3.40," 3/4 LEN","Graham Thomas & Mathew Gillies","Cambridge",17.40,0.00,2000.00,"Ryan Elliot",58.50,1.00,86,0,0,"Approved Plates, Lugging Bit",247999,"EL HERMANO (NZ) 2005",176390,"KIRKEBI (NZ) 1994",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",297148,3,4,"Athena Baby","7","g",59.00,6,1.40.39,0.36.78,4.70," ","John Bell","Cambridge",16.50,0.00,0.00,"Ashvin Goindasamy",55.00,4.00,85,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",285139,"SWISS ACE (AUS) 2004",263094,"MISCELLANEA (AUS) 1997",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",300726,5,7,"Sasanof's Hero","7","g",59.00,7,1.40.48,0.36.44,5.30," ","Jim Collett","Matamata",13.80,0.00,0.00,"Taiki Yanagida",56.00,3.00,85,0,0,"Approved Plates, Lugging Bit, Blinkers",263679,"PATAPAN (USA) 2002",211703,"ANGEL'S HONOUR (NZ) 1999",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",303812,6,5,"Fire Jet","6","g",57.50,9,1.41.68,0.38.12,13.10," ","Allan Smith","Ardmore Lodge",27.50,0.00,0.00,"Trudy Thornton",57.50,0.00,82,0,0,"Approved Plates, Tongue Control Bit, Visor Blinkers",248656,"TAVISTOCK (NZ) 2005",253486,"RAVE REVIEW (NZ) 2006",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",338682,7,1,"Demonetization (AUS)","4","h",56.50,2,1.39.66,0.36.06,0.10," 2 1/4 LEN","Nigel Tiley","Pukekohe",2.70,1.30,8000.00,"Leith Innes",56.50,0.00,80,0,0,"Approved Plates, Lugging Bit, Blinkers",325398,"ALL TOO HARD (AUS) 2009",338683,"MIDNIGHT SPECIAL (AUS) 2005",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",291455,8,2,"Seventeen Seventy","7","g",56.50,3,1.39.98,0.36.63,2.40," 1 LEN","M, M F & M L Rogers","Pukekohe Park",23.50,5.00,4000.00,"Sam Spratt",56.50,0.00,80,0,0,"Approved Plates, Lugging Bit, Blinkers",238708,"CAPTAIN RIO (GB) 1999",217501,"FAST ARRIVAL (NZ) 2000",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",340299,9,8,"Break My Stride (AUS)","5","g",55.50,8,1.41.42,0.38.14,11.40," ","Murray Baker & Andrew Forsman","Cambridge",11.20,0.00,0.00,"Samantha Collett",55.50,0.00,78,0,0,"Approved Plates, Lugging Bit, Pacifiers, Cheek Burrs",302513,"ZOFFANY (IRE) 2008",238100,"CURIO JADE (AUS) 1995",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",326976,10,9,"Gundown (AUS)","4","g",54.00,1,1.39.65,0.35.86,," NOSE","Murray Baker & Andrew Forsman","Cambridge",4.00,1.60,25000.00,"Matthew Cameron",54.00,0.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers",244646,"HIGH CHAPARRAL (IRE) 1999",203977,"LADY OF THE HOUSE (NZ) 1998",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199668,2,,Flat,1600,"OPN HCP","FRANKLIN LONG ROOFING 1600",40000.00,12:45:00,"N",53.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Showery",320848,11,3,"Monrecour","5","m",53.00,5,1.40.29,0.36.38,4.20," 1/2 LEN","Roger James & Robert Wellwood","Cambridge",4.80,0.00,1000.00,"Cameron Lammas",53.50,-0.50,76,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",235368,"UDIDITAGAIN (NZ) 2003",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",364843,1,3,"Maybeashowoff","2","g",56.50,7,1.09.10,0.35.95,10.80," ","David Greene","Te Rapa",4.70,0.00,0.00,"Lynsey Satherley",56.50,0.00,63,0,0,"Approved Plates, Lugging Bit, Pacifiers, Ear Covers",287687,"SHOWCASING (GB) 2007",276713,"CASSIE MAY (NZ) 2009",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",358561,2,7,"Blackrocksdetox","2","g",56.50,3,1.08.40,0.34.64,6.30," 3/4 LEN","Bruce Wallace & Allan Peard","Byerley Park",36.00,0.00,5000.00,"Andrew Calder",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",215341,"DOMINIQUE (NZ) 2000",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",362771,3,5,"Bavella (AUS)","2","f",54.50,1,1.07.50,0.34.20,," 3 3/4 LEN","Lance Noble","Karaka",1.80,1.30,31250.00,"Leith Innes",54.50,0.00,63,0,0,"Approved Plates, Lugging Bit",250718,"SNITZEL (AUS) 2002",267752,"ZONZA (NZ) 2008",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",362866,4,2,"She's A Lady","2","f",54.50,4,1.08.52,0.35.34,7.10," 1 1/2 LEN","Richard Yuill","Pukekohe Park",4.20,0.00,2500.00,"Sam Spratt",54.50,0.00,52,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",253315,"PANTOMIME (NZ) 2006",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",364242,5,4,"Aalaalune","2","f",54.50,2,1.08.06,0.34.57,3.80," 2 1/2 LEN","Jacob McKay","Matamata",22.40,6.00,10000.00,"Shaun McKay",54.50,0.00,47,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",300859,"VEVA GIRL (AUS) 2008",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",362604,6,6,"Thousandkissesdeep","2","f",54.50,6,1.09.04,0.35.49,10.40," ","Nigel Tiley","Pukekohe",13.00,0.00,0.00,"Samantha Collett",54.50,0.00,46,0,0,"Approved Plates, Lugging Bit",302352,"SEPOY (AUS) 2008",351070,"CAST YOUR VOTE (AUS) 2009",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199079,3,Listed Race,Flat,1100,"2YO SW","SPLICE CONSTRUCTION 2YO STAKES",50000.00,13:20:00,"Y",,"2yo","Open","unrestricted","sw","Slow",7,"Showery",360071,7,1,"Vistock","2","f",54.50,5,1.08.79,0.35.29,8.60," 1 3/4 LEN","Stephen McKee","Ardmore",21.70,0.00,1250.00,"Trudy Thornton",54.50,0.00,45,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",245346,"FEELIN' PRETTY (NZ) 2005",
