<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",350444,14,12,"Breky At Tiffanys","6","m",56.50,13,1.52.33,0.45.52,31.90," ","Ken Duncan","Hunterville",113.90,0.00,0.00,"Christopher Dell",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",247182,"EIGHTH WONDER (NZ) 2005",209304,"VEXTRA (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",294532,15,2,"Cowboys Dont Cry","7","g",58.50,3,1.46.75,0.41.84,0.60," SHORT NECK","Rudy Liefting","Pukekohe Park",36.80,8.30,1000.00,"Jordan Nason",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",219144,"D'CASH (AUS) 1996",239919,"WHAT A FEELING (NZ) 2004",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",323790,16,10,"Neon Light","5","m",56.50,14,1.52.91,0.46.32,35.10," ","John Bell","Cambridge",52.50,0.00,0.00,"Shafiq Rusof",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",217467,"SUPASTAR (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",351334,1,12,"Parliament (AUS)","4","g",58.50,3,1.18.69,0.39.53,0.30," 1/2 LEN","Matthew Ivil","Cambridge",9.50,3.00,1000.00,"Sam Weatherley",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",351335,"CROWDED HOUSE (GB) 2006",351336,"FALVETTE (AUS) 2003",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",351500,2,5,"Cape Ventora","4","g",58.50,8,1.19.63,0.41.05,5.90," ","Phillip Stevens","Matamata",48.50,0.00,0.00,"Trudy Thornton",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",301053,"CAPE BLANCO (IRE) 2007",265312,"CONTRADA (NZ) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",328081,3,9,"Katie Perrie","4","m",56.50,9,1.19.64,0.40.28,6.00," ","Jim Collett","Matamata",4.20,0.00,0.00,"Shaun McKay",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Ear Covers (1st time)",264625,"ROCK 'N' POP (AUS) 2008",278954,"FRENCH LION (AUS) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",362921,4,1,"Carreleur","4","m",56.50,2,1.18.66,0.39.70,0.10," HEAD","Mark Lupton","Matamata",4.20,1.60,2000.00,"Bridget Grylls",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",271098,"WHAT A GLAMOUR (AUS) 2001",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",332607,6,7,"Tintero","4","m",56.50,5,1.18.84,0.39.76,1.00," 1/2 LEN","Team Rogerson","Tuhikaramea",17.40,0.00,250.00,"Ryan Elliot",55.50,1.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",239868,"LILIES (AUS) 2004",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",330307,8,14,"Jazdanzer","4","m",56.50,13,1.21.06,0.42.71,14.80," ","Peter & Jessica Brosnan","Matamata",57.60,0.00,0.00,"Lynsey Satherley",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time)",300274,"TARTAN BEARER (IRE) 2005",300360,"JOLIE DANZER (AUS) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",328438,9,11,"Conquering Kelly","4","m",56.50,11,1.19.82,0.40.64,7.00," ","Scott Wenn","Te Aroha",28.00,0.00,0.00,"Sam Spratt",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Shadow Roll",262402,"ANY SUGGESTION (AUS) 2001",246651,"CONQUERING BEAUTY (NZ) 2004",
