<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",338404,3,9,"Cardelli","4","g",58.50,11,1.37.17,0.45.23,23.10," ","Team Rogerson","Tuhikaramea",20.70,0.00,0.00,"Matthew Cameron",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",216698,"ALIGN (AUS) 1996",261745,"ARCHETTO (NZ) 2007",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",338209,4,1,"Listenup","4","g",58.50,10,1.35.88,0.43.63,15.00," ","Jacob McKay","Matamata",29.80,0.00,0.00,"Reese Jones",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",266106,"HARD SPUN (USA) 2004",271356,"INSTRUCTIONS (AUS) 2009",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",317248,5,11,"Whero Rapa","5","g",58.50,2,1.33.52,0.41.72,0.80," 1/2 LEN","Lenny Winters","Avondale",49.80,11.50,2000.00,"Rebecca Scott",54.50,4.00,45,0,0,"Approved Plates, Lugging Bit",278350,"RED GIANT (USA) 2004",277270,"PANORAMIC (AUS) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",315394,6,3,"Don't Lie To Me","5","m",56.50,4,1.33.95,0.41.95,3.30," 1 1/4 LEN","Graham Richardson & Gavin Parker","Matamata",5.10,0.00,500.00,"Trudy Thornton",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",255989,"IFFRAAJ (GB) 2001",234076,"CROSS MY HEART (NZ) 2003",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",335514,7,7,"Ivette","5","m",56.50,1,1.33.37,0.41.21,," 3/4 LEN","Michael Moroney & Pam Gerard","Matamata",6.10,1.90,6250.00,"Jake Bayliss",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",279503,"NO REINS (AUS) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",335696,8,6,"Just Treasure","4","m",56.50,8,1.35.33,0.43.55,11.60," ","Ross McCarroll","Cambridge",5.20,0.00,0.00,"Sam Weatherley",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Nose Band",301937,"REDWOOD (GB) 2006",244677,"EVVIVA (NZ) 2004",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",335491,9,5,"Mariota","4","m",56.50,5,1.34.19,0.42.07,4.60," NECK","Gary Hennessy","Matamata",9.20,0.00,250.00,"Shaun McKay",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",172521,"O'REILLY (NZ) 1993",300359,"MISS SWISS (AUS) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",334211,10,4,"Langbein","4","m",56.50,6,1.34.27,0.41.87,4.90," ","Peter & Dawn Williams","Byerley Park",7.00,0.00,0.00,"Andrew Calder",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",287689,"MAKFI (GB) 2007",317857,"THE FIRST LADY (AUS) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",317378,11,8,"Night Captain","5","m",56.50,7,1.34.55,0.42.71,6.70," ","Allan Wright","Matamata",28.80,0.00,0.00,"Jasmine Fawcett",54.50,2.00,46,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",278954,"FRENCH LION (AUS) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",338112,12,10,"Arenaruler","4","m",56.50,9,1.35.47,0.43.63,12.40," ","Antony Fuller","Tauranga",59.20,0.00,0.00,"Ashvin Goindasamy",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",245385,"SUN RULER (AUS) 2005",223721,"ICE ARENA (NZ) 2001",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",319470,13,2,"Miss Posh","5","m",56.50,12,1.38.41,0.45.63,30.80," ","Cydne Evans","Byerley Park",62.40,0.00,0.00,"Lynsey Satherley",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Tongue Tie",278342,"THEWAYYOUARE (USA) 2005",289540,"CAT'S ACCOUNT (USA) 2001",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",272231,1,1,"Bransome","9","g",59.50,5,1.33.45,0.40.32,2.40," 7 LEN","Frank Neill","Te Awamutu",6.00,0.00,275.00,"Taiki Yanagida",55.50,4.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers",244452,"HANDSOME RANSOM (AUS) 2000",227190,"DAME SINGA (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",333443,2,3,"Gold Spice","4","m",59.00,6,1.34.55,0.41.66,9.40," ","Graham Richardson & Gavin Parker","Matamata",3.10,0.00,0.00,"Masa Hashizume",55.00,4.00,74,0,0,"Approved Plates, Lugging Bit, Blinkers",264625,"ROCK 'N' POP (AUS) 2008",208998,"ZOE SPICE (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",291903,3,7,"Lupelani","7","m",58.00,3,1.33.12,0.39.92,0.40," 1 LEN","Nigel Tiley","Pukekohe",2.20,0.00,1100.00,"Kate Cowan",55.00,3.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",241392,"NOM DU JEU (NZ) 2004",215343,"LA PUCELLE (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",274806,4,5,"Nothing Trivial","9","g",58.00,4,1.33.28,0.40.48,1.40," 1 LEN","Wayne Hillis","Matamata",15.30,0.00,550.00,"Darren Danis",55.00,3.00,68,68,0,"Approved Plates, Lugging Bit, Tongue Tie",238291,"ELUSIVE CITY (USA) 2000",148835,"GIA MARIA (NZ) 1990",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",320516,6,6,"Rocking Good Time","5","g",57.50,2,1.33.09,0.39.56,0.20," HEAD","Ralph Manning","Cambridge",18.20,5.70,2200.00,"Ashvin Goindasamy",53.50,4.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",242640,"ROC DE CAMBES (NZ) 2004",256978,"A FLAMINGOOD TIME (NZ) 2007",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",351051,7,2,"Just For Kicks","6","g",57.00,1,1.33.03,0.40.24,," SHORT NECK","Mark Brosnan","Matamata",12.50,3.70,6875.00,"Shaun McKay",57.00,0.00,66,0,0,"Approved Plates, Lugging Bit",238708,"CAPTAIN RIO (GB) 1999",181432,"WILD PRINCESS (NZ) 1994",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198328,5,,Flat,1400,"Rating 72 Benchmark","THE ROBERT BRUCE CLOTHIER MEMORIAL",11000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",331094,9,4,"Tin Soldier","4","g",55.00,7,1.35.54,0.42.60,15.60," ","Kevin Dell","Byerley Park",17.10,0.00,0.00,"Christopher Dell",55.00,0.00,62,0,0,"Approved Plates, Lugging Bit, Side Winkers",241092,"ALAMOSA (NZ) 2004",312269,"MARIE DOREE (FR) 2005",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",303748,1,9,"Tweedledee","6","g",59.00,3,1.46.88,0.41.06,0.30," 1 1/2 LEN","Lance O'Sullivan & Andrew Scott","Matamata",4.10,1.80,1000.00,"Taiki Yanagida",55.00,4.00,63,0,0,"Approved Plates, Norton Bit, Tongue Tie",226925,"ZED (NZ) 2002",252094,"SANSTAR (NZ) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",295709,2,3,"King's Secret","7","g",58.50,8,1.48.05,0.42.02,7.30," ","Bob Autridge","Matamata",9.10,0.00,0.00,"Jonathan Riddell",58.50,0.00,62,0,0,"Approved Plates, Tongue Control Bit (1st time), Blinkers on, Tongue Tie (1st time)",278791,"INDY KING (USA) 1999",202950,"FOXY BOSS (NZ) 1998",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",305755,3,6,"Leica Warrior","6","g",57.50,2,1.46.81,0.40.90,0.10," SHORT NECK","Brian Hedley","Te Aroha",7.80,2.40,2000.00,"Jasmine Fawcett",55.50,2.00,60,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",209726,"ISTIDAAD (USA) 1992",207106,"CHER FOX (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",292026,5,7,"Cancellara","7","g",57.00,5,1.47.54,0.41.13,4.30," 3/4 LEN","Glynn Brick","Cambridge",8.70,0.00,250.00,"Sam Weatherley",57.00,0.00,59,0,0,"Approved Plates, Standard Bit, Side Winkers",238732,"SPARTACUS (IRE) 2000",149160,"LADY ANNE (NZ) 1990",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",331150,6,4,"Boundary","4","m",56.50,1,1.46.79,0.40.48,," SHORT HEAD","Peter Lock","Te Aroha",5.00,1.80,6250.00,"Sam Spratt",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",198155,"DAYDREAM (NZ) 1997",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",336239,7,2,"Fly To The Moon","4","m",56.50,9,1.48.18,0.41.94,8.20," ","Michael Moroney & Pam Gerard","Matamata",5.40,0.00,0.00,"Jake Bayliss",56.50,0.00,62,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",280638,"FLY SILCA FLY (IRE) 2007",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",286204,9,1,"Chachi Arcola","8","g",56.00,6,1.47.68,0.41.37,5.10," ","Jacqui Wadham","Pukekohe Park",36.30,0.00,0.00,"Rowena Smyth",56.00,0.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",277796,"MYBOYCHARLIE (IRE) 2005",277819,"ELLA MAREE (AUS) 2005",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",302864,10,8,"Critics Choice","6","g",55.00,7,1.48.04,0.41.53,7.30," ","Kevin Dell","Byerley Park",21.10,0.00,0.00,"Christopher Dell",55.00,0.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers",278240,"BUFFALO MAN (CAN) 2004",240928,"CRITIQUE (NZ) 2004",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198329,6,,Flat,1600,"Rating 65 Benchmark*","OSP STOCKFEEDS 1600",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",312371,11,10,"Bella Blue","6","m",54.50,4,1.47.12,0.40.98,1.80," 2 1/2 LEN","Ralph Manning","Cambridge",7.40,0.00,500.00,"Matthew Cameron",55.00,-0.50,58,0,0,"Approved Plates, Lugging Bit, Blinkers",287689,"MAKFI (GB) 2007",237890,"BLUE SKIES (NZ) 2003",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",288009,2,14,"Prize Lad","8","g",59.00,12,2.21.93,0.44.78,22.30," ","Ken Duncan","Hunterville",41.90,0.00,0.00,"Jonathan Riddell",59.00,0.00,70,50,0,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip on, Tongue Tie",230462,"DARCI BRAHMA (NZ) 2002",222020,"PRIZE LADY (NZ) 2001",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",263896,3,12,"He's Dan","10","g",58.50,11,2.21.10,0.44.06,17.10," ","Andrew Meikle","Pukeatua",56.90,0.00,0.00,"Jordan Nason",58.50,0.00,69,67,0,"Approved Plates, Lugging Bit",222919,"KEEPER (AUS) 1997",187105,"SHE'S POSSESSED (NZ) 1996",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",302687,4,1,"Ali Baba","6","g",58.00,1,2.18.33,0.40.75,," NOSE","Michael Moroney & Pam Gerard","Matamata",2.30,1.50,6875.00,"Jake Bayliss",58.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",238456,"SAVABEEL (AUS) 2001",200104,"DREAMWORKS (NZ) 1998",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",271557,5,2,"Crikey Cron","9","g",58.00,14,2.23.57,0.46.40,32.60," ","Ken Duncan","Hunterville",60.90,0.00,0.00,"Cameron Lammas",58.00,0.00,68,50,55,"Approved Plates, Standard Bit (1st time), Blinkers, Tongue Tie",251954,"ROYAL GEM (USA) 1999",211551,"MS MAYLAND (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",287538,6,3,"Suggestive Heights","8","m",56.50,7,2.19.16,0.42.22,5.00," ","Simon Rees","Morrinsville",7.20,0.00,0.00,"Lynsey Satherley",56.50,0.00,69,0,0,"Approved Plates, Lugging Bit",262402,"ANY SUGGESTION (AUS) 2001",217705,"SPLIT THE NIGHT (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",314997,7,7,"Cool Cassie","6","m",55.50,10,2.20.96,0.42.97,16.20," ","Nadine Kelly","Te Aroha",11.50,0.00,0.00,"Sam Spratt",55.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",250272,"CASTLEDALE (IRE) 2001",237620,"COOL MAGIC (NZ) 2003",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",308547,8,8,"Master Poet","6","g",55.00,8,2.19.26,0.41.29,5.60," ","Mark Brosnan","Matamata",11.50,0.00,0.00,"Shaun McKay",55.00,0.00,62,57,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",221949,"RHYME (NZ) 2001",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",304933,9,4,"Magic Cannon","6","g",54.50,2,2.18.34,0.41.32,0.10," HEAD","Mark Brosnan","Matamata",15.70,3.90,2200.00,"Trudy Thornton",54.50,0.00,61,50,0,"Approved Plates, Lugging Bit, Blinkers",241392,"NOM DU JEU (NZ) 2004",215736,"HEATHER'S MAGIC (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",336433,10,11,"Horsey Horse Horse","4","m",54.00,13,2.22.44,0.44.77,25.50," ","Linda Laing","Cambridge",10.90,0.00,0.00,"Rogan Norvall",54.00,0.00,63,0,0,"Approved Plates, Standard Bit",264625,"ROCK 'N' POP (AUS) 2008",253820,"LADY WHINFELL (NZ) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",300037,11,9,"Borninasandpit","7","m",54.00,3,2.18.36,0.41.41,0.30," 3 1/4 LEN","Graham Thomas & Mathew Gillies","Cambridge",30.90,6.70,1100.00,"Anna Jones",54.00,0.00,61,69,0,"Approved Plates, Lugging Bit, Tongue Tie",209726,"ISTIDAAD (USA) 1992",233054,"TOOGOODTOBETRUE (NZ) 2003",
