<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",340391,6,2,"Touch The Clouds","5","g",58.00,7,1.41.56,0.39.34,10.20," ","Ralph Manning","Cambridge",14.20,0.00,450.00,"Tegan Newman",55.00,3.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",245429,"INDIAN SKY (AUS) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",346883,7,1,"Magdala","5","m",57.50,1,1.39.84,0.37.99,," 5 LEN","Rudy Liefting","Pukekohe Park",3.80,1.70,12150.00,"Hazel Schofer",55.00,2.50,64,0,0,"Approved Plates, Lugging Bit, Blinkers",244648,"BACHELOR DUKE (USA) 2001",217827,"MARLENA (NZ) 2000",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",350545,8,3,"Cardinal O'Ceirin","5","g",57.00,5,1.41.04,0.38.62,7.20," ","Kevin Rohloff","Wanganui",14.20,0.00,450.00,"Temyia Taiaroa",54.00,3.00,59,0,0,"Approved Plates, Standard Bit, Nasal Strip",296456,"DIAL A PRAYER (NZ) 2011",233664,"MONIQUE (NZ) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",348130,9,10,"Lord Valentine","5","g",57.00,11,1.43.48,0.41.31,21.50," ","Darrell Hollinshead","Te Awamutu",18.20,0.00,450.00,"Trudy Thornton",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers",287683,"RIP VAN WINKLE (IRE) 2006",267785,"PRICKLEY PRINCESS (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",306703,10,13,"Southern Cool","8","g",57.00,10,1.42.55,0.39.31,16.00," ","Niall Quinn","Wanganui",75.30,0.00,450.00,"Maria Sanson",53.00,4.00,59,57,69,"Approved Plates, Lugging Bit, Blinkers",255433,"PERFECTLY READY (AUS) 2002",227609,"JOINT EFFORT (NZ) 2002",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",346311,11,6,"Wine n' Dine","5","m",56.50,13,1.46.84,0.43.45,41.10," ","John Wheeler","New Plymouth",21.60,0.00,450.00,"Samantha Collett",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",261934,"NADEEM (AUS) 2003",236733,"IMA LADY (NZ) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",361965,12,9,"Lucky Park","4","m",56.00,9,1.42.12,0.39.47,13.50," ","Gavin Sharrock","Stratford",8.70,0.00,450.00,"Chelsea Burdan",54.00,2.00,61,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",296695,"SHEZENTHUSIASTIC (NZ) 2011",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",330806,13,4,"Bae Corp","6","m",55.50,6,1.41.28,0.38.47,8.50," ","Ilone Kelly","Levin",13.70,0.00,450.00,"Ashvin Mudhoo",51.50,4.00,60,0,0,"Approved Plates, Standard Bit, Blinkers, Tongue Tie",278342,"THEWAYYOUARE (USA) 2005",250815,"PROMPT PAYMENT (IRE) 1998",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",344368,14,8,"Maidstone Park","5","m",54.00,8,1.41.82,0.39.46,11.70," ","Lisa Latta","Awapuni",38.90,0.00,450.00,"Leah Hemi",54.00,0.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers",265282,"OCEAN PARK (NZ) 2008",241055,"GIRLS ON TOP (NZ) 2004",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",350811,17,5,"Way Above (AUS)","5","g",58.50,4,1.40.97,0.38.42,6.70," 1/2 LEN","Kevin Myers","Wanganui",6.60,0.00,900.00,"Kozzi Asano",57.50,1.00,63,0,0,"Approved Plates, Lugging Bit, Tongue Tie",302053,"SMART MISSILE (AUS) 2008",241216,"IRISH COLLEEN (NZ) 2004",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",338795,1,9,"Torre Del Greco","6","m",62.00,12,1.18.51,0.40.92,27.40," ","Kevin Myers","Wanganui",12.90,0.00,650.00,"Sam O'Malley",59.00,3.00,87,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit, Blinkers",236672,"METTRE EN JEU (NZ) 2003",268954,"JUNGLE PAGO (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",331144,2,3,"Sinarahma","6","m",61.00,4,1.14.98,0.37.11,6.60," LONG NECK","Allan Sharrock","New Plymouth",3.70,0.00,1300.00,"Hazel Schofer",58.00,3.00,85,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",256905,"SHEZ SINSATIONAL (NZ) 2007",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",343508,3,10,"Ihu","5","g",61.00,9,1.16.51,0.39.76,15.70," ","Nicholas Bishara","Ardmore Lodge",4.40,0.00,650.00,"Kozzi Asano",60.00,1.00,81,0,0,"Approved Plates, Standard Bit, Nose Band",313225,"RED ELEMENT (AUS) 2004",337097,"RIBOLLITA (GB) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",292780,4,12,"Miss Lizzie","9","m",60.50,10,1.16.59,0.39.64,16.10," ","Anna Clement","Hawera",19.60,0.00,650.00,"Bridie Ansell",57.50,3.00,84,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",259294,"THANO (ARG) 2002",208662,"DANCEONTHEMOON (NZ) 1999",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",332410,5,11,"Monaco","6","g",60.00,6,1.15.41,0.38.18,9.30," ","Stephen Ralph","Te Awamutu",12.10,0.00,650.00,"Tegan Newman",57.00,3.00,79,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",251117,"MONARCH (NZ) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",324658,6,2,"Tellyawhat","7","g",56.50,2,1.14.56,0.36.81,4.30," 1/2 LEN","Allan Sharrock","New Plymouth",8.80,2.70,4875.00,"Ashvin Mudhoo",52.50,4.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers, Bandages, Tongue Tie (1st time)",302210,"DALGHAR (FR) 2006",246307,"TUDOR PARK (NZ) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",349372,7,5,"Diogenes","5","g",54.50,1,1.13.87,0.36.76,," 4 1/4 LEN","Nigel Tiley","Pukekohe",7.10,2.30,17550.00,"Samantha Collett",54.50,0.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",263347,"SACSAYHUAMAN (AUS) 2007",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",303837,8,8,"Imblaze","8","m",54.00,7,1.15.84,0.38.33,11.80," ","Janenne Dalley","Cambridge",37.60,0.00,650.00,"Richard Oliver",54.00,0.00,68,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit",276923,"BATTLE PAINT (USA) 2004",233155,"PURE TIMING (NZ) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",381300,10,7,"Justaskme","5","g",54.00,5,1.15.04,0.36.92,7.00," ","Allan Sharrock","New Plymouth",7.50,0.00,650.00,"Mereana Hudson",51.00,3.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",232838,"NO EXCUSE NEEDED (GB) 1998",269445,"OFTEN (NZ) 2007",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",331338,11,4,"Beltoy","6","m",54.00,3,1.14.67,0.37.28,4.80," 1 3/4 LEN","Wayne Jeffcoat","Opaki",28.00,6.10,2275.00,"Temyia Taiaroa",51.00,3.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers on",280637,"PER INCANTO (USA) 2004",240469,"GEE BABY (NZ) 2001",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",333297,12,1,"Empress Tzu Hsi","6","m",54.00,8,1.15.91,0.37.74,12.20," ","Josh Shaw","Levin",68.20,0.00,650.00,"Danielle Hirini",54.00,0.00,57,0,0,"Approved Plates, Standard Bit (1st time), Ear Covers on",313325,"POWER (GB) 2009",255870,"RANSOM SUCCESS (AUS) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208040,5,,Flat,1200,"OPN HCP","ZED @ GRANGEWILLIAM STUD 1200",32500.00,14:17:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",317251,13,6,"Destiny One","7","m",54.00,11,1.17.53,0.39.38,21.60," ","Karen Buttimore","Hawera",59.10,0.00,650.00,"Sarah Macnab",53.00,1.00,55,0,0,"Approved Plates, Lugging Bit, Barrier Blanket, Tongue Tie (1st time)",278350,"RED GIANT (USA) 2004",252427,"POETIC MUSIC (NZ) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",362878,3,12,"Super Flash","4","g",58.50,3,1.29.28,0.39.03,2.30," 2 1/4 LEN","Mark Oulaghan","Awapuni",17.40,5.10,1575.00,"Maria Sanson",54.50,4.00,62,0,0,"Approved Plates, Standard Bit",268640,"SUPER EASY (NZ) 2008",248173,"MAREA ALTA (NZ) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",365371,4,8,"Cooga Moon","4","m",57.50,12,1.31.15,0.41.10,13.00," ","Gavin Sharrock","Stratford",4.20,0.00,450.00,"Chelsea Burdan",55.50,2.00,64,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",250249,"EFROSINI (AUS) 1998",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",348260,5,13,"Fast Mover","5","g",57.50,6,1.29.92,0.39.70,5.90," ","Rudy Liefting","Pukekohe Park",22.00,0.00,450.00,"Kozzi Asano",56.50,1.00,60,0,0,"Approved Plates, Lugging Bit",275174,"MOVE FASTER (NZ) 2009",263051,"GENUINE SUSPECT (AUS) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",327708,6,1,"Ruffy Rahtwo","6","g",57.50,5,1.29.80,0.39.67,5.40," ","Tina Egan","Stratford",18.30,0.00,450.00,"Ashvin Mudhoo",53.50,4.00,60,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",243502,"RIOS (NZ) 2004",237391,"KEEPIT RAHTWO (NZ) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",348909,7,11,"Shady Grey","5","g",57.50,13,1.31.45,0.41.58,15.00," ","Anna Clement","Hawera",13.50,0.00,450.00,"Trudy Thornton",57.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Shadow Roll (1st time)",287687,"SHOWCASING (GB) 2007",270109,"BRAIDWOOD (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",362407,8,14,"Meila Rei","5","m",57.00,1,1.28.91,0.38.54,," 1 LEN","Bryce Revell","New Plymouth",9.10,2.60,12150.00,"Johnathan Parkes",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",300392,"ECHOES OF HEAVEN (AUS) 2007",267611,"LEICA DUELL (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",396320,9,7,"Total Sass","4","m",57.00,4,1.29.68,0.39.69,4.60," 3/4 LEN","Debbie Harris","New Plymouth",6.10,0.00,900.00,"Chris Dell",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit (1st time)",304111,"SWEET ORANGE (USA) 2007",254215,"MODEL TO NITE (NZ) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",348395,10,3,"A Little Vague","5","m",56.50,11,1.30.81,0.41.04,11.00," ","Nigel & Hamish Auret","Wanganui",23.90,0.00,450.00,"Sarah Macnab",55.50,1.00,62,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",254557,"OH SO VAGUE (NZ) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",352749,11,5,"Dubai's Moko","4","m",56.50,9,1.30.68,0.40.68,10.40," ","Chrissy Bambry","Foxton",7.30,0.00,450.00,"Sam O'Malley",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers - 1 cup N/S, Tongue Tie",222919,"KEEPER (AUS) 1997",262094,"DUBAI BELLE (NZ) 2007",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",377372,12,6,"Flying Zack","3","g",56.00,7,1.30.04,0.40.41,6.70," ","Nigel & Hamish Auret","Wanganui",17.30,0.00,450.00,"Leah Hemi",56.00,0.00,62,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",294839,"THAT'S MY PUSSYCAT (NZ) 2011",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",353914,13,10,"Hakuna Matata","4","m",56.00,10,1.30.77,0.40.43,10.80," ","Wayne Hillis","Matamata",50.50,0.00,450.00,"Tegan Newman",53.00,3.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",287883,"SHAMOLINE WARRIOR (AUS) 2006",272175,"KATE (NZ) 2009",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",396816,14,2,"A Box Of Tricks (AUS)","3","f",54.50,8,1.30.61,0.40.70,10.00," ","Bryce Newman","Bulls",9.90,0.00,450.00,"Rosie Myers",54.50,0.00,63,0,0,"Approved Plates, Lugging Bit",364136,"AKEED MOFEED (GB) 2009",350772,"PANDORO DE LAGO (IRE) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",338808,15,9,"Remarx","5","g",57.00,14,1.31.70,0.41.88,16.50," ","John Wheeler","New Plymouth",22.20,0.00,450.00,"Samantha Collett",57.00,0.00,59,0,0,"Bar Plates, Lugging Bit, Nose Band (1st time), Tongue Tie",257403,"HE'S REMARKABLE (NZ) 2007",287261,"TRUE SPIRIT (NZ) 2010",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208042,6,,Flat,1400,"Rating 65 Benchmark*","SEATON PARK 1400",22500.00,14:55:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",315153,16,4,"Sky Hi Rahtwo","7","m",54.50,2,1.29.08,0.39.06,1.00," 1 1/4 LEN","Tina Egan","Stratford",22.60,6.00,3375.00,"Faye Lazet",50.50,4.00,58,0,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages, Tongue Tie",243502,"RIOS (NZ) 2004",235008,"ELLE RAHTWO (NZ) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208036,7,Group 3,Flat,1400,"OPN HCP","NZB READY TO RUN SALE TRAINERS SERIES",70000.00,15:31:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",308472,2,12,"Ladies First","8","m",59.00,3,1.28.01,0.38.03,4.00," 1 1/4 LEN","Allan Sharrock","New Plymouth",68.90,13.50,4900.00,"Sam O'Malley",59.00,0.00,96,0,0,"Approved Plates, Lugging Bit, Tongue Tie on",264147,"DYLAN THOMAS (IRE) 2003",211611,"JUST POLITE (AUS) 1999",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208036,7,Group 3,Flat,1400,"OPN HCP","NZB READY TO RUN SALE TRAINERS SERIES",70000.00,15:31:00,"Y",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",10,"Overcast",314696,3,7,"Rosewood","7","m",57.00,6,1.29.13,0.38.31,10.80," ","Marilyn Paewai","Inglewood",31.60,0.00,1400.00,"Darryl Bradley",57.00,0.00,92,0,0,"Approved Plates, Standard Bit, Blinkers",301937,"REDWOOD (GB) 2006",253433,"GLAD EYE (GB) 2003",
