<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",341055,14,5,"Ace Of Spades","5","m",56.50,1,1.56.58,0.39.12,," 3/4 LEN","Carl Henderson","Te Awamutu",53.50,11.70,5400.00,"Chelsea Burdan",54.50,2.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",301937,"REDWOOD (GB) 2006",214963,"CHAMPAGNE HEIGHTS (NZ) 2000",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",353568,16,3,"Run Ziggy Run","4","g",58.50,7,1.58.16,0.39.37,9.30," ","Tracey Bliss","Stratford",27.40,0.00,200.00,"Johnathan Parkes",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",269447,"SEQUEL (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",381057,2,4,"Lucky Viking","5","g",58.50,2,1.20.18,0.36.87,1.80," 1/2 NECK","Nicola Marshall","Wanganui",14.70,4.40,1500.00,"Sam O'Malley",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",277326,"MI DRAGON LADY (NZ) 2009",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",332355,3,5,"Tennessee Rose","6","m",56.50,8,1.22.27,0.39.18,14.00," ","Karen Buttimore","Hawera",9.60,0.00,200.00,"Sarah Macnab",55.50,1.00,53,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",271306,"SAVANNAH RAIN (AUS) 1997",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",365906,4,6,"Marley","4","m",56.50,9,1.22.64,0.39.24,16.40," ","Stephen Ralph","Te Awamutu",3.90,0.00,200.00,"Tegan Newman",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Tongue Tie",285139,"SWISS ACE (AUS) 2004",261031,"LUCY IN DISGUISE (NZ) 2007",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",341399,5,10,"Breath Of Fire","5","m",56.50,6,1.21.83,0.38.98,11.50," ","Anna Clement","Hawera",24.40,0.00,200.00,"Chris Dell",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",258606,"JIMMY CHOUX (NZ) 2007",273125,"SHAHEEN (NZ) 2009",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",359254,6,2,"Love Storm","4","m",56.50,3,1.20.21,0.37.59,2.00," 1/2 NECK","Dean Dravitzki","Stratford",18.60,4.90,700.00,"Mereana Hudson",53.50,3.00,49,0,0,"Approved Plates, Lugging Bit",276923,"BATTLE PAINT (USA) 2004",246994,"MARISOVA (NZ) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",343395,7,9,"Western Girl","5","m",56.50,10,1.23.78,0.40.52,22.90," ","Cody Cole","Matamata",8.30,0.00,200.00,"Rosie Myers",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band (1st time)",255989,"IFFRAAJ (GB) 2001",250864,"EXQUISITE CHOICE (AUS) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",358162,8,7,"Zola Express","4","m",56.50,1,1.19.88,0.36.82,," 1 3/4 LEN","Janelle Millar","New Plymouth",8.80,2.70,5400.00,"Johnathan Parkes",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",269090,"ZOLANA (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",376816,9,1,"Pearl Of Delgatie","3","f",54.00,5,1.20.74,0.38.17,5.20," ","Nigel & Hamish Auret","Wanganui",4.80,0.00,200.00,"Leah Hemi",54.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Nose Band",300491,"MONGOLIAN KHAN (AUS) 2011",254551,"DELGATIE PRINCESS (NZ) 2006",
