<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",234561,1,7,"Richard Beymer","2","g",58.00,2,1.10.79,,0.80," 3/4 LEN","Mark Walker","Matamata",,,1000.00,"Michael Walker",58.00,0.00,71,0,0,"",162289,"VOLKSRAAD (GB) 1988",164356,"WESTSIDE STORY (NZ) 1992",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",233298,2,3,"Hitman","2","g",57.00,1,,,," 3 1/2 LEN","Richard Yuill","Pukekohe Park",,,3125.00,"Grant Cooksley",57.00,0.00,58,0,0,"",219346,"SUMMER SUSPICION (JPN) 1992",211906,"HIT THE TARGET (AUS) 1998",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",235249,3,9,"Stradify","2","c",56.00,9,,,13.80," ","Bruce Wallace","Byerley Park",,,0.00,"Leith Innes",56.00,0.00,55,0,0,"",212688,"STRAVINSKY (USA) 1996",208080,"VALIDIFY (NZ) 1999",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",243870,4,5,"Wiremu (AUS)","2","g",56.00,4,,,9.80," 3/4 LEN","Robert Priscott","Te Awamutu",,,250.00,"Cameron Lammas",56.00,0.00,52,0,0,"",231611,"TWINING (USA) 1991",243871,"DANEQUILLO (AUS) 1994",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",237921,6,4,"Victory Snap","2","g",56.00,8,,,12.10," ","Stephen & Trevor McKee","Ardmore",,,0.00,"Matthew Williamson",56.00,0.00,51,0,0,"",7032,"CENTAINE (AUS) 1980",150132,"SNAP (NZ) 1990",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",233107,7,2,"Benedict","2","g",56.00,3,,,4.30," 5 1/2 LEN","Lance O'Sullivan","Matamata",,,500.00,"Chad Ormsby",54.00,2.00,50,0,0,"",172521,"O'REILLY (NZ) 1993",138957,"FANNY BLACK (NZ) 1989",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",237417,9,6,"Post Thyme","2","f",55.50,6,,,11.10," ","Leanne Bertling","Byerley Park",,,0.00,"Catherine Treymane",55.50,0.00,57,0,0,"",225552,"POSTPONED (USA) 1997",200506,"CARDAMOM (NZ) 1998",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",234133,11,8,"Blink","2","f",54.00,5,,,10.60," 1/2 LEN","Vanessa & Wayne Hillis","Matamata",,,125.00,"Troy Harris",53.00,1.00,50,0,0,"",226132,"BERTOLINI (USA) 1996",185107,"CALM COURAGE (NZ) 1995",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133793,1,,Flat,1200,"2YO","WESTBURY STUD 2YO",5000.00,12:20:00,"N",54.00,"2yo","Open","unrestricted","na","Good",0,"Fine",237416,13,1,"Sheraton","2","f",54.00,7,,,11.70," ","Stephen & Trevor McKee","Ardmore",,,0.00,"Lisa Cropp",54.00,0.00,50,0,0,"",226037,"MINARDI (USA) 1998",190667,"REGENCY (NZ) 1996",
33541,2006-03-22,2,"Avondale","Other","Race","Counties R.C.","COUNTIES @ AVONDALE 22 MAR","Good",0,"Fine","Out 3 Metres",133792,2,,Flat,1200,"MDN","WATERFORD FARM 1200",5000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",220732,1,10,"Baileys Comet","4","g",57.00,2,,,2.00," 1/2 LEN","Richard Yuill","Pukekohe Park",,,1000.00,"Grant Cooksley",57.00,0.00,58,0,0,"",186288,"MASTERPIECE (AUS) 1991",145766,"GOLDEN COMEDY (NZ) 1990",
