<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",344918,1,12,"Vineyard McPhee","5","g",58.50,2,2.12.58,0.35.77,1.30," 1/2 LEN","Adrian Bull","Hunterville",6.60,2.20,1500.00,"Sarah Macnab",57.50,1.00,53,0,0,"Approved Plates, Lugging Bit, Nose Band",313564,"RELIABLE MAN (GB) 2008",246993,"CHARLOTTE RUSSE (NZ) 2005",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",350989,2,7,"Camping (AUS)","5","g",58.50,5,2.12.87,0.35.90,3.10," 1/2 NECK","Mark Forbes","Cambridge",6.20,0.00,200.00,"Kozzi Asano",57.50,1.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",328811,"CAMELOT (GB) 2009",270786,"PREVENTABLE (AUS) 2006",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",365162,3,6,"Lincoln Town","5","g",58.50,1,2.12.40,0.35.95,," 1 1/4 LEN","Lisa Latta","Awapuni",21.70,6.10,5400.00,"Jonathan Riddell",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",219527,"WHO SAYS (NZ) 2000",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",358973,5,5,"Take That","4","g",58.50,6,2.12.90,0.36.17,3.30," ","Fraser Auret","Marton",13.20,0.00,200.00,"Johnathan Parkes",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",214463,"TAKE THREE (NZ) 2000",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",352570,6,11,"Zeroed (AUS)","5","g",58.50,10,2.13.28,0.36.75,5.70," ","David & Emma Haworth","Foxton",17.90,0.00,200.00,"Sam O'Malley",58.00,0.50,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",338087,"HARBOUR WATCH (IRE) 2009",352571,"ASHWAQ (AUS) 2007",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",309057,8,2,"Argentiere","8","g",58.50,11,2.14.63,0.37.03,14.50," ","Paul Nelson & Corrina McDougal","Hastings",21.30,0.00,200.00,"Trudy Thornton",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie",241392,"NOM DU JEU (NZ) 2004",235856,"LOZEN (NZ) 2003",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",358588,9,4,"Altar Boy","4","g",58.50,3,2.12.68,0.36.71,1.80," 3/4 LEN","Gerald Innes","Opaki",12.70,2.60,700.00,"Lisa Allpress",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Tongue Tie",300453,"ATLANTE (AUS) 2010",269040,"PEW (NZ) 2008",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",353920,11,1,"Amathusia","4","m",56.50,7,2.12.93,0.36.68,3.40," ","Bryce Newman","Bulls",3.30,0.00,200.00,"Ryan Elliot",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",324908,"JAKKALBERRY (IRE) 2006",250536,"TSINGANA (NZ) 2005",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",353357,12,3,"Savezar","4","m",56.50,9,2.13.23,0.36.62,5.40," ","Roger James & Robert Wellwood","Cambridge",7.70,0.00,200.00,"Vinnie Colgan",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",238456,"SAVABEEL (AUS) 2001",296568,"EZRA (NZ) 2011",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",354075,15,9,"Truefalls","4","m",56.50,8,2.13.15,0.36.54,4.90," ","Cody Cole","Matamata",12.80,0.00,200.00,"Samantha Collett",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Barrier Blanket, Nose Band",271956,"SACRED FALLS (NZ) 2009",251595,"SINEAD (NZ) 2006",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",360453,16,10,"Krystal Lass","4","m",56.50,12,2.15.74,0.38.47,21.80," ","Lee Somervell","Hastings",25.80,0.00,200.00,"Leah Hemi",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit",245385,"SUN RULER (AUS) 2005",257488,"TIPPERARY LASS (NZ) 2007",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209374,1,,Flat,2100,"MDN","KEN BROWNE LIVESTOCK 2100",10000.00,13:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",341212,17,8,"Hosel Rocket","5","g",58.50,4,2.12.79,0.36.66,2.60," 1/2 LEN","Michael Moroney & Pam Gerard","Matamata",33.80,0.00,400.00,"Michael McNab",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers on",301937,"REDWOOD (GB) 2006",253067,"MRS PEA (NZ) 2006",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",362053,2,6,"Free Thyme","4","g",58.50,12,1.13.41,0.36.79,6.50," ","Richard McKenzie","Hastings",4.00,0.00,200.00,"Jonathan Riddell",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Nasal Strip",255989,"IFFRAAJ (GB) 2001",257566,"ERBE (NZ) 2007",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",367662,3,5,"Aratai","4","g",58.50,8,1.13.10,0.36.00,4.40," ","Tony Pike","Cambridge",6.40,0.00,200.00,"Michael McNab",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",285139,"SWISS ACE (AUS) 2004",265312,"CONTRADA (NZ) 2008",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",361530,5,14,"Dark Alley","4","g",58.50,1,1.12.44,0.35.14,," 1 1/4 LEN","Guy Lowry & Grant Cullen","Hastings",7.70,2.40,5400.00,"Craig Grylls",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",287503,"QUEEN ALLEY (NZ) 2010",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",365452,6,7,"See The Lion (AUS)","4","g",58.50,5,1.12.98,0.36.16,3.60," 1/2 LEN","Lydia Pickford","Hunterville",46.00,0.00,200.00,"Sam O'Malley",58.00,0.50,47,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time), Nasal Strip, Nose Band",337177,"DREAMSCAPE (AUS) 2005",365453,"BAGGER PRINCESS (AUS) 2006",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",367770,7,1,"Rommel","3","g",57.00,10,1.13.18,0.36.08,4.90," ","John Bary","Hastings",6.20,0.00,200.00,"Ryan Elliot",57.00,0.00,51,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Standard Bit (1st time), Nose Band",337555,"PROISIR (AUS) 2009",241265,"MY GAME (NZ) 2004",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",375190,8,4,"Kuasa Kuda","3","g",57.00,4,1.12.83,0.35.89,2.60," 1 LEN","Patrick Campbell","Hastings",34.60,0.00,400.00,"Danielle Hirini",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit",313325,"POWER (GB) 2009",241666,"LA SINGA (NZ) 2004",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",380964,9,13,"Flickering Shadow (AUS)","4","m",56.50,7,1.13.07,0.36.65,4.20," ","Lisa Latta","Awapuni",14.90,0.00,200.00,"Leah Hemi",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit",345678,"DEEP FIELD (AUS) 2010",258084,"DARK DELILAH (NZ) 2007",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",360790,11,12,"Transitory","4","m",56.50,3,1.12.71,0.35.21,1.80," 3/4 LEN","David & Emma Haworth","Foxton",4.70,1.90,700.00,"Sarah Macnab",55.50,1.00,53,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Standard Bit (1st time)",211629,"PINS (AUS) 1996",255224,"NOW AND FOREVER (NZ) 2006",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",334173,12,9,"Flautino","6","m",56.50,9,1.13.16,0.36.86,4.80," ","Guy Lowry & Grant Cullen","Hastings",17.30,0.00,200.00,"Johnathan Parkes",56.50,0.00,52,0,0,"Barrier Blindfold (1st time), Approved Plates, Standard Bit (1st time), Nose Band",285139,"SWISS ACE (AUS) 2004",277770,"OTTAVINO (AUS) 2001",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",358098,13,8,"Sunlit Lane","4","m",56.50,6,1.13.06,0.36.02,4.10," ","Shane Brown","Woodville",65.00,0.00,200.00,"Ryan Bishop",56.50,0.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",278260,"ROAD TO ROCK (AUS) 2004",191512,"SUNLIT (NZ) 1996",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",360160,14,10,"Here Comes Trouble","4","m",56.50,2,1.12.62,0.35.92,1.30," 1/2 LEN","David Jensen","Foxton",24.30,5.30,1500.00,"Vinnie Colgan",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",248306,"RUMOUR HAS IT NOW (NZ) 2005",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",376579,15,3,"Bo Jackson","3","c",57.00,13,1.13.75,0.36.85,8.80," ","Anne Herbert","Awapuni",27.50,0.00,200.00,"Trudy Thornton",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",300491,"MONGOLIAN KHAN (AUS) 2011",220127,"RAADISI (NZ) 2001",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209377,2,,Flat,1200,"MDN","PGG WRIGHTSON LIVESTOCK/ FARMERS TRANSPORT 1200",10000.00,14:13:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",363501,18,11,"Who's Alice","4","m",56.50,11,1.13.40,0.35.94,6.40," ","Michael Warren","Hastings",58.00,0.00,200.00,"Faye Lazet",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit",326510,"GIANT'S STEPS (ARG) 2009",246947,"CORDOBA (NZ) 2005",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209378,3,,Flat,1200,"MDN 3YOF","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,14:47:00,"N",,"3yo","Maiden","fillies","sw","Dead",4,"Fine",368948,2,11,"Bold Iris","3","f",56.50,3,1.12.52,0.35.44,1.00," 1 LEN","John Bary","Hastings",10.20,2.60,700.00,"Leah Hemi",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Nose Band (1st time)",285563,"THE BOLD ONE (NZ) 2010",280117,"ARIBASAN (NZ) 2010",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209378,3,,Flat,1200,"MDN 3YOF","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,14:47:00,"N",,"3yo","Maiden","fillies","sw","Dead",4,"Fine",376149,3,5,"Victorem","3","f",56.50,4,1.12.66,0.35.50,2.00," HEAD","Anne Herbert","Awapuni",5.70,0.00,400.00,"Trudy Thornton",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Nose Band",344019,"SHOOTING TO WIN (AUS) 2011",338470,"GYMNAST (AUS) 2011",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209378,3,,Flat,1200,"MDN 3YOF","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,14:47:00,"N",,"3yo","Maiden","fillies","sw","Dead",4,"Fine",376570,4,2,"Black Queen","3","f",56.50,2,1.12.48,0.35.24,0.80," SHORT NECK","Clayton Chipperfield","Te Awamutu",5.50,2.30,1500.00,"Vinnie Colgan",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit",300491,"MONGOLIAN KHAN (AUS) 2011",276283,"MEIR (NZ) 2009",
49616,2020-12-09,4,"Hastings","Industry","Race","Hawke's Bay RI","HAWKE'S BAY RI 9 DEC","Dead",4,"Fine","Out 6m",209378,3,,Flat,1200,"MDN 3YOF","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,14:47:00,"N",,"3yo","Maiden","fillies","sw","Dead",4,"Fine",372281,5,7,"Cathro","3","f",56.50,14,1.13.91,0.36.47,10.20," ","Stephen Marsh","Cambridge",4.20,0.00,200.00,"Danielle Johnson",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",245998,"SINALOT (NZ) 2005",
