<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",361663,2,8,"Are There","4","g",58.50,7,1.28.21,0.36.02,7.90," ","Bruce Tapper","Timaru",23.10,0.00,200.00,"Racha Cuneen",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",338027,"GHIBELLINES (AUS) 2011",270189,"DEHERE AND THERE (AUS) 2007",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",359557,3,5,"Mont Granier","4","g",58.50,5,1.27.86,0.36.10,5.40," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",7.60,0.00,200.00,"Kavish Chowdhoory",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit",271956,"SACRED FALLS (NZ) 2009",337722,"LANDSLIDE (USA) 2011",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",357202,4,1,"On The Rivet","4","g",58.50,4,1.27.37,0.36.06,2.10," 3 1/4 LEN","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",22.40,0.00,400.00,"Terry Moseley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",304111,"SWEET ORANGE (USA) 2007",208045,"SAVANNAH SWIFT (NZ) 1999",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",372248,5,7,"Kudos de Sothys","3","g",57.00,9,1.28.92,0.36.99,12.70," ","Kevin & Pam Hughes","Riccarton Park",9.40,0.00,200.00,"Sanu Toolooa",54.00,3.00,47,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",238068,"SECRET HALO (NZ) 2003",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",358611,7,4,"Clubcard","4","m",56.50,2,1.27.12,0.36.02,0.40," LONG NECK","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",7.80,2.00,1500.00,"Samantha Wynne",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",300223,"ZACINTO (GB) 2006",222089,"VIVIANE (NZ) 2001",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",361664,8,3,"Float","4","m",56.50,3,1.27.18,0.35.61,0.80," 1 1/4 LEN","John & Karen Parsons","Balcairn",22.20,5.30,700.00,"Tina Comignaghi",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Ear Covers",338027,"GHIBELLINES (AUS) 2011",284649,"DEINIRA (NZ) 2010",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",364596,9,9,"Maidinthemist","4","m",56.50,6,1.28.15,0.36.06,7.40," ","Jackie Burrows","Rolleston",42.30,0.00,200.00,"Meghann Gestain",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",241178,"ZIPA (NZ) 2004",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",362622,11,6,"Tropic Thunder","4","m",56.50,8,1.28.58,0.36.78,10.40," ","Paul Harris","Rangiora",42.80,0.00,200.00,"Courtney Barnes",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",250799,"STRATUM (AUS) 2002",351596,"SCHIFFER (AUS) 2008",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",380860,1,10,"My Sova","4","g",59.00,6,1.26.27,0.36.60,5.50," ","John & Karen Parsons","Balcairn",15.00,0.00,200.00,"Tina Comignaghi",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",313563,"HIGHLY RECOMMENDED (AUS) 2008",287417,"HAVASOVA (NZ) 2010",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",310109,2,11,"Selfie","8","g",59.00,8,1.26.37,0.36.97,6.30," ","Sharon Robertson","Riccarton Park",24.30,0.00,200.00,"Terry Moseley",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Shadow Roll, Tongue Tie",278342,"THEWAYYOUARE (USA) 2005",238011,"MISS BROWNIE (AUS) 2001",
