<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",312723,11,9,"Deep Blue","8","g",56.50,7,2.13.07,0.36.63,2.80," ","Gene Andrew","Awapuni",31.30,0.00,200.00,"Darryl Bradley",56.50,0.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Barrier Blanket",245781,"SUFFICIENT (NZ) 2005",235851,"CRACK A DAWN (NZ) 2003",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",384060,12,10,"Young Squire","5","g",56.50,15,2.15.20,0.37.47,16.80," ","Deborah Parry","Awapuni",82.60,0.00,0.00,"Faye Lazet",52.50,4.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",245002,"TRADLEIA (NZ) 2005",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",349142,13,6,"Carpe Diem","5","g",56.00,12,2.13.69,0.36.86,7.00," ","Brendon McDermott","Waitarere Beach",10.90,0.00,200.00,"Ashvin Mudhoo",52.00,4.00,54,0,0,"Approved Plates, Standard Bit",258606,"JIMMY CHOUX (NZ) 2007",269607,"FASHION SOCIETY (AUS) 2002",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",345231,14,15,"Capelyn","5","m",54.50,10,2.13.37,0.37.23,4.80," ","Trudy Keegan","Stratford",35.30,0.00,200.00,"Bridie Ansell",51.50,3.00,55,0,0,"Approved Plates, Lugging Bit",301053,"CAPE BLANCO (IRE) 2007",269165,"CATCH YOUR IDOL (NZ) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",290345,15,1,"Bear Gryls","9","g",54.00,9,2.13.34,0.36.00,4.60," ","Barry Coxhead","Hawera",29.00,0.00,200.00,"Joe Kamaruddin",50.00,4.00,50,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit, Bandages",256540,"CECCONI (AUS) 2004",244163,"SAINT LUCY (AUS) 2000",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",307463,1,13,"Carnaby","8","g",59.00,16,2.14.20,0.38.57,21.20," ","Kevin Myers","Wanganui",69.30,0.00,0.00,"Sam O'Malley",58.50,0.50,63,50,0,"Approved Plates, Lugging Bit, Blinkers",213341,"DANROAD (AUS) 1999",218945,"VERY ENGLISH (NZ) 2000",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",335223,2,6,"Ha'penny Bridge","6","g",59.00,8,2.12.06,0.35.98,7.60," ","Ashley Meadows","Awapuni",6.80,0.00,550.00,"Sarah Macnab",58.00,1.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",241870,"HA'PENNY (NZ) 2004",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",361677,3,3,"No Compromise","4","g",59.00,1,2.10.87,0.35.53,," 1/2 NECK","Bill Thurlow","Waverley",5.00,2.10,14850.00,"Lisa Allpress",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",211629,"PINS (AUS) 1996",325978,"BAGGY GREEN (AUS) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",330045,4,15,"Whatsup","6","g",59.00,9,2.12.22,0.35.60,8.60," ","Kevin Gray","Copper Belt Lodge, Palmerston North",20.30,0.00,550.00,"Matthew Cameron",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",221474,"TRUE BELT (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",363719,5,4,"Peerless Warrior (AUS)","4","g",58.50,15,2.12.80,0.36.73,12.20," ","Ralph Manning","Cambridge",27.40,0.00,0.00,"Leah Hemi",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",283272,"RUTHLESS LADY (NZ) 2010",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",315000,6,2,"The Rippa","7","g",58.50,3,2.11.47,0.35.77,3.70," 3/4 LEN","Lisa Latta","Awapuni",16.00,4.00,1925.00,"Jonathan Riddell",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",287683,"RIP VAN WINKLE (IRE) 2006",226602,"AUTHENTIC CROSS (NZ) 2002",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",349797,7,1,"Thomas Aquinas","5","g",58.50,4,2.11.61,0.36.42,4.50," 1 3/4 LEN","Trudy Keegan","Stratford",27.50,0.00,1100.00,"Ashvin Mudhoo",54.50,4.00,62,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",248458,"TRUE STAR (NZ) 2005",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",337406,8,9,"Deuce Coupe","6","m",58.00,13,2.12.78,0.36.48,12.00," ","Suzy Gordon","Foxton",10.30,0.00,550.00,"Troy Harris",58.00,0.00,65,0,0,"Approved Plates, Lugging Bit, Ear Covers",230462,"DARCI BRAHMA (NZ) 2002",260634,"MYBACK (NZ) 2007",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",358162,9,14,"Zola Express","4","m",58.00,7,2.11.99,0.35.50,7.20," ","Janelle Millar","New Plymouth",3.10,0.00,550.00,"Johnathan Parkes",58.00,0.00,65,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",269090,"ZOLANA (NZ) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",317128,10,5,"Mataro","7","g",57.50,10,2.12.43,0.36.52,9.90," ","Kevin Myers","Wanganui",56.20,0.00,550.00,"Ryan Elliot",57.50,0.00,60,0,0,"Approved Plates, Standard Bit, Blinkers",278260,"ROAD TO ROCK (AUS) 2004",195399,"OUR SHIRAZ (NZ) 1997",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",303008,11,12,"Razors Edge","8","g",57.50,11,2.12.57,0.37.19,10.70," ","Tony Dravitzki","Stratford",53.90,0.00,550.00,"Bridie Ansell",54.50,3.00,60,0,0,"Approved Plates, Lugging Bit",277609,"RAISE THE FLAG (GB) 2005",204368,"IT'S MY TIME (AUS) 1997",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",343122,12,10,"Ekstrememiss","5","m",57.00,14,2.12.78,0.35.84,12.10," ","Bryce Revell","New Plymouth",36.10,0.00,550.00,"Shaun McKay",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Tongue Tie",301053,"CAPE BLANCO (IRE) 2007",246961,"EKSTREME (NZ) 2005",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",338072,13,11,"Cast In Bronze","6","m",56.00,6,2.11.98,0.35.48,7.10," ","Gary Vile","Awapuni",25.30,0.00,550.00,"Chris Johnson",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",250272,"CASTLEDALE (IRE) 2001",266591,"FOREST BRONZE (AUS) 1994",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",330585,14,7,"Hinepara","6","m",56.00,2,2.10.91,0.35.45,0.20," 3 1/2 LEN","Josh Shaw","Levin",19.20,5.20,4125.00,"Darryl Bradley",56.00,0.00,61,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers",230462,"DARCI BRAHMA (NZ) 2002",235396,"HARINUI (NZ) 2003",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",329532,15,8,"Run Lee","6","m",56.00,5,2.11.86,0.35.59,6.30," 3/4 LEN","David & Emma Haworth","Foxton",18.30,0.00,550.00,"Hazel Schofer",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",264625,"ROCK 'N' POP (AUS) 2008",211685,"QWIKCHIK (NZ) 1999",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209330,5,,Flat,2100,"Rating 65 Benchmark*","THE PAVEMASTERS LTD 2100",27500.00,14:30:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",329898,16,16,"Vazza's Gift","6","m",56.00,12,2.12.70,0.36.36,11.50," ","Trudy Keegan","Stratford",58.00,0.00,550.00,"Temyia Taiaroa",53.00,3.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",242640,"ROC DE CAMBES (NZ) 2004",274325,"DELTA ROSE (NZ) 2009",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",339188,1,2,"Handfull","7","g",59.00,9,1.37.44,0.36.67,9.60," ","Shane Brown","Woodville",15.50,0.00,550.00,"Ryan Elliot",59.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Side Winkers",248728,"FULLY FLEDGED (NZ) 2005",209187,"TABITHA (NZ) 1999",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",335767,2,3,"Skarloey","6","g",59.00,5,1.36.66,0.35.55,4.40," 1 LEN","Colin Cromarty","Waverley",6.50,0.00,550.00,"Jonathan Riddell",59.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",280637,"PER INCANTO (USA) 2004",243744,"CACHETTE (NZ) 2004",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",343045,3,4,"That's Incranibull","5","g",58.50,8,1.36.87,0.35.58,5.80," ","Emma Davies","New Plymouth",8.30,0.00,550.00,"Hazel Schofer",56.50,2.00,71,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",301053,"CAPE BLANCO (IRE) 2007",264918,"POLYANTHA (AUS) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",326914,4,12,"Big Ben","8","g",57.50,11,1.38.16,0.36.91,14.10," ","Olivia Duffy","Hawera",35.10,0.00,550.00,"Chris Johnson",57.50,0.00,69,0,0,"Approved Plates, Lugging Bit, Tongue Tie",244452,"HANDSOME RANSOM (AUS) 2000",220748,"EXCERPTS (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",346872,5,7,"Initiative","5","m",56.50,1,1.35.99,0.34.41,," HEAD","Ross McCarroll","Cambridge",10.10,3.10,14850.00,"Matthew Cameron",56.50,0.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket (1st time), Tongue Tie",313564,"RELIABLE MAN (GB) 2008",265980,"INNOVATION (NZ) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",336051,6,9,"Marietta Lane","6","m",56.50,4,1.36.59,0.35.97,4.00," LONG NECK","Fraser Auret","Marton",6.00,0.00,1100.00,"Johnathan Parkes",56.50,0.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers",226925,"ZED (NZ) 2002",227767,"CRICHELE (NZ) 2002",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",333377,7,6,"Lincoln Star","6","g",56.50,2,1.36.02,0.35.15,0.20," 1/2 LEN","Lisa Latta","Awapuni",13.60,3.40,4125.00,"Ashvin Goindasamy",55.50,1.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers, Barrier Blanket",238456,"SAVABEEL (AUS) 2001",257863,"DATING (NZ) 2007",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",344405,8,10,"Sagunto","5","g",56.50,3,1.36.10,0.35.56,0.70," 3 1/4 LEN","Peter McKay","Matamata",17.60,4.80,1925.00,"Joe Kamaruddin",52.50,4.00,67,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",172521,"O'REILLY (NZ) 1993",252875,"QUEEN SABEEL (NZ) 2006",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",335841,9,5,"Bridal Veil","6","m",55.50,10,1.37.68,0.36.43,11.10," ","Jaimee-Lee Lupton","Waverley",19.50,0.00,550.00,"Sarah Macnab",54.50,1.00,69,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Tongue Tie on",313448,"NIAGARA (AUS) 2008",240866,"EYE ME UP (AUS) 2003",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",344370,10,8,"Flying Meg","5","m",55.50,6,1.36.80,0.35.87,5.40," ","Trudy Keegan","Stratford",24.30,0.00,550.00,"Ashvin Mudhoo",51.50,4.00,69,0,0,"Approved Plates, Lugging Bit, Side Winkers",265282,"OCEAN PARK (NZ) 2008",271222,"MEGAN'S TOUGH LOVE (USA) 2006",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",357856,11,1,"Aquila Star","4","m",55.00,7,1.36.84,0.35.75,5.60," ","Jaimee-Lee Lupton","Waverley",3.70,0.00,550.00,"Leah Hemi",55.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Side Winkers",230462,"DARCI BRAHMA (NZ) 2002",243959,"STAR OF FLIGHT (AUS) 1999",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209328,6,,Flat,1600,"Rating 74 Benchmark","RICH HILL STUD 1600",27500.00,15:05:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",340181,12,11,"Happy Tav","5","m",54.50,12,1.43.71,0.42.88,49.90," ","Kevin Gray","Copper Belt Lodge, Palmerston North",14.50,0.00,550.00,"Lisa Allpress",54.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",257208,"A'GUIN ACE (NZ) 2007",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",208563,7,Group 2,Flat,1400,"WFA","KEVIN PRATT MEMORIAL MANAWATU CHALLENGE STAKES",100000.00,15:40:00,"Y",,"Unrestricted","Open","unrestricted","wfa","Dead",4,"Fine",358591,1,8,"Callsign Mav","4","g",59.00,2,1.24.22,0.34.31,1.50," 1 1/2 LEN","John Bary","Hastings",3.50,1.40,15000.00,"Jonathan Riddell",59.00,0.00,103,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Nose Band on",300453,"ATLANTE (AUS) 2010",220127,"RAADISI (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",208563,7,Group 2,Flat,1400,"WFA","KEVIN PRATT MEMORIAL MANAWATU CHALLENGE STAKES",100000.00,15:40:00,"Y",,"Unrestricted","Open","unrestricted","wfa","Dead",4,"Fine",353482,2,3,"Tavi Mac","5","g",59.00,1,1.24.02,0.33.78,," 1 1/2 LEN","Allan Sharrock","New Plymouth",2.00,1.20,54000.00,"Troy Harris",59.00,0.00,102,0,0,"Approved Plates, Lugging Bit, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",207257,"BELLAROOF (NZ) 1999",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",208563,7,Group 2,Flat,1400,"WFA","KEVIN PRATT MEMORIAL MANAWATU CHALLENGE STAKES",100000.00,15:40:00,"Y",,"Unrestricted","Open","unrestricted","wfa","Dead",4,"Fine",302368,3,7,"Amarula","8","g",59.00,7,1.24.77,0.34.78,5.20," ","Peter McKay","Matamata",38.70,0.00,2000.00,"Shaun McKay",59.00,0.00,93,0,0,"Approved Plates, Lugging Bit, Blinkers",238003,"THORN PARK (AUS) 1999",235070,"SHORTBLACKMINI (NZ) 2003",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",208563,7,Group 2,Flat,1400,"WFA","KEVIN PRATT MEMORIAL MANAWATU CHALLENGE STAKES",100000.00,15:40:00,"Y",,"Unrestricted","Open","unrestricted","wfa","Dead",4,"Fine",345612,4,1,"Tavis Court","5","g",59.00,8,1.25.30,0.35.62,8.70," ","Anna Clement","Hawera",42.20,0.00,2000.00,"Hazel Schofer",59.00,0.00,80,0,0,"Approved Plates, Bar Plates (Front), Lugging Bit, Blinkers (1st time), Tongue Tie on",248656,"TAVISTOCK (NZ) 2005",267841,"KEEP HER FREE (NZ) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",208563,7,Group 2,Flat,1400,"WFA","KEVIN PRATT MEMORIAL MANAWATU CHALLENGE STAKES",100000.00,15:40:00,"Y",,"Unrestricted","Open","unrestricted","wfa","Dead",4,"Fine",343153,5,4,"Credit Manager","5","g",59.00,6,1.24.59,0.34.03,3.90," ","Kevin Gray","Copper Belt Lodge, Palmerston North",20.90,0.00,2000.00,"Matthew Cameron",59.00,0.00,77,0,0,"Approved Plates, Lugging Bit, Blinkers",211629,"PINS (AUS) 1996",239632,"HEINEKEN LASS (NZ) 2004",
