<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",327191,3,6,"Go James","6","g",58.00,2,1.11.42,0.35.05,1.30," NOSE","Kevin Gray","Copper Belt Lodge, Palmerston North",8.20,2.50,4125.00,"Lisa Allpress",58.00,0.00,70,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",226925,"ZED (NZ) 2002",227107,"SUZY HARRIS (NZ) 2002",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",344809,4,4,"Kapinos","5","g",57.50,3,1.11.43,0.35.86,1.40," 1 1/4 LEN","Roydon Bergerson","Awapuni",3.00,0.00,1925.00,"Hazel Schofer",56.00,1.50,69,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band",238456,"SAVABEEL (AUS) 2001",260400,"KARLA BRUNI (NZ) 2007",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",364380,5,7,"Lincoln Falls (AUS)","5","g",57.50,1,1.11.25,0.34.80,," 1 1/4 LEN","Lisa Latta","Awapuni",9.40,3.50,14850.00,"Jonathan Riddell",57.50,0.00,69,0,0,"Approved Plates, Lugging Bit",277059,"DUNDEEL (NZ) 2009",243811,"CAUSEWAY QUEEN (AUS) 2004",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",342941,6,3,"Desert Magic","5","g",57.00,6,1.11.82,0.36.09,3.90," ","Mike Breslin","Awapuni",21.00,0.00,550.00,"Danielle Hirini",57.00,0.00,68,0,0,"Ear Covers Pre-Race, Approved Plates, Tongue Control Bit",280637,"PER INCANTO (USA) 2004",245518,"SAHARA (NZ) 2005",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",345952,7,2,"Fiano","5","m",54.50,4,1.11.62,0.35.05,2.70," LONG NECK","Sylvia Kay","Levin",9.60,0.00,1100.00,"Ashvin Mudhoo",50.50,4.00,67,0,0,"Ear Covers Pre-Race, Approved Plates, Hoof Pads (Hind) (1st time), Standard Bit",280637,"PER INCANTO (USA) 2004",195399,"OUR SHIRAZ (NZ) 1997",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",397221,1,6,"Dragon Biscuit (AUS)","2","g",57.00,3,1.05.93,0.34.74,0.30," SHORT HEAD","Michael Moroney & Pam Gerard","Matamata",6.50,2.00,1575.00,"Shaun McKay",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Nose Band",238385,"CHOISIR (AUS) 1999",397222,"DAWNING LIGHT (FR) 2013",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",392243,2,3,"Nest Egg","2","c",57.00,4,1.05.96,0.34.43,0.40," 2 LEN","Roydon Bergerson","Awapuni",28.60,0.00,900.00,"Jonathan Riddell",57.00,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",257077,"RUN TO THE BANK (NZ) 2007",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",397537,3,10,"On The Bubbles (AUS)","2","g",57.00,1,1.05.87,0.35.03,," 1/2 NECK","Jamie Richards","Matamata",5.10,2.00,12150.00,"Johnathan Parkes",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",351093,"BRAZEN BEAU (AUS) 2011",397538,"MORE BUBBLES (AUS) 2013",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",390396,4,4,"Reign It In","2","c",57.00,10,1.17.00,0.45.19,71.60," ","Roydon Bergerson","Awapuni",10.90,0.00,450.00,"Ryan Elliot",57.00,0.00,45,0,0,"Barrier Blindfold, Ear Covers Pre-Race, Approved Plates, Lugging Bit",271956,"SACRED FALLS (NZ) 2009",281226,"LAURINEL PRINCESS (AUS) 2004",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",398783,5,1,"Brazen Blue (AUS)","2","f",55.00,2,1.05.91,0.34.90,0.20," SHORT HEAD","Lisa Latta","Awapuni",6.60,2.00,3375.00,"Darryl Bradley",55.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",351093,"BRAZEN BEAU (AUS) 2011",398784,"VEUVELICIOUS (AUS) 2011",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",389241,6,7,"Cats In The Cradle","2","f",55.00,7,1.06.95,0.35.52,6.70," ","Johno Benner & Hollie Wynyard","Otaki",6.20,0.00,450.00,"Lisa Allpress",55.00,0.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band, Tongue Tie",287687,"SHOWCASING (GB) 2007",282557,"BRAH SPRING (NZ) 2010",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",408985,7,9,"Helluvah Return","2","f",55.00,5,1.06.27,0.34.96,2.40," 3 LEN","Gary Vile","Awapuni",13.70,0.00,450.00,"Sarah Macnab",54.00,1.00,47,0,0,"Approved Plates, Lugging Bit",290223,"TURN ME LOOSE (NZ) 2011",249105,"HELL YEAH (NZ) 2005",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",394609,8,2,"Martina Diva","2","f",55.00,8,1.07.06,0.35.73,7.50," ","Allen Baker","Levin",33.80,0.00,450.00,"Ashvin Mudhoo",51.00,4.00,46,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",338130,"GIBRALTAR DIVA (AUS) 2004",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",383341,9,5,"Barri Hyde","2","f",55.00,9,1.07.73,0.35.94,11.80," ","Aaron Bidlake","Opaki",20.90,0.00,450.00,"Chris Johnson",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",261187,"BARANSKI (NZ) 2007",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209337,3,,Flat,1100,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 2YO",22500.00,13:22:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Fine",385555,11,8,"Savasilk","2","f",55.00,6,1.06.74,0.35.11,5.40," ","Jamie Richards","Matamata",4.00,0.00,450.00,"Matthew Cameron",55.00,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers",238456,"SAVABEEL (AUS) 2001",272823,"SILK PINS (NZ) 2009",
