<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",316227,9,6,"Voler Pour Moi","7","m",56.50,9,2.12.42,0.35.49,7.90," ","Lance O'Sullivan & Andrew Scott","Matamata",8.10,0.00,650.00,"Taiki Yanagida",55.50,1.00,82,0,0,"Approved Plates, Lugging Bit",300680,"POUR MOI (IRE) 2008",242687,"TIN GOOSE (NZ) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",319245,10,2,"Felaar","7","g",56.50,4,2.12.08,0.34.98,5.30," 1/2 HEAD","Stephen Marsh","Cambridge",12.60,0.00,1300.00,"Michael McNab",56.50,0.00,78,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers on, Nasal Strip",238720,"EKRAAR (USA) 1997",234790,"FELT THAT (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",337331,12,1,"Lady Shabeel","7","m",54.00,3,2.11.75,0.34.85,3.00," 2 1/4 LEN","Iain Kennedy","Rotorua",28.20,6.40,2275.00,"Brandon May",54.00,0.00,76,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band (1st time), Tongue Tie",216831,"HOWBADDOUWANTIT (USA) 1995",262129,"NO TOLERANCE (NZ) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",306831,14,8,"Divine Duke","8","g",54.00,5,2.12.08,0.34.86,5.40," 1 1/2 LEN","Lance O'Sullivan & Andrew Scott","Matamata",19.90,0.00,650.00,"Darren Danis",52.00,2.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",244648,"BACHELOR DUKE (USA) 2001",222411,"AVE MAREE (NZ) 2001",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",372835,1,7,"Taroni","3","f",56.50,8,1.23.41,0.34.30,4.10," ","Lance Noble","Karaka",9.90,0.00,1400.00,"Leith Innes",56.50,0.00,75,0,0,"Approved Plates, Lugging Bit, Side Winkers on",287687,"SHOWCASING (GB) 2007",248640,"ALAGANT SATIN (NZ) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",378732,2,6,"De La Terre","3","f",56.50,1,1.22.29,0.34.40,," NOSE","Team Rogerson","Tuhikaramea",19.60,4.50,37800.00,"Ryan Elliot",56.50,0.00,74,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",313564,"RELIABLE MAN (GB) 2008",300859,"VEVA GIRL (AUS) 2008",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",380177,3,4,"Bonita Aurelia","3","f",56.50,11,1.24.17,0.35.38,8.80," ","Murray Baker & Andrew Forsman","Cambridge",62.20,0.00,1400.00,"Lynsey Satherley",56.50,0.00,72,0,0,"Barrier Blindfold, Approved Plates, Lugging Bit, Blinkers (1st time)",350344,"SWEYNESSE (AUS) 2011",276713,"CASSIE MAY (NZ) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",367090,4,5,"Kelly Renee","3","f",56.50,4,1.23.05,0.34.58,1.80," LONG NECK","Stephen Autridge & Kris Shailer","Matamata",14.90,0.00,2800.00,"Johnathan Parkes",56.50,0.00,71,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Tongue Tie",291339,"VESPA (NZ) 2011",262032,"SISTER CELESTE (AUS) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",368264,5,11,"Sweet Anna","3","f",56.50,6,1.23.19,0.33.96,2.70," ","Murray Baker & Andrew Forsman","Cambridge",8.80,0.00,1400.00,"Matthew Cameron",56.50,0.00,70,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",247114,"SARA ANN (NZ) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",371947,6,8,"Atishu","3","f",56.50,9,1.23.45,0.34.42,4.30," ","Stephen Marsh","Cambridge",5.70,0.00,1400.00,"Danielle Johnson",56.50,0.00,69,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",271998,"POSY (NZ) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",382792,7,1,"Babylon Berlin (AUS)","3","f",56.50,5,1.23.11,0.34.44,2.20," 1/2 LEN","Ben Foote","Cambridge",3.30,0.00,1400.00,"Samantha Collett",56.50,0.00,69,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",325398,"ALL TOO HARD (AUS) 2009",231257,"YOU CAN'T SAY THAT (AUS) 2002",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",378374,9,3,"Tokorangi","3","f",56.50,3,1.23.01,0.33.98,1.60," LONG HEAD","Michael Moroney & Pam Gerard","Matamata",5.70,2.00,4900.00,"Michael McNab",56.50,0.00,65,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",265457,"AGENT ZIVA (NZ) 2008",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",378338,10,10,"Escudo","3","f",56.50,10,1.23.53,0.34.60,4.80," ","Lance O'Sullivan & Andrew Scott","Matamata",26.20,0.00,1400.00,"Taiki Yanagida",56.50,0.00,63,0,0,"Approved Plates, Lugging Bit",287992,"EL ROCA (AUS) 2010",313267,"GOULD (AUS) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",372839,12,2,"Kahma Lass","3","f",56.50,2,1.22.80,0.33.91,0.10," 1 1/2 LEN","Jamie Richards","Matamata",7.90,2.40,10500.00,"Troy Harris",56.50,0.00,63,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit, Visor Blinkers",230462,"DARCI BRAHMA (NZ) 2002",287513,"DISTINCTIVE LASS (AUS) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208522,5,Group 3,Flat,1400,"3YOF SW","WAIKATO STUD SOLILOQUY STAKES",70000.00,14:59:00,"Y",,"3yo","Open","fillies","sw","Good",3,"Overcast",368353,14,9,"Dragon Queen","3","f",56.50,7,1.23.23,0.34.64,3.00," ","Michael Moroney & Pam Gerard","Matamata",43.10,0.00,1400.00,"Sam Weatherley",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Nose Band (1st time)",350344,"SWEYNESSE (AUS) 2011",291116,"HAPPY ENDINGS (NZ) 2011",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",325932,1,1,"Bruegel (AUS)","8","g",60.50,6,1.10.05,0.34.65,3.70," ","Nigel Tiley","Pukekohe",61.20,0.00,550.00,"Callum Jones",57.50,3.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket, Nose Band",269290,"EXCELLENT ART (GB) 2004",242312,"FRAISE (NZ) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",361013,4,3,"Festivity","4","m",57.50,2,1.09.54,0.34.26,0.10," LONG HEAD","Jamie Richards","Matamata",2.20,1.40,4125.00,"Danielle Johnson",57.50,0.00,73,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit, Visor Blinkers, Tongue Tie",289528,"I AM INVINCIBLE (AUS) 2004",352115,"MABSAM (AUS) 2008",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",348197,5,6,"Pinultimate","5","m",57.00,3,1.09.59,0.33.91,0.30," 2 1/4 LEN","Jamie Richards","Matamata",4.60,1.50,1925.00,"Troy Harris",57.00,0.00,72,0,0,"Barrier Blindfold, Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Tongue Tie",211629,"PINS (AUS) 1996",253993,"LOST IN DUBAI (NZ) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",357529,7,7,"Ripped","4","g",56.50,7,1.10.06,0.34.10,3.80," ","Richard Collett","Pukekohe Park",8.80,0.00,550.00,"Andrew Calder",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",253051,"SHE'S GOT SPUNK (NZ) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",368406,8,8,"Victory Glory (AUS)","4","g",56.50,5,1.10.00,0.34.24,3.40," NECK","Chris Wood","Cambridge",38.60,0.00,550.00,"Darren Danis",54.50,2.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",350474,"WANDJINA (AUS) 2011",368407,"CARRY ON BEAUTY (AUS) 2008",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",367467,10,4,"Madam Hass","4","m",55.50,1,1.09.54,0.34.38,," NOSE","Roger James & Robert Wellwood","Cambridge",10.90,2.40,14850.00,"Sam Weatherley",55.50,0.00,69,0,0,"Approved Plates, Norton Bit, Ear Covers",280637,"PER INCANTO (USA) 2004",269226,"ELUSIVE RED (NZ) 2008",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",352358,11,9,"Miss Scandinavia (AUS)","6","m",55.00,10,1.10.54,0.34.06,6.80," ","Jamie Richards","Matamata",41.20,0.00,550.00,"Joe Kamaruddin",51.00,4.00,68,0,0,"Approved Plates, Lugging Bit, In Foal, Blinkers, Nasal Strip, Nose Band, Tongue Tie",302053,"SMART MISSILE (AUS) 2008",352359,"MISS HELSINKI (AUS) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",398612,12,2,"Still Single (AUS)","4","m",55.00,4,1.09.87,0.34.35,2.60," 3/4 LEN","Lance Noble","Karaka",9.40,0.00,1100.00,"Leith Innes",55.00,0.00,68,0,0,"Approved Plates (1st time), Lugging Bit (1st time)",219877,"MORE THAN READY (USA) 1997",272248,"SINGLE STYLE (NZ) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",352957,13,13,"It's Doable (AUS)","5","m",54.50,8,1.10.22,0.34.14,4.70," ","Keith Hawtin","Te Awamutu",75.90,0.00,550.00,"Taiki Yanagida",54.00,0.50,67,0,0,"Approved Plates, Lugging Bit, Side Winkers",302513,"ZOFFANY (IRE) 2008",255091,"STAR OF BROADWAY (AUS) 1999",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",349999,14,12,"Petrachor","5","m",54.50,11,1.10.96,0.35.55,9.40," ","Michael Moroney & Pam Gerard","Matamata",34.20,0.00,550.00,"Samantha Collett",54.50,0.00,67,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",270992,"MOTHER (AUS) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",351129,15,10,"Manrico","5","g",56.00,9,1.10.22,0.34.58,4.80," ","Stephen Ralph","Te Awamutu",51.70,0.00,550.00,"Tegan Newman",53.00,3.00,66,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",287450,"SHOCKING (AUS) 2005",205539,"FLYING BABE (AUS) 1998",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208731,6,,Flat,1200,"Rating 74 Benchmark","PAK'NSAVE CLARENCE ST 1200",27500.00,15:34:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",352143,16,11,"Sword Of Fire (AUS)","6","g",55.00,12,1.11.06,0.35.18,10.00," ","Lauren Brennan","Cambridge",12.20,0.00,550.00,"Matthew Cameron",55.00,0.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",271315,"SEBRING (AUS) 2005",352144,"PERMISSIVE (AUS) 2002",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",381184,1,2,"Need I Say More (AUS)","3","g",56.50,1,1.22.06,0.34.18,," 2 1/2 LEN","Jamie Richards","Matamata",3.30,1.40,54000.00,"Johnathan Parkes",56.50,0.00,79,0,0,"Ear Covers Pre-Race, Lugging Bit, Blinkers on, Tongue Tie",359485,"NO NAY NEVER (USA) 2011",381185,"BO BARDI (AUS) 2012",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",381729,2,8,"Not An Option (AUS)","3","c",56.50,10,1.28.17,0.39.57,38.80," ","Tony Pike","Cambridge",5.80,0.00,2000.00,"Leith Innes",56.50,0.00,76,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",238766,"NOT A SINGLE DOUBT (AUS) 2001",273954,"CHINTZ (NZ) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",376167,3,5,"Bourbonaire","3","c",56.50,2,1.22.46,0.34.50,2.50," 1 1/2 LEN","Stephen Marsh","Cambridge",9.10,2.00,15000.00,"Danielle Johnson",56.50,0.00,75,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",230462,"DARCI BRAHMA (NZ) 2002",242424,"STAR GUEST (NZ) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",396376,4,1,"Rocket Spade (AUS)","3","c",56.50,4,1.22.95,0.34.63,6.00," 2 1/4 LEN","Lance O'Sullivan & Andrew Scott","Matamata",5.40,0.00,4000.00,"Troy Harris",56.50,0.00,65,0,0,"Approved Plates, Concussion Plates (Front) (1st time), Lugging Bit",244847,"FASTNET ROCK (AUS) 2001",246465,"AFFAIROFTHEHEART (NZ) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",368669,5,9,"All Black Bourbon","3","g",56.50,6,1.23.37,0.34.81,8.80," ","Stephen Marsh","Cambridge",54.40,0.00,2000.00,"Matthew Cameron",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",239776,"AIRFLIGHT (NZ) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",378734,7,7,"Edge Of Wonder","3","g",56.50,7,1.23.40,0.35.00,9.00," ","Team Rogerson","Tuhikaramea",53.00,0.00,2000.00,"Ryan Elliot",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Nose Band",248656,"TAVISTOCK (NZ) 2005",338446,"WONDERWORLD (AUS) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",367091,8,3,"Gee Cee","3","c",56.50,5,1.23.28,0.34.64,8.30," 1/2 LEN","Stephen McKee","Ardmore",22.00,0.00,2000.00,"Michael McNab",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit",271956,"SACRED FALLS (NZ) 2009",229720,"SMITTEN KITTEN (NZ) 2002",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",374205,9,6,"Highland Whisper","3","g",56.50,8,1.23.87,0.35.79,11.90," ","Kevin & Annette Hinton","Te Awamutu",96.50,0.00,2000.00,"Tegan Newman",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit",300491,"MONGOLIAN KHAN (AUS) 2011",246753,"PSALMS (NZ) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",372957,10,4,"Odinpower","3","g",56.50,9,1.24.92,0.36.72,18.50," ","Peter Huxtable","Tauranga",35.80,0.00,2000.00,"Trudy Thornton",56.50,0.00,47,0,0,"Approved Plates, Concussion Plates (Front), Standard Bit",337555,"PROISIR (AUS) 2009",253065,"LAMAZE (NZ) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208521,7,Group 2,Flat,1400,"3YO SW","JAMES AND ANNIE SARTEN MEMORIAL STAKES",100000.00,16:09:00,"Y",,"3yo","Open","unrestricted","sw","Good",3,"Overcast",409371,12,10,"Tinker Mcphee (AUS)","3","f",54.50,3,1.22.68,0.33.92,4.00," 2 LEN","Simon & Katrina Alexander","Matamata",3.20,1.50,7000.00,"Sam Weatherley",54.50,0.00,63,0,0,"Approved Plates, Lugging Bit, Ear Covers, Tongue Tie",353248,"NOSTRADAMUS (AUS) 2011",409372,"FIVE ROCKS (AUS) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208730,8,,Flat,1600,"Rating 74 Benchmark","J F GRYLLS MEMORIAL CLASSIC",27500.00,16:43:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Overcast",303748,1,3,"Tweedledee","8","g",61.00,7,1.35.57,0.36.18,2.80," ","Lance O'Sullivan & Andrew Scott","Matamata",13.20,0.00,550.00,"Mubs Kareem",58.00,3.00,76,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",252094,"SANSTAR (NZ) 2006",
