<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",344845,4,8,"Coventina Bay","5","m",56.50,5,1.21.87,0.33.81,1.20," 2 3/4 LEN","Robbie Patterson","New Plymouth",1.80,0.00,650.00,"Hazel Schofer",55.50,1.00,82,0,0,"Approved Plates, Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",258716,"COVENTINA (NZ) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",332410,5,6,"Monaco","6","g",56.50,1,1.21.69,0.34.51,," 3/4 LEN","Stephen Ralph","Te Awamutu",14.40,3.20,17550.00,"Tegan Newman",53.50,3.00,78,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",251117,"MONARCH (NZ) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",329797,6,3,"Cherry Lane","6","m",55.00,6,1.22.26,0.34.88,4.00," ","Nicholas Bishara","Ardmore Lodge",20.40,0.00,650.00,"Andrew Calder",55.00,0.00,79,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",245566,"STREET LAW (NZ) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",334156,7,10,"Salt Bay","6","m",54.50,3,1.21.84,0.34.18,0.90," SHORT HEAD","Michael Moroney & Pam Gerard","Matamata",44.50,7.60,2275.00,"Matthew Cameron",54.50,0.00,78,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",251352,"MARSH HARBOUR (NZ) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",335244,8,9,"Lady Rudolph","6","m",54.00,7,1.22.29,0.34.47,4.10," ","Robbie Patterson","New Plymouth",7.80,0.00,650.00,"Samantha Collett",54.00,0.00,75,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",195733,"NICOLE'S NINER (USA) 1994",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",333576,9,2,"Vichy","6","m",54.00,4,1.21.86,0.34.36,1.00," HEAD","Graham Richardson & Rogan Norvall","Matamata",12.60,0.00,1300.00,"Darren Danis",52.00,2.00,75,0,0,"Approved Plates, Lugging Bit",301053,"CAPE BLANCO (IRE) 2007",230446,"VERCORS (NZ) 2002",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",318962,12,1,"One Prize One Goal","7","g",54.00,10,1.23.67,0.35.49,18.60," ","Lee Somervell","Hastings",25.90,0.00,650.00,"Trudy Thornton",54.00,0.00,66,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",238720,"EKRAAR (USA) 1997",236949,"SHEEZA KINDA MAGIC (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",333342,13,7,"Felix Faure","6","g",54.00,9,1.22.43,0.36.13,10.90," ","Graeme Lord","Cambridge",81.90,0.00,650.00,"Mubs Kareem",52.50,1.50,56,0,0,"Approved Plates, Lugging Bit, Blinkers on",211629,"PINS (AUS) 1996",235104,"DAWNING (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",364048,1,12,"Coruba Jak","5","g",59.50,2,2.09.11,0.36.05,4.30," 2 1/4 LEN","Amber Sims","Pukekohe Park",6.20,2.00,3375.00,"Andrew Calder",59.50,0.00,64,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",262894,"DIVINE RIO (NZ) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",344438,2,9,"Because","5","g",59.00,7,2.09.88,0.36.76,9.20," ","Ralph Manning","Cambridge",4.40,0.00,450.00,"Danielle Johnson",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",314200,"ROSIE'S CAUSE (AUS) 2006",
