<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",224015,1,3,"Itza Comet","4","g",57.00,3,,,2.80," NOSE","John & Karen Parsons","Balcairn",,,650.00,"Centaine Spittles",53.00,4.00,59,0,0,"",209726,"ISTIDAAD (USA) 1992",125148,"BELMONT STAR (NZ) 1988",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",220872,2,2,"I Nose The Truth","4","g",57.00,10,,,5.90," ","Rebecca Hall","Riverton",,,0.00,"Kalai Selvan",57.00,0.00,58,0,0,"",203462,"FORENSIC EVIDENCE (IRE) 1991",158941,"DON'T BE NOSEY (NZ) 1991",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",224487,3,8,"Moor Park Storm","4","g",57.00,6,,,3.90," ","Sean Bellew","Ascot Park",,,0.00,"Jamie Bullard",57.00,0.00,58,0,0,"",199710,"FELIX THE CAT (USA) 1994",147786,"SHE'S A NORMAN (NZ) 1990",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",220209,4,7,"Atakama","4","g",57.00,4,,,2.90," 1/2 LEN","Sally McKay & Ben Gordon","Ascot Park",,,325.00,"Elin Whittle",55.00,2.00,57,0,0,"",200260,"SANDTRAP (USA) 1993",164953,"PADDY'S DAUGHTER (NZ) 1992",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",225687,5,10,"Jack Dash","4","g",57.00,7,,,4.70," ","Barry Howden","Makarewa",,,0.00,"Daniel Bothamley",57.00,0.00,52,0,0,"",193109,"WOODBOROUGH (USA) 1993",28550,"NONESUCH (NZ) 1983",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",224604,6,11,"The Mindbender","4","g",57.00,9,,,5.10," ","Rebecca Hall","Riverton",,,0.00,"Terry Moseley",57.00,0.00,50,0,0,"",194524,"THE GLADIATOR (NZ) 1997",165838,"PRAWN (NZ) 1992",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",221946,7,1,"Acid","4","m",55.50,2,,,1.50," 1 1/4 LEN","Lydia Pickford","Hunterville",,,1300.00,"Jarrod Todd",54.50,1.00,56,0,0,"",169947,"DANELOVE (NZ) 1993",152934,"ACID TEST (NZ) 1991",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",221191,8,5,"Daniera","4","m",55.50,5,,,3.40," 1/2 LEN","Murray Hamilton","Omakau",,,163.00,"Lisa McGregor",55.50,0.00,50,0,0,"",184718,"DANSKE (NZ) 1995",177924,"MADIERA (NZ) 1994",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",227702,9,6,"Jovick","3","f",55.00,1,1.12.32,,," 1 1/2 LEN","Michael Eade","Riverton",,,4062.00,"Kylie Williams",55.00,0.00,57,0,0,"",194524,"THE GLADIATOR (NZ) 1997",168552,"HOKONUI WHISKY (NZ) 1993",
33451,2006-02-25,6,"Ascot Park","Other","Race","Southland R.C.","GALLOP SOUTH SOUTHLAND RC 25 FEB","Good",0,"Fine","True",133425,1,,Flat,1200,"MDN","NZ STILL SPRING WATER 1200",6500.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",0,"Fine",228993,10,4,"Rich Ruby","3","f",55.00,8,,,4.80," ","Ellis Winsloe","Gore",,,0.00,"Jan Cameron",55.00,0.00,50,0,0,"",14275,"GAIUS (IRE) 1981",1683,"APRICOT WINE (NZ) 1985",
