<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",293511,2,5,"Dr Watson","7","g",59.50,6,2.14.80,0.37.63,8.40," ","Sylvia Kay","Levin",5.70,0.00,0.00,"Robert Hannam",59.50,0.00,89,0,0,"Approved Plates, Standard Bit",244452,"HANDSOME RANSOM (AUS) 2000",215612,"DAME NGAIO (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",305039,3,4,"Sylvester","6","g",56.00,1,2.13.41,0.36.07,," NECK","Sylvia Kay","Levin",4.00,2.20,21875.00,"Chris Johnson",56.00,0.00,82,0,0,"Approved Plates, Standard Bit, Blinkers, Nose Band",278260,"ROAD TO ROCK (AUS) 2004",233845,"PENSIVE (NZ) 2003",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",303756,4,1,"Strolling Vagabond","6","m",54.00,2,2.13.47,0.36.56,0.30," 3 1/4 LEN","Gerald Innes","Opaki",4.90,2.10,7000.00,"Madan Singh",52.00,2.00,82,0,0,"Approved Plates, Lugging Bit, Side Winkers",230462,"DARCI BRAHMA (NZ) 2002",260246,"BELLA ROSALIA (GB) 2006",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",297779,5,7,"Trisha Lea","7","m",54.00,4,2.14.34,0.37.69,5.60," 3/4 LEN","Kylie Little","Opaki",13.20,0.00,1750.00,"Samantha Collett",54.00,0.00,79,0,0,"Approved Plates, Standard Bit, Side Winkers on, Bandages, Barrier Blanket",226925,"ZED (NZ) 2002",171134,"MISS AKEBONO (NZ) 1993",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",327683,6,6,"The Heiress","4","m",54.00,3,2.14.05,0.36.89,3.60," 2 LEN","Murray Baker & Andrew Forsman","Cambridge",3.80,0.00,3500.00,"Lisa Allpress",54.00,0.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers, Shadow Roll",301937,"REDWOOD (GB) 2006",224209,"PARIS HILTON (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",309177,7,3,"Chic","6","m",54.00,7,2.16.05,0.39.01,15.90," ","Kevin Myers","Wanganui",11.10,0.00,0.00,"Ryan Elliot",54.00,0.00,72,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",249129,"MISSPRO O'REILLY (NZ) 2005",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",331547,1,14,"Bak Da Master","4","g",59.50,2,2.20.91,0.37.18,2.30," SHORT HEAD","Jamie Richards","Matamata",5.50,2.30,4500.00,"Ryan Elliot",59.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",278104,"MASTERCRAFTSMAN (IRE) 2006",235560,"BAK DA PRINCESS (NZ) 2003",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",300990,2,7,"Hare Bawl","8","g",59.50,8,2.21.90,0.37.47,8.60," ","Lisa Latta","Awapuni",19.60,0.00,0.00,"Madan Singh",57.50,2.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers",206002,"BAHHARE (USA) 1994",215430,"BAWL (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",320554,3,1,"Leading Role","5","g",59.00,10,2.22.29,0.37.92,11.20," ","Gary Vile","Awapuni",6.30,0.00,0.00,"Robert Hannam",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",230462,"DARCI BRAHMA (NZ) 2002",234950,"SCREEN SIREN (NZ) 2003",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",294527,4,4,"No Tip","7","g",59.00,9,2.22.09,0.37.89,9.90," ","Paul Nelson & Corrina McDougal","Hastings",18.20,0.00,0.00,"Chris Johnson",59.00,0.00,63,69,0,"Approved Plates, Standard Bit, Side Winkers (1st time), Tongue Tie",236672,"METTRE EN JEU (NZ) 2003",147630,"GROSVENESS (NZ) 1990",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",338462,5,8,"Sanchez","4","g",59.00,1,2.20.57,0.36.71,," 2 1/4 LEN","Harvey Wilson","Waverley",5.30,2.20,14060.00,"Johnathan Parkes",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit",247999,"EL HERMANO (NZ) 2005",271434,"SUVA (AUS) 1999",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",336850,6,11,"Master Lincoln","4","g",57.50,7,2.21.78,0.37.83,7.80," ","Lisa Latta","Awapuni",12.00,0.00,0.00,"Darryl Bradley",57.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",261528,"CHAPCHICK (NZ) 2007",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",279667,7,9,"Tell Me More","8","g",57.50,14,2.23.05,0.39.37,16.00," ","Dean Cunningham","Marton",43.70,0.00,0.00,"Charlotte O'Beirne",54.50,3.00,60,55,59,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",231249,"SOUNDS GOOD TO ME (NZ) 2002",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",318880,8,5,"Ave Maria","5","m",57.00,4,2.21.11,0.37.37,3.70," 3/4 LEN","Kevin Myers","Wanganui",15.70,0.00,1125.00,"Reese Jones",57.00,0.00,63,69,0,"Approved Plates, Lugging Bit",244648,"BACHELOR DUKE (USA) 2001",222411,"AVE MAREE (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",332776,9,6,"Mamba","4","m",57.00,5,2.21.22,0.37.25,4.50," 2 3/4 LEN","Murray Baker & Andrew Forsman","Cambridge",5.30,0.00,565.00,"Holly Andrew",55.00,2.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",300680,"POUR MOI (IRE) 2008",229879,"ARABIAN NIGHTS (NZ) 2002",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",307037,10,13,"Donardo","6","g",57.00,6,2.21.68,0.37.42,7.30," ","Lucy de Lautour","Waipukurau",47.90,0.00,0.00,"Danielle Hirini",56.00,1.00,59,0,0,"Approved Plates, Lugging Bit, Nose Band",203711,"DON EDUARDO (NZ) 1998",256165,"DEVIL IN RED (AUS) 2006",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",346703,11,10,"Kirkenes (AUS)","5","g",57.00,13,2.22.88,0.39.13,15.00," ","John Wheeler","New Plymouth",25.60,0.00,0.00,"Hazel Schofer",54.00,3.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",215858,"ENCOSTA DE LAGO (AUS) 1993",346704,"BELLERAMA (AUS) 2008",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",330728,12,3,"Akela Belle","4","m",56.50,3,2.20.93,0.36.63,2.40," 1 1/4 LEN","Lisa Latta","Awapuni",11.60,3.30,2250.00,"Samantha Collett",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",199444,"AKELA (NZ) 1997",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",344090,14,12,"The Midnight Shift","3","g",55.50,11,2.22.44,0.38.32,12.20," ","Paul Mirabelli","Cambridge",29.60,0.00,0.00,"Chelsea Burdan",51.50,4.00,56,0,0,"Approved Plates, Lugging Bit, Blinkers",257403,"HE'S REMARKABLE (NZ) 2007",269158,"CASUAL FLING (NZ) 2008",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202523,5,,Flat,2200,"Rating 65 Benchmark*","BIRCHLEIGH POLO CLUB 2200",22500.00,13:18:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",334153,15,2,"Valerius","4","g",54.00,12,2.22.55,0.38.09,13.00," ","Guy Lowry & Grant Cullen","Hastings",64.70,0.00,0.00,"Lisa Allpress",54.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",225552,"POSTPONED (USA) 1997",300565,"MARENDEZ (AUS) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",284223,1,3,"Zedace","8","g",68.00,3,4.56.99,,16.30," 3/4 LEN","Shane Brown","Woodville",3.50,1.50,1000.00,"Buddy Lammas",67.00,1.00,55,0,70,"Approved Plates, Lugging Bit, Bandages, Boots",226925,"ZED (NZ) 2002",227179,"STELLACE (NZ) 2002",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",299842,2,1,"Eddie Gilbert","7","g",68.00,6,4.57.46,,18.90," ","Kevin Myers","Wanganui",5.10,0.00,0.00,"Shaun Fannin",68.00,0.00,55,68,59,"Approved Plates, Lugging Bit, Boots, Tongue Tie",222919,"KEEPER (AUS) 1997",212949,"IMPULSIVE (AUS) 1992",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",287498,3,6,"It's A Wonder","8","g",68.00,1,4.54.28,,," 12 1/2 LEN","Harvey Wilson","Waverley",2.90,1.40,6250.00,"Shaun Phelan",68.00,0.00,64,80,57,"Approved Plates, Norton Bit, Boots, Nasal Strip",209726,"ISTIDAAD (USA) 1992",212336,"PRINCESS JULIE (NZ) 1999",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",303874,4,9,"Mr Enthusiastic","6","g",68.00,7,4.58.05,,22.40," ","John Wheeler","New Plymouth",8.60,0.00,0.00,"Mathew Gillies",68.00,0.00,47,57,57,"Approved Plates, Lugging Bit, Tongue Tie",255435,"LUCKY UNICORN (AUS) 2002",205154,"WILD ENTHUSIASM (NZ) 1998",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",299164,5,5,"Kangaroo","7","g",68.00,4,4.57.13,,17.10," 3/4 LEN","Kevin Myers","Wanganui",19.00,0.00,500.00,"Toni Moki",65.00,3.00,45,57,54,"Approved Plates, Lugging Bit, Boots, Ear Covers",224608,"BRILLIANCE (USA) 1997",209082,"RAADEE (NZ) 1999",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",296435,6,7,"Spithill","7","g",68.00,8,5.03.12,,53.20," ","Raymond Connors","Wanganui",20.20,0.00,0.00,"Isaac Lupton",68.00,0.00,45,0,52,"Approved Plates, Lugging Bit, Boots",277609,"RAISE THE FLAG (GB) 2005",235765,"TIGER ROSE (NZ) 2003",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",312460,7,8,"Crackthegoodstuff","7","g",68.00,5,4.57.28,,17.90," 1 LEN","Phillip Stevens","Matamata",20.50,0.00,250.00,"James Seivwright",66.00,2.00,55,56,50,"Approved Plates, Lugging Bit, Boots, Nasal Strip, Tongue Tie",255435,"LUCKY UNICORN (AUS) 2002",221186,"MISAKI (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",312351,8,2,"Grandiscoccymelums","6","g",68.00,F,,,," ","Ken Duncan","Hunterville",35.00,0.00,0.00,"Nick Downs",66.00,2.00,45,50,50,"Approved Plates, Lugging Bit, Boots",209726,"ISTIDAAD (USA) 1992",217679,"ANGECA (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202526,6,,Steeple,4000,"MDN STP","JUST A SWAGGER HB HUNT MAIDEN CHASE",10000.00,13:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",313174,9,4,"Zedman","6","g",68.00,2,4.56.37,,12.50," 3 3/4 LEN","Diana Kennedy","Waimate",13.10,2.80,2000.00,"Aaron Kuru",68.00,0.00,47,0,50,"Approved Plates, Lugging Bit, Bandages, Boots, Nasal Strip, Nose Band",226925,"ZED (NZ) 2002",254604,"SAZERAC (NZ) 2006",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",273646,1,7,"Wise Men Say","9","g",70.00,6,6.18.58,,41.30," ","Raymond Connors","Wanganui",6.70,0.00,0.00,"Isaac Lupton",70.00,0.00,58,69,99,"Approved Plates, Lugging Bit, Boots",149270,"YAMANIN VITAL (NZ) 1990",153461,"VAGUELY FAMOUS (NZ) 1991",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",281437,2,4,"Shamal","8","g",69.00,4,6.13.18,,8.50," 2 3/4 LEN","Ken Duncan","Hunterville",3.10,0.00,2500.00,"Buddy Lammas",69.00,0.00,55,71,94,"Approved Plates, Lugging Bit, Bandages",87997,"ZABEEL (NZ) 1986",217346,"MISTRALE (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",280502,3,5,"Chocolate Fish","9","g",67.50,2,6.12.13,,2.00," 4 LEN","Shane Brown","Woodville",4.50,2.20,10000.00,"Shaun Phelan",67.50,0.00,48,50,89,"Approved Plates, Lugging Bit, Side Winkers (1st time), Bandages, Boots",188893,"COLOMBIA (NZ) 1996",225264,"SAVEUR (GB) 1988",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",258531,4,6,"The Oysterman","11","g",65.50,P,,,," ","Stephen Nickalls","Palmerston North",37.20,0.00,0.00,"Hamish McNeill",65.50,0.00,45,50,83,"Approved Plates, Lugging Bit, Bandages, Boots",149270,"YAMANIN VITAL (NZ) 1990",216068,"CLEAR AS A BELL (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",275833,5,2,"Perry Mason","9","g",65.00,1,6.11.79,,," 2 LEN","Paul Nelson & Corrina McDougal","Hastings",3.80,1.90,31250.00,"Aaron Kuru",65.00,0.00,57,68,80,"Approved Plates, Lugging Bit, Boots, Nose Band, Tongue Tie",226925,"ZED (NZ) 2002",215612,"DAME NGAIO (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",269788,6,3,"Zardetto (AUS)","11","g",65.00,3,6.12.78,,6.00," 2 1/2 LEN","Paul Nelson & Corrina McDougal","Hastings",8.70,0.00,5000.00,"Mathew Gillies",65.00,0.00,55,71,75,"Approved Plates, Standard Bit, Side Winkers, Boots",213162,"REDOUTE'S CHOICE (AUS) 1996",177827,"CHAMPAGNE (NZ) 1994",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199467,7,Prestige Jumping Race,Steeple,4800,"OPN STP","AHD HAWKE'S BAY STEEPLECHASE",50000.00,14:29:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",258766,7,1,"Kipkeino","11","g",65.00,5,6.13.63,,11.30," 30 LEN","Lucy de Lautour","Waipukurau",10.00,0.00,1250.00,"Shaun Fannin",65.00,0.00,72,86,69,"Approved Plates, Standard Bit, Bandages, Boots",210211,"SUNRAY (NZ) 1999",209834,"AWESOME ANNIE (NZ) 1999",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202524,8,,Flat,1400,"MDN","BOSTOCK NEW ZEALAND SPRING CARNIVAL TICKETS ON SALE NOW",10000.00,15:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",365551,1,7,"Up 'n' Gone","3","g",58.50,1,1.26.18,0.37.16,," 3/4 LEN","Toby Autridge","Matamata",5.50,2.20,6250.00,"Chelsea Burdan",54.50,4.00,54,0,0,"Approved Plates, Lugging Bit",250272,"CASTLEDALE (IRE) 2001",274428,"ARMY GIRL (NZ) 2009",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202524,8,,Flat,1400,"MDN","BOSTOCK NEW ZEALAND SPRING CARNIVAL TICKETS ON SALE NOW",10000.00,15:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",380346,2,10,"Beauty Star (AUS)","5","g",58.50,4,1.26.77,0.36.94,3.90," HEAD","Tony Pike","Cambridge",4.00,0.00,500.00,"Ryan Elliot",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Ear Covers",272377,"NORTHERN METEOR (AUS) 2005",380347,"FAIRYTALE DANCER (AUS) 2002",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202524,8,,Flat,1400,"MDN","BOSTOCK NEW ZEALAND SPRING CARNIVAL TICKETS ON SALE NOW",10000.00,15:05:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",365162,3,3,"Lincoln Town","3","g",58.50,2,1.26.30,0.37.30,0.80," 1 1/4 LEN","Lisa Latta","Awapuni",12.90,3.20,2000.00,"Robert Hannam",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",248656,"TAVISTOCK (NZ) 2005",219527,"WHO SAYS (NZ) 2000",
