<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",312481,1,2,"Jochen Rindt","9","g",68.00,LR,,,," ","Terry Wenn","Cambridge",3.70,0.00,0.00,"Emily Farr",68.00,0.00,83,60,0,"Approved Plates, Lugging Bit, Boots",238721,"ISHIGURU (USA) 1998",164769,"KESSEM'S DREAM (NZ) 1992",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",329928,2,7,"Quaff","4","g",68.00,F,,,," ","John Wheeler","New Plymouth",4.70,0.00,0.00,"Mathew Cropp",68.00,0.00,60,59,0,"Approved Plates, Lugging Bit, Nose Band",230462,"DARCI BRAHMA (NZ) 2002",244492,"OPEN STAGE (IRE) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",274493,3,5,"Zed Leppelin","9","g",68.00,5,2.56.25,,13.70," 1 LEN","Sue Thompson & Mick Brown","Hastings",9.30,0.00,250.00,"Gary Walsh",68.00,0.00,61,59,0,"Approved Plates, Standard Bit, Blinkers, Bandages, Barrier Blanket, Boots, Nose Band, Shadow Roll",226925,"ZED (NZ) 2002",182891,"VALTAINE (NZ) 1995",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",310083,4,8,"Master Courtsman","6","g",68.00,3,2.54.16,,1.60," SHORT HEAD","Tony Corric","New Plymouth",18.30,4.00,1000.00,"Buddy Lammas",67.00,1.00,54,57,0,"Approved Plates, Lugging Bit, Boots",278104,"MASTERCRAFTSMAN (IRE) 2006",169507,"EVOLUTION (NZ) 1993",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",316232,5,1,"The Cossack","5","g",68.00,2,2.54.16,,1.50," NOSE","John Bary","Hastings",9.80,2.50,2000.00,"Aaron Kuru",68.00,0.00,57,55,0,"Approved Plates, Lugging Bit, Boots",278104,"MASTERCRAFTSMAN (IRE) 2006",249817,"STELLARDELMAR (AUS) 2005",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",287534,6,3,"So Keep Em","8","g",68.00,P,,,," ","Kevin Myers","Wanganui",32.60,0.00,0.00,"Shaun Fannin",68.00,0.00,57,54,0,"Approved Plates, Lugging Bit, Tongue Tie",222919,"KEEPER (AUS) 1997",247912,"LAEZEEL (NZ) 2005",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",302687,7,11,"Ali Baba","6","g",68.00,4,2.54.18,,1.70," 12 LEN","Michael Moroney & Pam Gerard","Matamata",5.50,0.00,500.00,"Mathew Gillies",68.00,0.00,71,50,0,"Approved Plates, Lugging Bit, Side Winkers, Boots",238456,"SAVABEEL (AUS) 2001",200104,"DREAMWORKS (NZ) 1998",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",314893,8,4,"Cochise","6","g",68.00,1,2.53.92,,," 1 1/2 LEN","Craig and Shaun Phelan","Cambridge",6.40,2.30,6250.00,"Shaun Phelan",68.00,0.00,61,50,0,"Approved Plates, Lugging Bit, Boots, Nasal Strip",238456,"SAVABEEL (AUS) 2001",271766,"INDIAN EMPRESS (AUS) 2007",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",293056,9,10,"Francis Drake","7","g",68.00,7,2.57.29,,19.70," ","Team Rogerson","Tuhikaramea",22.60,0.00,0.00,"Nick Downs",66.00,2.00,78,50,0,"Approved Plates, Lugging Bit, Side Winkers (1st time), Nasal Strip, Nose Band (1st time)",248656,"TAVISTOCK (NZ) 2005",271431,"BIOSPHERE (AUS) 2004",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",302659,10,9,"Tiger Cafe","6","g",68.00,P,,,," ","Stephen Nickalls","Palmerston North",57.20,0.00,0.00,"Hamish McNeill",67.00,1.00,58,50,0,"Approved Plates, Standard Bit, Boots, Nasal Strip, Nose Band",277655,"TIGER PRAWN (SAF) 2002",214663,"NANCY HOPE (NZ) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",204027,2,,Hurdle,2500,"MDN HDL","BAY FORD NZ PUNTER OF THE YEAR OCTOBER 5 MAIDEN HURDLE",10000.00,11:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",310273,11,6,"Toodaloo","6","g",68.00,6,2.56.42,,14.70," ","Peter & Jessica Brosnan","Matamata",51.40,0.00,0.00,"James Seivwright",66.00,2.00,55,50,0,"Approved Plates, Lugging Bit, Boots",245781,"SUFFICIENT (NZ) 2005",213569,"KISS IN VAIN (AUS) 1991",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",300799,1,2,"Laekeeper","7","g",68.00,3,3.37.27,,5.50," 5 1/4 LEN","Simon Rees","Morrinsville",9.60,2.90,5000.00,"Emily Farr",68.00,0.00,68,87,0,"Approved Plates, Lugging Bit, Boots, Tongue Tie",222919,"KEEPER (AUS) 1997",247912,"LAEZEEL (NZ) 2005",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",290404,2,12,"Tommyra","7","g",67.50,6,3.38.62,,13.30," ","Toby Autridge","Matamata",5.80,0.00,0.00,"Shaun Phelan",67.50,0.00,71,86,0,"Approved Plates, Lugging Bit, Boots, Nasal Strip",277609,"RAISE THE FLAG (GB) 2005",207293,"HIPPO PRISCILLA (NZ) 1999",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",267956,4,11,"No Change","10","g",65.00,1,3.36.32,,," 2 LEN","Paul Nelson & Corrina McDougal","Hastings",6.80,2.40,31250.00,"Aaron Kuru",65.00,0.00,74,82,0,"Approved Plates, Standard Bit, Boots",199454,"SHINKO KING (IRE) 1991",147630,"GROSVENESS (NZ) 1990",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",278254,5,13,"Ooee","9","g",65.00,4,3.38.22,,10.80," 2 LEN","Paul Nelson & Corrina McDougal","Hastings",10.30,0.00,2500.00,"Buddy Lammas",65.00,0.00,57,80,0,"Approved Plates, Lugging Bit, Boots",208870,"RUFF NIPPER (NZ) 1999",202293,"ASTRO GIRL (NZ) 1998",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",266026,6,7,"Lucky Tonight","10","g",65.00,5,3.38.53,,12.80," 1/2 LEN","Shelley Houston","Cambridge",58.50,0.00,1250.00,"Nick Downs",65.00,0.00,55,78,0,"Approved Plates, Lugging Bit, Boots, Nose Band",255435,"LUCKY UNICORN (AUS) 2002",176622,"TIGHTS DELIGHT (NZ) 1994",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",313782,7,10,"Delegate","6","g",65.00,9,3.39.05,,15.70," ","Shaun & Emma Clotworthy","Byerley Park",8.20,0.00,0.00,"Stuart Higgins",65.00,0.00,63,73,0,"Approved Plates, Standard Bit (1st time), Boots, Nasal Strip (1st time), Nose Band",277609,"RAISE THE FLAG (GB) 2005",244017,"RIVER BEAR (NZ) 2004",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",258658,8,9,"Letmeby","11","g",65.00,10,3.39.23,,16.70," ","Graham Richardson & Gavin Parker","Matamata",22.00,0.00,0.00,"James Seivwright",65.00,0.00,65,73,50,"Approved Plates, Lugging Bit, Boots",203711,"DON EDUARDO (NZ) 1998",206828,"GATESTOPPER (NZ) 1999",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",317244,9,4,"Wilijonmcbride","5","g",65.00,P,,,," ","Team Rogerson","Tuhikaramea",23.20,0.00,0.00,"Mathew Gillies",65.00,0.00,59,73,0,"Approved Plates, Lugging Bit, Boots, Tongue Tie",278350,"RED GIANT (USA) 2004",254667,"O'ERIN (NZ) 2006",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",295248,10,6,"El Disparo","7","g",65.00,8,3.38.87,,14.70," ","Mark Brooks","Cambridge",15.40,0.00,0.00,"Isaac Lupton",65.00,0.00,69,72,0,"Approved Plates, Lugging Bit, Boots",247999,"EL HERMANO (NZ) 2005",184126,"CLASSIC SHOT (NZ) 1995",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",313964,11,1,"Guy Fox","6","g",65.00,11,3.39.50,,18.20," ","Kevin Myers","Wanganui",14.10,0.00,0.00,"Shaun Fannin",65.00,0.00,74,72,0,"Approved Plates, Lugging Bit, Boots",226925,"ZED (NZ) 2002",235710,"DONT KICK MY FLOAT (NZ) 2003",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",274800,12,5,"Hesalljazz","9","g",65.00,F,,,," ","Stephen Ralph","Te Awamutu",21.80,0.00,0.00,"Toni Moki",65.00,0.00,65,72,0,"Approved Plates, Lugging Bit, Blinkers",250526,"COATS CHOICE (AUS) 2001",224199,"DONNA JAZZ (AUS) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",272593,13,8,"The Great Guru","9","g",65.00,7,3.38.64,,13.40," ","Lisa Latta","Awapuni",38.30,0.00,0.00,"Gary Walsh",65.00,0.00,62,69,0,"Approved Plates, Lugging Bit, Boots",255627,"GALLANT GURU (AUS) 2002",221694,"GREYLING (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",291043,14,3,"Woodsman","7","g",65.00,2,3.36.63,,2.00," 3 1/2 LEN","Tony Gillies","Matamata",4.70,2.20,10000.00,"Michael Roustoby",65.00,0.00,83,69,0,"Approved Plates, Lugging Bit, Boots",278104,"MASTERCRAFTSMAN (IRE) 2006",193634,"SILKWOOD (NZ) 1997",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",199468,3,Prestige Jumping Race,Hurdle,3100,"OPN HDL","TE WHANGAI ROMNEYS HAWKE'S BAY HURDLE",50000.00,12:12:00,"Y",65.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",298335,15,14,"Raaj","7","g",65.00,B,,,," ","Lesley Munro","Pukekohe Park",51.90,0.00,0.00,"Hamish McNeill",65.00,0.00,59,65,0,"Ear Covers Pre-Race, Approved Plates, Tongue Control Bit, Boots, Nose Band",255989,"IFFRAAJ (GB) 2001",223738,"LILLY PILLY (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202520,4,,Flat,2100,"OPN HCP","TREMAINS STARTING GATES 2100",35000.00,12:46:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Fine",301014,1,2,"Kaharau (AUS)","7","g",60.00,5,2.14.47,0.37.73,6.40," 2 LEN","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",7.20,0.00,875.00,"Holly Andrew",58.00,2.00,90,0,0,"Approved Plates, Lugging Bit, Blinkers",265453,"AD VALOREM (USA) 2002",234873,"MON JOLIE (NZ) 2003",
