<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",385430,14,1,"Vera Drake (FR)","4","m",56.00,6,2.17.81,0.35.97,3.30," ","Lance Noble","Karaka",8.00,0.00,0.00,"Michael Coleman",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit (1st time), Shadow Roll",245067,"FOOTSTEPSINTHESAND (GB) 2002",382465,"VENETIAN BEAUTY (USA) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",318289,16,2,"Aongatete Express","5","g",57.00,13,2.19.11,0.37.22,11.40," ","Gary Alton","Cambridge",33.40,0.00,0.00,"Donavan Mansour",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",252669,"CIVICS (AUS) 1999",214729,"RUSH'N RED (NZ) 2000",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",282363,17,13,"Baboonski","8","m",55.00,12,2.18.82,0.36.75,9.60," ","Rachel Masters","Te Awamutu",56.00,0.00,0.00,"Rowena Smyth",55.00,0.00,59,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit, Nose Band",210214,"ST REIMS (NZ) 1999",256351,"FONDANT (AUS) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",356773,1,3,"Sai Fah","2","c",57.50,2,1.12.50,0.36.38,3.00," 3 LEN","Stephen Marsh","Cambridge",4.20,2.00,2000.00,"Craig Grylls",57.50,0.00,63,0,0,"Approved Plates, Lugging Bit",243502,"RIOS (NZ) 2004",265005,"RONGONUI (NZ) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",381503,2,4,"Upalayer (AUS)","2","c",56.00,7,1.13.64,0.36.85,9.70," ","Steven Cole","Byerley Park",21.50,0.00,0.00,"Ryan Elliot",56.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",250799,"STRATUM (AUS) 2002",311689,"SKI SLOPES (NZ) 2012",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",356281,3,1,"Riodini","2","g",56.00,1,1.12.05,0.35.66,," 3 LEN","Nigel Tiley","Pukekohe",4.50,1.90,6250.00,"Samantha Collett",56.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",337555,"PROISIR (AUS) 2009",274175,"GIARDINI (NZ) 2009",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",364483,5,10,"Make Time","2","g",56.00,4,1.13.27,0.36.27,7.80," 3/4 LEN","Stephen McKee","Ardmore",8.70,0.00,500.00,"Sam Spratt",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",227642,"ISLAND TIME (NZ) 2002",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",363719,6,2,"Peerless Warrior (AUS)","2","g",56.00,6,1.13.54,0.36.32,9.10," ","Murray Baker & Andrew Forsman","Cambridge",26.60,0.00,0.00,"Donavan Mansour",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",238456,"SAVABEEL (AUS) 2001",283272,"RUTHLESS LADY (NZ) 2010",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",356719,7,6,"Ruby Negroni","2","f",54.00,3,1.12.98,0.36.24,6.00," 1 3/4 LEN","Jason Price","Matamata",4.90,1.90,1000.00,"Anna Jones",54.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band (1st time)",243502,"RIOS (NZ) 2004",267302,"DIAMOND LINDAUER (NZ) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",353923,8,9,"Starring Role","2","f",54.00,11,1.14.60,0.36.83,15.80," ","Glenn Old","Matamata",8.90,0.00,0.00,"Cameron Lammas",54.50,-0.50,50,0,0,"Approved Plates, Standard Bit, Nose Band",287687,"SHOWCASING (GB) 2007",236599,"DONELMI (NZ) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",358763,9,5,"Darcee Que","2","f",54.00,5,1.13.44,0.36.40,8.60," 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",15.70,0.00,250.00,"Michael Coleman",54.00,0.00,47,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",285865,"QUINTETTE (NZ) 2010",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",357110,10,11,"Just A Girl","2","f",54.00,9,1.13.94,0.37.76,11.60," ","Jenna Mahoney","Byerley Park",13.90,0.00,0.00,"Rebecca Scott",51.00,3.00,47,0,0,"Approved Plates, Lugging Bit, Side Winkers",336891,"EPAULETTE (AUS) 2009",352256,"BEAUTIFUL GIRL (AUS) 2011",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",357813,11,7,"Gumpert","2","f",54.00,8,1.13.69,0.37.14,10.00," ","Trevor Da Cruz","Cambridge",16.60,0.00,0.00,"Andrew Calder",54.50,-0.50,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",242640,"ROC DE CAMBES (NZ) 2004",257755,"HOT PURSUIT (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202331,2,,Flat,1200,"2YO SW+P","NZB INSURANCE PEARL SERIES RACE 1200",10000.00,11:28:00,"N",,"2yo","Open","unrestricted","sw+p","Slow",8,"Fine",358852,12,8,"Macushla","2","f",54.00,10,1.14.41,0.38.22,14.60," ","Nigel Tiley","Pukekohe",42.40,0.00,0.00,"Rowena Smyth",54.00,0.00,45,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",248486,"CHILLI (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",329442,1,1,"Ego Fast","4","g",58.50,12,1.14.79,0.37.84,7.20," ","John Ruddell","Pukekohe Park",15.20,0.00,0.00,"Chris Dell",58.50,0.00,49,0,0,"Approved Plates, Standard Bit, Blinkers, Nose Band",247685,"EGO (NZ) 2005",265001,"FAME MOUSE (NZ) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",344745,2,14,"Butterfield","3","g",58.50,4,1.13.83,0.35.88,0.90," 1 3/4 LEN","Finbarr Leahy","Cambridge",9.40,0.00,500.00,"Donavan Mansour",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",243310,"CASEY (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",341224,3,11,"Sir Ralph","3","g",58.50,6,1.14.11,0.37.12,2.80," ","Chris Gibbs & Michelle Bradley","Ruakaka",5.60,0.00,0.00,"Cameron Lammas",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",260614,"DESIGNACAT (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",348260,4,4,"Fast Mover","3","g",58.50,3,1.13.77,0.36.47,0.60," NECK","Rudy Liefting","Pukekohe Park",26.40,7.40,1000.00,"Shaun McKay",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",275174,"MOVE FASTER (NZ) 2009",263051,"GENUINE SUSPECT (AUS) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",343169,5,2,"Just Raj","3","g",58.50,1,1.13.64,0.36.65,," SHORT NECK","Graham Thomas & Mathew Gillies","Cambridge",19.00,5.60,6250.00,"Sam Spratt",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",268640,"SUPER EASY (NZ) 2008",264278,"JUST IDEAL (NZ) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",353439,6,9,"Expressive","3","f",56.50,10,1.14.57,0.37.02,5.80," ","Shaun & Emma Clotworthy","Byerley Park",7.40,0.00,0.00,"Andrew Calder",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",276923,"BATTLE PAINT (USA) 2004",288945,"ESZENCIA (NZ) 2010",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",341285,7,8,"Tangodanzer","3","f",56.50,14,1.16.40,0.38.49,17.50," ","Darryn Weatherley","Matamata",12.60,0.00,0.00,"Samantha Collett",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit",300274,"TARTAN BEARER (IRE) 2005",300360,"JOLIE DANZER (AUS) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",329458,8,12,"Dream","4","m",56.50,7,1.14.34,0.36.68,4.30," ","Nigel Tiley","Pukekohe",28.70,0.00,0.00,"Michael McNab",56.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers",262402,"ANY SUGGESTION (AUS) 2001",275763,"MEMORY KEEPER (NZ) 2009",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",350230,9,7,"Frozen","3","f",56.50,2,1.13.69,0.36.24,0.20," LONG NECK","Peter & Dawn Williams","Byerley Park",5.00,2.10,2000.00,"Michael Coleman",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Side Winkers",225552,"POSTPONED (USA) 1997",278182,"SUBGLACIAL (AUS) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",348419,10,5,"Girl Of Steel","3","f",56.50,8,1.14.47,0.36.85,5.10," ","Robyn & Russell Rogers","Cambridge",7.90,0.00,0.00,"Tegan Newman",53.50,3.00,46,0,0,"Approved Plates, Lugging Bit, Tongue Tie",313564,"RELIABLE MAN (GB) 2008",243407,"C'EST LA VIE (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",340590,11,3,"Break The Rules","3","f",56.50,13,1.15.20,0.38.11,9.80," ","Donna Clark","Whangarei",54.20,0.00,0.00,"Trudy Thornton",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",245385,"SUN RULER (AUS) 2005",259516,"LUCKY BREAK (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",336994,12,13,"Firmament","4","m",56.50,11,1.14.62,0.36.41,6.10," ","Patsy Riley","Pukekohe",35.70,0.00,0.00,"Rowena Smyth",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",300510,"BULLBARS (AUS) 2007",244361,"AIDEZ MOI (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",348802,13,6,"Lisalei","3","f",56.50,9,1.14.54,0.36.93,5.60," ","Alan Young","Pukekohe",74.10,0.00,0.00,"Kavish Chowdhoory",54.50,2.00,45,0,0,"Approved Plates, Standard Bit",257403,"HE'S REMARKABLE (NZ) 2007",273311,"MANACOR (NZ) 2009",
