<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202328,3,,Flat,1200,"MDN","MALCOLM WRIGLEY INSURANCE SERVICES 1200",10000.00,11:58:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",346635,14,10,"Sardonia","3","f",56.50,5,1.14.09,0.36.14,2.70," 1/2 HEAD","Stephen Marsh","Cambridge",8.70,0.00,250.00,"Craig Grylls",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",220345,"SARDONYX (NZ) 2001",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",324190,1,12,"Mount Midoriyama","5","g",60.00,8,1.13.87,0.35.63,5.30," ","Nigel Tiley","Pukekohe",24.80,0.00,0.00,"Rowena Smyth",60.00,0.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers",280637,"PER INCANTO (USA) 2004",189371,"COMB THE SEAS (NZ) 1996",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",334120,2,3,"Magnify","4","g",58.50,5,1.13.44,0.35.44,2.80," 1 3/4 LEN","Nigel Tiley","Pukekohe",5.30,0.00,250.00,"Samantha Collett",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",250799,"STRATUM (AUS) 2002",326013,"DEVIL CHILD (AUS) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",334551,4,9,"Shadow Dancer","4","m",58.00,4,1.13.42,0.35.87,2.60," HEAD","Stephen Marsh","Cambridge",7.50,0.00,500.00,"Ryan Elliot",58.00,0.00,65,0,0,"Approved Plates, Lugging Bit",250718,"SNITZEL (AUS) 2002",216610,"DUBAI EXPRESS (NZ) 2000",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",343421,6,5,"Tiny Terror","3","g",58.00,2,1.13.18,0.35.44,1.30," 1/2 LEN","Michael Moroney & Pam Gerard","Matamata",4.10,1.90,2000.00,"Eilish McCall",54.00,4.00,61,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",280079,"THORA (NZ) 2010",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",305910,7,2,"Red Tsunami","6","m",57.50,1,1.12.98,0.35.77,," 1 1/4 LEN","Bruce Manssen","Te Rapa",10.70,3.70,6250.00,"Tegan Newman",54.50,3.00,64,0,0,"Approved Plates, Lugging Bit",219693,"BLUE TSUNAMI (AUS) 2000",247952,"OUR ROSALIA (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",315787,9,11,"Ichiban","5","g",57.00,7,1.13.83,0.35.86,5.00," ","Team Rogerson","Tuhikaramea",20.70,0.00,0.00,"Donavan Mansour",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",285139,"SWISS ACE (AUS) 2004",278021,"ECLAIRCISSEMENT (AUS) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",327370,10,4,"Bits And Pieces","4","m",56.50,12,1.14.57,0.37.09,9.50," ","Mark Forbes","Cambridge",15.30,0.00,0.00,"Sam Spratt",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit",227325,"SNIPPETSON (AUS) 2001",237912,"INERTIA (NZ) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",330861,11,8,"Humoresque","4","m",56.50,10,1.14.14,0.35.80,6.90," ","Stephen Marsh","Cambridge",13.80,0.00,0.00,"Michael McNab",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Nasal Strip (1st time), Nose Band",255989,"IFFRAAJ (GB) 2001",286597,"LES MISERABLES (NZ) 2010",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",344433,12,10,"Quality Prevails","3","f",56.50,6,1.13.76,0.36.00,4.60," ","Lance O'Sullivan & Andrew Scott","Matamata",14.70,0.00,0.00,"Taiki Yanagida",54.50,2.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",238456,"SAVABEEL (AUS) 2001",314197,"QUEST FOR QUALITY (AUS) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",333561,13,1,"Palamedes","4","m",56.00,3,1.13.28,0.35.74,1.80," 3/4 LEN","Peter & Dawn Williams","Byerley Park",6.40,2.50,1000.00,"Vinnie Colgan",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",324966,"PIERRO (AUS) 2009",260837,"PAPILIO (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",309182,17,13,"Splendido","6","g",57.00,9,1.14.01,0.36.01,6.10," ","Bruce Wallace & Grant Cooksley","Byerley Park",22.10,0.00,0.00,"Michael Coleman",57.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers on",172521,"O'REILLY (NZ) 1993",241210,"VICKEZZCHARDONNAY (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",336455,18,7,"Mr Big","5","g",56.00,11,1.14.53,0.36.60,9.30," ","Kevin Dell","Byerley Park",59.50,0.00,0.00,"Chris Dell",56.00,0.00,57,0,0,"Approved Plates, Lugging Bit, Shadow Roll on",247685,"EGO (NZ) 2005",232664,"DAADS GIRL (NZ) 2001",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",202326,4,,Flat,1200,"Rating 65 Benchmark*","IRT 1200",10000.00,12:33:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",353799,20,6,"Hapi Ella","3","f",54.00,13,1.14.81,0.37.51,10.90," ","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",50.90,0.00,0.00,"Kavish Chowdhoory",53.50,0.50,56,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie (1st time)",250526,"COATS CHOICE (AUS) 2001",255519,"ELLE'S AURA (NZ) 2006",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",328775,1,4,"Cassio","4","g",58.50,8,1.28.09,0.37.51,6.20," ","Denise Jeffcoat","Pukekohe Park",30.70,0.00,0.00,"Trudy Thornton",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Ear Covers, Tongue Tie",242513,"GUILLOTINE (NZ) 2004",195266,"CLASSIC BABE (NZ) 1996",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",342932,2,16,"Alfa Rosso","3","g",58.50,4,1.27.58,0.36.57,3.10," 2 LEN","Margaret Falconer","Cambridge",54.70,0.00,500.00,"Shaun McKay",58.50,0.00,45,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit, Side Winkers, Nose Band",301937,"REDWOOD (GB) 2006",256151,"DESTINY COVE (AUS) 2006",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",344412,3,2,"Blarack","3","g",58.50,16,1.28.45,0.37.51,8.40," ","Peter Lock","Te Aroha",30.60,0.00,0.00,"Samantha Collett",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",241073,"LASHINGS (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",346883,4,12,"Magdala","3","f",56.50,1,1.27.06,0.35.71,," 1/2 LEN","Clayton Chipperfield","Te Awamutu",4.50,1.70,6250.00,"Craig Grylls",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers on",244648,"BACHELOR DUKE (USA) 2001",217827,"MARLENA (NZ) 2000",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",334755,5,11,"Damesel","4","m",56.50,5,1.27.89,0.37.40,5.10," LONG NECK","Stephen Marsh","Cambridge",5.20,0.00,250.00,"Sam Spratt",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit",172521,"O'REILLY (NZ) 1993",209805,"DAME MAPPERLEY (NZ) 1999",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",351949,6,10,"Havana Heights","4","m",56.50,14,1.28.35,0.37.62,7.80," ","Roger James & Robert Wellwood","Cambridge",11.90,0.00,0.00,"Vinnie Colgan",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit",271252,"TEOFILO (IRE) 2004",209404,"POLKA (NZ) 1999",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",318407,7,1,"Miss Bumblebee","5","m",56.50,10,1.28.18,0.37.71,6.80," ","Moira & Kieran Murdoch","Pukekohe Park",10.60,0.00,0.00,"Alysha Collett",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",262402,"ANY SUGGESTION (AUS) 2001",247697,"SELENUS (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",348677,8,13,"Sweet Dreams","3","f",56.50,3,1.27.38,0.36.66,1.80," 1 1/4 LEN","Stephen Marsh","Cambridge",7.60,2.70,1000.00,"Michael McNab",56.50,0.00,50,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",220563,"DREAM LASS (NZ) 2001",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",333431,9,7,"Valmur","4","m",56.50,12,1.28.19,0.37.09,7.00," ","Patsy Riley","Pukekohe",6.50,0.00,0.00,"Darren Danis",54.50,2.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",265282,"OCEAN PARK (NZ) 2008",183857,"EVER CLEVER (NZ) 1995",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",380104,10,14,"Showcat","3","f",56.50,13,1.28.31,0.37.73,7.50," ","Darryn Weatherley","Matamata",16.50,0.00,0.00,"Donavan Mansour",56.50,0.00,46,0,0,"Approved Plates, Tongue Control Bit (1st time), Blinkers",287687,"SHOWCASING (GB) 2007",257312,"PARTY CAT (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",335433,11,9,"Gimmee Ekstra","5","m",56.50,15,1.28.39,0.37.55,8.00," ","Rudy Liefting","Pukekohe Park",85.50,0.00,0.00,"Chris Dell",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",228658,"INSPIRE (NZ) 2002",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",334203,12,5,"Llanberis","4","m",56.50,7,1.28.01,0.37.79,5.70," ","Annabelle Johnson","Pukekohe Park",28.70,0.00,0.00,"Rowena Smyth",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers, Ear Covers",301937,"REDWOOD (GB) 2006",300857,"SIERRA GOLD (AUS) 2008",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",334135,13,6,"Malibu Magic","4","m",56.50,6,1.27.97,0.37.45,5.50," ","Shane Crawford","Cambridge",37.70,0.00,0.00,"Ashvin Goindasamy",53.50,3.00,45,0,0,"Approved Plates, Lugging Bit",225552,"POSTPONED (USA) 1997",300564,"I'MHIGHLYDELIGHTED (AUS) 1998",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",340773,14,3,"Seductress","3","f",56.50,2,1.27.17,0.37.05,0.50," 1 1/4 LEN","Danica Guy","Matamata",29.50,8.90,2000.00,"Cameron Lammas",56.50,0.00,45,0,0,"Approved Plates, Blinkers (1st time)",265282,"OCEAN PARK (NZ) 2008",249134,"FLIRTING (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",349647,16,15,"Vanilla Chinchilla","3","f",56.50,9,1.28.11,0.36.74,6.30," ","Stephen Marsh","Cambridge",24.70,0.00,0.00,"Ryan Elliot",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",277307,"LILIFLORA (AUS) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203853,5,,Flat,1400,"MDN","MOUNT SHOP 1400",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",329065,17,8,"Chur Ching","4","g",58.50,11,1.28.19,0.37.47,6.90," ","Mark Irwin","Te Awamutu",53.70,0.00,0.00,"Andrew Calder",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",241092,"ALAMOSA (NZ) 2004",258866,"ZENADA (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",344317,1,11,"Symbio","3","g",58.50,1,1.26.51,0.37.14,," 1/2 LEN","Jenna Mahoney","Byerley Park",4.30,1.50,6250.00,"Jonathan Riddell",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",245106,"CHARLOTTE'S SISTER (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",327201,2,10,"Nitro","4","g",58.50,12,1.28.38,0.38.58,11.00," ","Davina Waddell","Avondale",48.90,0.00,0.00,"Darren Danis",56.50,2.00,49,0,0,"Approved Plates, Lugging Bit, Nasal Strip",313448,"NIAGARA (AUS) 2008",234640,"LADY OF PETERSBURG (NZ) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",346888,4,6,"Compulsive","3","g",58.50,16,1.29.37,0.38.68,16.80," ","Clayton Chipperfield","Te Awamutu",33.70,0.00,0.00,"Michael McNab",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",230462,"DARCI BRAHMA (NZ) 2002",253542,"OBSESSION (NZ) 2006",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",351129,5,1,"Manrico","3","g",58.50,2,1.26.62,0.37.26,0.50," 1 3/4 LEN","Denise Jeffcoat","Pukekohe Park",69.00,14.80,2000.00,"Trudy Thornton",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",287450,"SHOCKING (AUS) 2005",205539,"FLYING BABE (AUS) 1998",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",349918,6,4,"Trickle Treat","3","g",58.50,11,1.28.29,0.38.71,10.50," ","Tony Pike","Cambridge",16.10,0.00,0.00,"Vinnie Colgan",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",246872,"TRICKLE (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",327550,7,14,"Shanqueen","4","m",56.50,3,1.26.91,0.37.03,2.30," 3/4 LEN","Peter & Dawn Williams","Byerley Park",5.50,2.20,1000.00,"Michael Coleman",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Shadow Roll",248656,"TAVISTOCK (NZ) 2005",235288,"BEAUTY QUEEN (NZ) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",351600,8,16,"Shiranui","3","f",56.50,7,1.27.22,0.37.23,4.20," ","Stephen Marsh","Cambridge",4.30,0.00,0.00,"Samantha Collett",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",184150,"ILLUMINATE (NZ) 1995",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",346317,9,12,"Angelica","3","f",56.50,4,1.27.04,0.36.92,3.10," SHORT HEAD","Graham Richardson & Gavin Parker","Matamata",16.40,0.00,500.00,"Cameron Lammas",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",280637,"PER INCANTO (USA) 2004",282547,"REAL ANGEL (NZ) 2010",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",363809,10,15,"Sepella (AUS)","3","f",56.50,8,1.27.27,0.37.12,4.40," ","Richard Collett","Pukekohe Park",6.70,0.00,0.00,"Andrew Calder",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit",302352,"SEPOY (AUS) 2008",363810,"WOWEE (AUS) 2009",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203951,6,,Flat,1400,"MDN","STELLA BACKDROPS 1400",10000.00,13:43:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Fine",344425,12,7,"Our Elliemay","3","f",56.50,15,1.29.32,0.39.16,16.50," ","Lance O'Sullivan & Andrew Scott","Matamata",13.70,0.00,0.00,"Craig Grylls",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Barrier Blanket, Nasal Strip (1st time), Tongue Tie (1st time)",172521,"O'REILLY (NZ) 1993",248886,"NEVERSAYNEVER (NZ) 2005",
