<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",358308,1,8,"Jager Bombed","2","g",57.50,2,0.59.16,0.34.33,0.20," 3 3/4 LEN","Tony Pike","Cambridge",1.60,1.10,4500.00,"Ashvin Goindasamy",54.50,3.00,65,0,0,"Approved Plates, Lugging Bit, Nose Band",337951,"CHARM SPIRIT (IRE) 2011",338438,"MOORLUV (AUS) 2010",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",363983,2,1,"Zelenski","2","g",56.00,1,0.59.12,0.34.08,," HEAD","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",13.70,2.50,14060.00,"Trudy Thornton",56.00,0.00,51,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",213393,"GRACE DE SOIR (NZ) 2000",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",381431,3,5,"Gas Monkey (AUS)","2","g",56.00,7,1.00.69,0.35.59,10.20," ","Steven Cole","Byerley Park",26.60,0.00,0.00,"Donavan Mansour",56.00,0.00,47,0,0,"Approved Plates, Lugging Bit",238385,"CHOISIR (AUS) 1999",381432,"ZAC SEDUCTION (AUS) 2009",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",381515,5,2,"Not Usual Grace (AUS)","2","c",56.00,8,1.02.76,0.37.17,23.80," ","Stephen Marsh","Cambridge",11.90,0.00,0.00,"Craig Grylls",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit",364984,"BETTER THAN READY (AUS) 2009",339427,"PRINCESS MARGARET (AUS) 2001",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",360721,6,6,"Diva Express","2","f",55.50,6,1.00.40,0.35.69,8.30," ","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",8.40,0.00,0.00,"Vinnie Colgan",55.50,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers",271558,"SHAMEXPRESS (NZ) 2009",234622,"PERLE NOIRE (NZ) 2003",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",360394,7,3,"Kaareraway","2","f",54.00,3,0.59.76,0.34.44,4.00," 3/4 LEN","Chris Gibbs & Michelle Bradley","Ruakaka",7.50,2.00,2250.00,"Cameron Lammas",54.00,0.00,47,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",253099,"KAARERA (NZ) 2006",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",360071,8,4,"Vistock","2","f",54.00,4,0.59.87,0.34.53,4.80," 1 LEN","Stephen McKee","Ardmore",12.40,0.00,1125.00,"Sam Spratt",54.00,0.00,47,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",245346,"FEELIN' PRETTY (NZ) 2005",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202360,1,,Flat,1000,"2YO SW+P","RACING 13 JULY ITM/GIB WHANGAREI GOLD CUP",22500.00,12:27:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",5,"Overcast",367807,10,7,"Sweet Clementine","2","f",54.00,5,1.00.03,0.34.77,5.80," 2 1/2 LEN","Richard Collett","Pukekohe Park",16.90,0.00,565.00,"Alysha Collett",54.00,0.00,45,0,0,"Approved Plates, Lugging Bit",304111,"SWEET ORANGE (USA) 2007",212106,"WEALTH STAR (NZ) 1999",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202359,2,,Flat,1200,"MDN 3YO","FELL ENGINEERING",10000.00,13:02:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",5,"Overcast",351547,1,4,"Here Comes Faffy","3","g",57.50,2,1.12.07,0.35.46,3.50," LONG HEAD","Bruce Wallace & Grant Cooksley","Byerley Park",4.20,1.70,2000.00,"Masa Hashizume",53.50,4.00,52,0,0,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",268931,"VOLKUSED (NZ) 2008",
47399,2019-06-29,2,"Ruakaka","Feature","Race","Whangarei RC","WHANGAREI RC 29 JUN","Dead",5,"Overcast","Out 2m",202359,2,,Flat,1200,"MDN 3YO","FELL ENGINEERING",10000.00,13:02:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",5,"Overcast",340430,2,5,"Saintly Way","3","g",57.50,5,1.12.32,0.35.03,5.00," HEAD","Frank Ritchie","Cambridge",5.30,0.00,250.00,"Craig Grylls",57.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",248610,"ENTIRELY SAINTLY (NZ) 2005",
