<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",340815,6,15,"Zamax","5","g",58.50,4,1.38.93,0.36.82,1.10," 3/4 LEN","Lauren Brennan","Cambridge",11.00,0.00,900.00,"Chad Ormsby",58.50,0.00,62,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",273123,"FERLAX (NZ) 2009",200604,"ZAFONIQUE (NZ) 1998",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",346883,7,11,"Magdala","5","m",58.00,3,1.38.84,0.37.19,0.70," LONG NECK","Rudy Liefting","Pukekohe Park",3.80,1.80,1575.00,"Masa Hashizume",55.00,3.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers",244648,"BACHELOR DUKE (USA) 2001",217827,"MARLENA (NZ) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",334300,8,16,"Our Craftsman","6","g",58.00,6,1.39.06,0.36.30,2.10," ","Gavin Opie","Te Aroha",23.10,0.00,450.00,"Andrew Calder",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",275464,"PAULETTE (NZ) 2009",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",332493,9,6,"Secret Runner","6","g",58.00,9,1.39.31,0.37.75,3.70," ","Shaun & Emma Clotworthy","Byerley Park",94.40,0.00,450.00,"Shaun McKay",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",245781,"SUFFICIENT (NZ) 2005",252690,"TONITESTHENITE (NZ) 2006",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",335198,10,3,"Los Angeles","6","m",57.50,16,1.40.23,0.37.82,9.40," ","Tim & Margaret Carter","Cambridge",36.30,0.00,0.00,"Taiki Yanagida",56.50,1.00,64,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Tongue Tie",264625,"ROCK 'N' POP (AUS) 2008",271826,"HOLLYWOOD ANGEL (AUS) 2009",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",344946,11,10,"Garnet","5","m",57.00,10,1.39.34,0.37.45,3.80," ","Graham Richardson & Rogan Norvall","Matamata",8.70,0.00,450.00,"Craig Grylls",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit",321373,"HELMET (AUS) 2008",241863,"HONORJEU (NZ) 2004",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",342808,12,12,"Jakama Krystal","5","m",56.50,1,1.38.73,0.36.44,," LONG NECK","Peter & Jessica Brosnan","Matamata",13.20,4.20,12150.00,"Chelsea Burdan",54.50,2.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",324908,"JAKKALBERRY (IRE) 2006",195684,"THE MINDER (NZ) 1997",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",334299,13,1,"Unacceptable","6","m",56.50,8,1.39.31,0.36.62,3.60," ","John Bell","Cambridge",22.80,0.00,450.00,"Samantha Collett",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",280144,"MAY MORNING (IRE) 2002",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",318428,14,4,"Dr Hank","7","g",56.50,7,1.39.11,0.36.96,2.40," ","Darrell Hollinshead","Te Awamutu",56.20,0.00,450.00,"Trudy Thornton",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit on, Blinkers (1st time), Bandages on",301937,"REDWOOD (GB) 2006",216031,"BELLAFORTE (NZ) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",317534,15,13,"Red John","7","g",56.50,13,1.39.54,0.36.54,5.10," ","Hilary Pryce","Tauranga",88.00,0.00,450.00,"Tegan Newman",53.50,3.00,58,0,0,"Approved Plates, Lugging Bit, Nose Band",278350,"RED GIANT (USA) 2004",266595,"JEAB (AUS) 2002",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",344299,16,2,"Taree","5","m",54.00,5,1.39.03,0.36.86,1.90," HEAD","Tarissa Mitchell","Cambridge",70.30,0.00,450.00,"Mubs Kareem",51.50,2.50,55,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers, Tongue Tie on",211629,"PINS (AUS) 1996",271960,"BLUSH (NZ) 2009",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",328952,1,12,"Lala Land","6","g",59.50,4,1.25.31,0.35.85,2.40," SHORT NECK","Ralph Manning","Cambridge",27.10,0.00,1200.00,"Sam Spratt",59.50,0.00,72,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",208285,"HEUREKA (NZ) 1999",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",347782,2,4,"New York Jazz","5","g",59.50,7,1.25.72,0.36.16,5.20," ","Stephen Ralph","Te Awamutu",8.10,0.00,600.00,"Leith Innes",59.50,0.00,72,0,0,"Approved Plates, Lugging Bit, Tongue Tie",313448,"NIAGARA (AUS) 2008",260785,"SHESALLJAZZ (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",334932,3,2,"Codecracker","6","m",57.50,2,1.25.06,0.35.75,0.80," 3/4 LEN","Ken & Bev Kelso","Matamata",10.30,2.80,4500.00,"Craig Grylls",57.50,0.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers",261934,"NADEEM (AUS) 2003",260283,"ZENNO QUEEN (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",350129,4,7,"Red Forest","5","m",57.50,9,1.25.96,0.36.57,6.70," ","Moira & Kieran Murdoch","Pukekohe Park",26.30,0.00,600.00,"Jasmine Fawcett",56.50,1.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers on",301937,"REDWOOD (GB) 2006",277369,"REDWOOD FOREST (AUS) 1999",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",349372,5,9,"Diogenes","5","g",57.50,5,1.25.35,0.36.12,2.60," 2 1/4 LEN","Nigel Tiley","Pukekohe",5.70,0.00,600.00,"Callum Jones",54.50,3.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",263347,"SACSAYHUAMAN (AUS) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",336889,6,5,"Leaf","6","g",57.00,13,1.26.19,0.37.24,8.10," ","Karen Nicholson","Te Awamutu",25.60,0.00,600.00,"Matthew Cameron",57.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",222919,"KEEPER (AUS) 1997",213646,"WAITUI PEARL (NZ) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",397584,8,8,"Born To Fight (AUS)","6","g",56.50,11,1.26.04,0.36.25,7.20," ","Michael Moroney & Pam Gerard","Matamata",21.80,0.00,600.00,"Ryan Elliot",56.50,0.00,66,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",275067,"STREET BOSS (USA) 2004",397585,"ABSORB (AUS) 2002",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",357404,9,1,"Flaunting","4","m",56.00,6,1.25.67,0.36.16,4.90," ","David Greene","Te Rapa",7.80,0.00,600.00,"Danielle Johnson",56.00,0.00,69,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Nose Band",287687,"SHOWCASING (GB) 2007",257036,"ACAPELA (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",335738,10,10,"Tammie Wynette","6","m",56.00,1,1.24.94,0.35.86,," 3/4 LEN","Kim Coxon","Matamata",7.70,2.60,16200.00,"Taiki Yanagida",55.00,1.00,69,0,0,"Approved Plates, Lugging Bit",289930,"TOBIQUE (AUS) 2005",269430,"SANTIAGO BLUE (USA) 1997",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",351331,11,13,"Easy M'Lady","5","m",55.50,10,1.26.01,0.36.18,7.00," ","Vicki Prendergast","Matamata",4.50,0.00,600.00,"Samantha Collett",55.50,0.00,68,0,0,"Approved Plates, Lugging Bit, Nose Band",268640,"SUPER EASY (NZ) 2008",248702,"TOUCH OF SPARK (NZ) 2005",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",380572,12,11,"Beckidboo","6","m",54.50,8,1.25.81,0.35.85,5.80," ","Allan Sharrock","New Plymouth",30.90,0.00,600.00,"Mubs Kareem",51.50,3.00,66,0,0,"Approved Plates, Lugging Bit, Blinkers",238720,"EKRAAR (USA) 1997",248616,"YESHI SHINKO (NZ) 2005",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",379464,13,3,"Ana Zorra (AUS)","5","m",54.00,3,1.25.20,0.35.56,1.60," 3/4 LEN","Graham Richardson & Rogan Norvall","Matamata",9.10,2.70,2100.00,"Lynsey Satherley",54.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Tongue Tie",301393,"FOXWEDGE (AUS) 2008",379465,"ANAKALINKA (AUS) 2006",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207935,4,,Flat,1400,"Rating 72 HCP","MATAMATA VETERINARY SERVICES 1400",30000.00,13:07:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Overcast",350295,14,6,"Tutta La Classe","5","m",54.00,12,1.26.15,0.36.44,7.90," ","Iain Marks","Te Aroha",105.10,0.00,600.00,"Kersley Ramsamy",54.50,-0.50,61,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit",280637,"PER INCANTO (USA) 2004",229846,"CANTSAYMYDADSNAME (NZ) 2002",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",334247,1,10,"Beauden","6","g",62.00,6,1.25.48,0.36.49,4.90," ","Team Rogerson","Tuhikaramea",7.40,0.00,600.00,"Ryan Elliot",62.00,0.00,101,0,0,"Approved Plates, Lugging Bit, Side Winkers",300510,"BULLBARS (AUS) 2007",207085,"BELLE FEMME (AUS) 1999",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",323410,2,8,"Battle Time","8","g",55.00,3,1.25.19,0.36.89,3.40," 3/4 LEN","Tim & Margaret Carter","Cambridge",15.50,3.50,2100.00,"Chelsea Burdan",53.00,2.00,87,0,0,"Approved Plates, Lugging Bit",276923,"BATTLE PAINT (USA) 2004",244371,"LADY OF OAKVIEW (NZ) 2004",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",329541,3,3,"Back In A Flash","6","m",54.00,10,1.25.94,0.37.28,7.80," ","Gavin Opie","Te Aroha",12.50,0.00,600.00,"Andrew Calder",54.00,0.00,87,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band, Tongue Tie",238720,"EKRAAR (USA) 1997",228705,"DAHLING (NZ) 2002",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",346632,4,2,"Crystallize","5","g",54.00,1,1.24.74,0.36.47,," SHORT HEAD","Danny Walker","Byerley Park",2.40,1.40,16200.00,"Masa Hashizume",51.00,3.00,82,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",250655,"CRYSTALINA (IRE) 2001",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",326745,5,5,"Te Toro Pearl","6","m",54.00,8,1.25.74,0.37.31,6.50," ","Jon Miller","Cambridge",26.20,0.00,600.00,"Sam Spratt",54.00,0.00,82,0,0,"Approved Plates, Lugging Bit",300510,"BULLBARS (AUS) 2007",251629,"TE TORO LASS (NZ) 2006",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",316693,6,7,"Livin' On A Prayer","7","m",54.00,11,1.26.27,0.37.04,9.80," ","Wayne Hillis","Matamata",14.20,0.00,600.00,"Darren Danis",52.00,2.00,80,0,0,"Approved Plates, Lugging Bit, Blinkers",301937,"REDWOOD (GB) 2006",177744,"IT'S MY SIN (AUS) 1993",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",346611,8,1,"Intrigue","5","m",54.00,7,1.25.70,0.37.12,6.30," ","Tony Pike","Cambridge",7.70,0.00,600.00,"Samantha Collett",54.00,0.00,78,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",287687,"SHOWCASING (GB) 2007",311843,"FOREVER AND EVER (IRE) 2009",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",331449,9,9,"Ritani","6","m",54.00,5,1.25.38,0.36.57,4.40," 1/2 LEN","Stephen Marsh","Cambridge",8.60,0.00,600.00,"Danielle Johnson",54.00,0.00,78,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",206023,"ELEGANT EMERALD (AUS) 1998",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",337331,10,6,"Lady Shabeel","7","m",54.00,2,1.24.77,0.35.85,0.10," 3 1/4 LEN","Iain Kennedy","Rotorua",33.20,6.50,4500.00,"Callum Jones",51.00,3.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers on, Tongue Tie",216831,"HOWBADDOUWANTIT (USA) 1995",262129,"NO TOLERANCE (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",330820,11,12,"Lubaya","6","m",54.00,4,1.25.34,0.36.22,4.20," SHORT NECK","Murray Baker & Andrew Forsman","Cambridge",20.60,0.00,1200.00,"Craig Grylls",54.00,0.00,75,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",220379,"LIONESS (NZ) 2001",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",380346,12,4,"Beauty Star (AUS)","7","g",54.00,9,1.25.79,0.37.04,6.80," ","Tony Pike","Cambridge",38.90,0.00,600.00,"Richard Oliver",54.00,0.00,73,0,0,"Ear Covers Pre-Race, Approved Plates, Standard Bit, Side Winkers",272377,"NORTHERN METEOR (AUS) 2005",380347,"FAIRYTALE DANCER (AUS) 2002",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",208434,5,,Flat,1400,"Rating 101 HCP","PRICE RACING 1400",30000.00,13:40:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Slow",7,"Overcast",331978,13,11,"Soda","6","m",54.00,12,1.26.59,0.37.72,11.80," ","Darryn Weatherley","Matamata",25.40,0.00,600.00,"Sam Weatherley",54.00,0.00,73,0,0,"Approved Plates, Lugging Bit, Barrier Blanket, Nose Band",302210,"DALGHAR (FR) 2006",196356,"SOGNO (NZ) 1997",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207938,6,,Flat,1200,"Rating 65 Benchmark*","BALLYMORE STABLES 1200",22500.00,14:12:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",397135,2,6,"Pacific Master (IRE)","6","g",59.00,8,1.12.18,0.35.42,3.50," ","Glenn Old","Matamata",4.40,0.00,450.00,"Jasmine Fawcett",58.00,1.00,63,0,0,"Approved Plates, Lugging Bit, Ear Covers",380207,"DANDY MAN (IRE) 2003",397136,"NUTSHELL (GB) 2008",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207938,6,,Flat,1200,"Rating 65 Benchmark*","BALLYMORE STABLES 1200",22500.00,14:12:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",357358,4,9,"Don Draper","4","g",58.50,14,1.13.96,0.00.00,14.60," ","Stephen Marsh","Cambridge",9.70,0.00,450.00,"Shaun McKay",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Tongue Tie",287687,"SHOWCASING (GB) 2007",253191,"PRINCESS AMIDALA (NZ) 2006",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207938,6,,Flat,1200,"Rating 65 Benchmark*","BALLYMORE STABLES 1200",22500.00,14:12:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",358056,5,11,"Gus The Maverick","4","g",58.50,5,1.11.85,0.35.80,1.40," 3/4 LEN","Michael Moroney & Pam Gerard","Matamata",16.80,0.00,450.00,"Chad Ormsby",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",271826,"HOLLYWOOD ANGEL (AUS) 2009",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207938,6,,Flat,1200,"Rating 65 Benchmark*","BALLYMORE STABLES 1200",22500.00,14:12:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",328740,6,13,"Valetti","6","g",58.50,9,1.12.29,0.35.89,4.10," ","Antony Fuller","Tauranga",15.00,0.00,450.00,"Taiki Yanagida",57.50,1.00,62,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",238941,"JOIYA (AUS) 2004",
