<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",333953,12,10,"Southern Vogue","6","m",56.50,15,1.41.81,0.39.24,13.60," ","Ken Harrison","Te Awamutu",19.70,0.00,0.00,"Callum Jones",53.50,3.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip (1st time), Tongue Tie",277609,"RAISE THE FLAG (GB) 2005",255297,"THE BINDI GIRL (NZ) 2006",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",364243,14,4,"La Favorita","4","m",56.50,4,1.40.26,0.37.32,3.60," 3 LEN","Michael Moroney & Pam Gerard","Matamata",9.60,0.00,400.00,"Samantha Collett",56.50,0.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",278797,"VISA LISA (AUS) 2004",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",381645,15,12,"El Nymph","4","m",56.50,2,1.39.80,0.37.27,0.30," 1 1/4 LEN","Nigel & Tammy Elliott","Matamata",40.20,9.70,1500.00,"Taiki Yanagida",55.50,1.00,48,0,0,"Approved Plates, Lugging Bit",287992,"EL ROCA (AUS) 2010",313132,"WHITE NYMPH (NZ) 2011",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",359641,16,2,"Rising Road","4","m",56.50,5,1.40.72,0.37.56,6.60," SHORT HEAD","Nicholas Bishara","Ardmore Lodge",17.00,0.00,200.00,"Sam Spratt",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",272155,"STAR ROAD (NZ) 2009",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",360714,17,16,"Hardout","4","g",58.50,8=,1.41.05,0.38.21,8.70," ","Karen Fursdon","Matamata",48.50,0.00,200.00,"Chelsea Burdan",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",257403,"HE'S REMARKABLE (NZ) 2007",299097,"STARGINO (AUS) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",327126,2,4,"Verry Flash","6","g",61.00,1,1.40.65,0.35.53,," SHORT HEAD","Nicholas Bishara","Ardmore Lodge",8.00,2.20,16200.00,"Jonathan Riddell",61.00,0.00,81,0,0,"Ear Covers Pre-Race on, Approved Plates, Lugging Bit, Side Winkers on",226925,"ZED (NZ) 2002",249265,"OPULENCE (NZ) 2005",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",311293,3,7,"No Loitering","8","g",60.50,6,1.41.15,0.36.23,3.40," ","Iain Marks","Te Aroha",9.50,0.00,600.00,"Darren Danis",58.50,2.00,80,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit",232838,"NO EXCUSE NEEDED (GB) 1998",216255,"SCALLY WAG (NZ) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",307081,4,2,"Greencast","8","g",60.00,10,1.41.54,0.36.10,5.80," ","Ralph Manning","Cambridge",21.60,0.00,600.00,"Nafish Alam",56.00,4.00,79,0,0,"Concussion Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",248177,"PINS VALOUR (NZ) 2005",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",332505,5,1,"Double Happy","6","g",58.50,2,1.40.67,0.35.39,0.10," 1/2 LEN","Nigel Tiley","Pukekohe",2.30,1.30,4500.00,"Callum Jones",55.50,3.00,76,0,0,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",214745,"COOL TALK (NZ) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",348581,6,5,"Mont Ventoux","5","g",58.00,4,1.40.94,0.35.95,2.10," 1 LEN","Rudy Liefting","Pukekohe Park",4.40,0.00,1200.00,"Chris Dell",58.00,0.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",241392,"NOM DU JEU (NZ) 2004",224232,"GOOD REASON (NZ) 2001",
