<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",346197,1,10,"Tap 'n' Go","4","g",58.50,1=,1.08.70,0.33.40,," DEAD HEAT","Nikki White & Lee Callaway","Riccarton Park",4.00,2.00,4125.00,"Lee Callaway",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",265282,"OCEAN PARK (NZ) 2008",247002,"STELLAFIRE (NZ) 2005",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",395459,2,5,"Hibachi (AUS)","4","g",58.50,7,1.09.05,0.33.37,2.30," ","Neill Ridley","Riccarton Park",8.70,0.00,0.00,"BB Hong",55.50,3.00,50,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit, Tongue Tie",337159,"SIZZLING (AUS) 2009",215305,"BELLE FELINE (NZ) 2000",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",322734,3,9,"Noah","6","g",58.50,4,1.08.93,0.33.58,1.50," HEAD","Cheri Trembath","Ashburton",17.40,0.00,500.00,"Jason Laking",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Nose Band",280637,"PER INCANTO (USA) 2004",177227,"TRUST D'OR (NZ) 1994",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",349533,4,12,"Alonzo","4","g",58.50,1=,1.08.70,0.33.13,," 1/2 NECK","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",14.00,4.00,4125.00,"Kavish Chowdhoory",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Bandages, Boots",227849,"TESTA ROSSA (AUS) 1996",338118,"JOIE D'AMOUR (AUS) 2009",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",361859,5,2,"Jack Be Quick","3","g",57.00,5,1.08.95,0.33.31,1.70," ","John & Karen Parsons","Balcairn",9.40,0.00,250.00,"Tina Comignaghi",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",279063,"LEZANI (AUS) 2008",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",350571,6,6,"Norma Jean","4","m",56.50,8,1.09.13,0.33.41,2.80," ","Lance Robinson","Riccarton Park",4.00,0.00,0.00,"Terry Moseley",56.50,0.00,54,0,0,"Approved Plates, Norton Bit, Side Winkers",250526,"COATS CHOICE (AUS) 2001",287896,"NADIA JEAN (AUS) 2002",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",338704,7,8,"Montreux Miss","4","m",56.50,3,1.08.75,0.33.35,0.20," 1 1/4 LEN","Andrew Carston","Riccarton Park",9.40,2.80,1000.00,"Kozzi Asano",54.50,2.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",285139,"SWISS ACE (AUS) 2004",286286,"SATANYA (NZ) 2010",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",349302,8,3,"Qwerty","4","m",56.50,9,1.09.31,0.33.50,3.90," ","Centaine Spittles","Balcairn",6.50,0.00,0.00,"Kylie Williams",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",238720,"EKRAAR (USA) 1997",266569,"QUIN BAY (NZ) 2008",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",357698,10,1,"Button","3","f",55.00,10,1.09.32,0.33.76,4.00," ","Mel & Warwick Coles","Timaru",53.30,0.00,0.00,"Rahul Beeharry",52.00,3.00,46,0,0,"Approved Plates, Lugging Bit",247685,"EGO (NZ) 2005",257776,"NEEDLLY (NZ) 2007",
48561,2019-12-06,6,"Riccarton Park","Tier 2 Feature","Race","Riccarton Park - North Canterbury","RICCARTON PARK-NORTH CANTERBURY 6 DEC","Good",2,"Fine","Out 8m to 1000, Remainder Out 9m",204784,1,,Flat,1200,"MDN 2YO&UP","RANGIORA NEW WORLD MAIDEN",10000.00,14:19:00,"N",,"2yo&up","Maiden","unrestricted","sw","Good",2,"Fine",360815,11,13,"Nymphadora Tonks","3","f",55.00,6,1.08.98,0.33.10,1.80," ","Andrew Carston","Riccarton Park",59.10,0.00,0.00,"Corey Campbell",53.00,2.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Ear Covers",337555,"PROISIR (AUS) 2009",231122,"COLLECTION GIRL (AUS) 2001",
